Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,26.80,27.50,24.60,25.06,67066700,25.06
2011-09-12,25.44,27.27,25.27,27.12,65613400,27.12
2011-09-06,25.20,26.66,25.11,25.74,56807800,25.74
2011-08-29,25.53,26.86,25.37,25.80,51982100,25.80
2011-08-22,24.42,25.34,23.79,25.25,55974000,25.25
2011-08-15,25.24,25.70,23.91,24.05,68963300,24.05
2011-08-08,25.02,25.62,24.03,25.10,108764600,24.94
2011-08-01,27.51,27.69,25.23,25.68,79064700,25.52
2011-07-25,27.26,28.15,27.19,27.40,88552700,27.23
2011-07-18,26.63,27.64,26.26,27.53,67829100,27.36
2011-07-11,26.62,27.01,26.34,26.78,45539100,26.61
2011-07-05,26.10,26.98,25.90,26.92,49207100,26.75
2011-06-27,24.23,26.17,24.23,26.02,68913700,25.86
2011-06-20,24.17,24.86,24.16,24.30,61838400,24.15
2011-06-13,24.04,24.45,23.65,24.26,56076600,24.11
2011-06-06,23.89,24.25,23.69,23.71,46060400,23.56
2011-05-31,24.96,25.10,23.84,23.91,61603800,23.76
2011-05-23,24.21,25.03,24.03,24.76,52711200,24.60
2011-05-16,24.96,25.07,24.25,24.49,62279800,24.34
2011-05-09,25.80,25.96,24.95,25.03,76461400,24.71
2011-05-02,25.94,26.25,25.48,25.87,69320700,25.54
2011-04-25,25.56,26.87,25.34,25.92,110986400,25.59
2011-04-18,25.10,26.00,24.72,25.52,51359600,25.19
2011-04-11,26.19,26.25,25.09,25.37,45934300,25.05
2011-04-04,25.45,26.31,25.41,26.07,52146300,25.74
2011-03-28,25.66,25.72,25.30,25.48,51616700,25.16
2011-03-21,25.18,25.95,25.15,25.62,43493800,25.29
2011-03-14,25.49,25.76,24.68,24.80,75849900,24.48
2011-03-07,26.13,26.27,25.35,25.68,54354900,25.35
2011-02-28,26.69,26.86,25.80,25.95,59760300,25.62
2011-02-22,26.78,27.10,26.43,26.55,59655900,26.21
2011-02-14,27.21,27.37,26.60,27.06,59515100,26.72
2011-02-07,27.80,28.34,27.07,27.25,63480400,26.74
2011-01-31,27.77,28.11,27.42,27.77,54883200,27.26
2011-01-24,28.02,29.46,27.45,27.75,91460200,27.24
2011-01-18,28.16,28.74,28.02,28.02,55005600,27.50
2011-01-10,28.26,28.59,27.91,28.30,58053900,27.78
2011-01-03,28.05,28.85,27.77,28.60,65720600,28.07
2010-12-27,28.12,28.20,27.63,27.91,21947100,27.39
2010-12-20,27.95,28.40,27.68,28.30,39529700,27.78
2010-12-13,27.27,28.09,27.17,27.90,65357000,27.38
2010-12-06,26.93,27.40,26.76,27.34,44113100,26.83
2010-11-29,25.19,27.06,24.93,27.02,70078000,26.52
2010-11-22,25.65,25.74,25.09,25.25,50318800,24.78
2010-11-15,26.33,26.50,25.55,25.69,57474100,25.21
2010-11-08,26.68,28.87,26.10,26.27,61904400,25.63
2010-11-01,26.88,27.49,26.53,26.85,86224500,26.19
2010-10-25,25.24,27.20,25.06,26.67,75989100,26.02
2010-10-18,25.59,25.95,24.95,25.38,49327000,24.76
2010-10-11,24.74,25.55,24.43,25.54,54793900,24.91
2010-10-04,23.96,24.75,23.78,24.57,63641900,23.97
2010-09-27,24.85,24.99,24.30,24.38,53579600,23.78
2010-09-20,25.28,25.52,24.36,24.78,58992800,24.17
