Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,7.08,7.16,6.94,7.03,68703205,7.03
2011-09-16,7.09,7.16,6.94,7.03,68700200,7.03
2011-09-15,7.35,7.42,6.90,7.04,60702700,7.04
2011-09-14,6.95,7.35,6.93,7.20,68453200,7.20
2011-09-13,6.88,6.95,6.76,6.86,51199200,6.86
2011-09-12,6.30,6.71,6.28,6.69,46710900,6.69
2011-09-09,6.19,6.71,6.19,6.35,54157500,6.35
2011-09-08,6.03,6.63,6.00,6.25,63001600,6.25
2011-09-07,5.82,6.07,5.82,6.06,32666500,6.06
2011-09-06,5.28,5.70,5.28,5.67,24107100,5.67
2011-09-02,5.60,5.62,5.45,5.50,22734400,5.50
2011-09-01,5.94,6.06,5.74,5.74,25641700,5.74
2011-08-31,6.07,6.12,5.83,5.91,33297600,5.91
2011-08-30,6.02,6.09,5.85,5.95,34526000,5.95
2011-08-29,5.96,6.16,5.91,6.15,30866400,6.15
2011-08-26,5.43,5.84,5.38,5.66,48588900,5.66
2011-08-25,5.32,5.54,5.31,5.38,31560600,5.38
2011-08-24,5.63,5.66,5.18,5.30,64818800,5.30
2011-08-23,5.32,5.66,5.27,5.66,33804900,5.66
2011-08-22,5.41,5.52,5.22,5.26,34995700,5.26
2011-08-19,5.50,5.66,5.20,5.25,49884300,5.25
2011-08-18,5.88,5.89,5.60,5.64,45540000,5.64
2011-08-17,6.35,6.41,6.07,6.11,29669900,6.11
2011-08-16,6.41,6.47,6.19,6.29,20070200,6.29
2011-08-15,6.27,6.48,6.18,6.48,23301800,6.48
2011-08-12,6.41,6.54,6.16,6.18,29275400,6.18
2011-08-11,5.78,6.50,5.78,6.37,57387100,6.37
2011-08-10,5.98,6.04,5.71,5.72,57549800,5.72
2011-08-09,5.96,6.20,5.76,6.19,44655700,6.19
2011-08-08,6.00,6.19,5.65,5.71,55283000,5.71
2011-08-05,6.52,6.75,6.09,6.31,55675500,6.31
2011-08-04,6.81,6.86,6.37,6.40,50716700,6.40
2011-08-03,7.07,7.12,6.69,6.99,53044700,6.99
2011-08-02,7.32,7.38,7.02,7.04,35879400,7.04
2011-08-01,7.57,7.59,7.20,7.41,38046900,7.41
2011-07-29,7.30,7.53,7.22,7.37,44891200,7.37
2011-07-28,7.48,7.56,7.31,7.42,31674500,7.42
2011-07-27,7.80,7.80,7.38,7.43,45399600,7.43
2011-07-26,7.85,7.99,7.80,7.86,21586200,7.86
2011-07-25,7.90,7.96,7.76,7.89,25080400,7.89
2011-07-22,7.71,8.20,7.69,8.09,47025800,8.09
2011-07-21,7.69,7.75,7.49,7.65,82188200,7.65
2011-07-20,7.53,7.60,7.40,7.60,29432900,7.60
2011-07-19,7.28,7.53,7.28,7.52,29174400,7.52
2011-07-18,7.36,7.55,7.13,7.23,25876500,7.23
2011-07-15,7.37,7.45,7.26,7.41,23618600,7.41
2011-07-14,7.52,7.59,7.23,7.29,31774800,7.29
2011-07-13,7.40,7.76,7.37,7.49,30414100,7.49
2011-07-12,7.39,7.45,7.21,7.31,28775500,7.31
2011-07-11,7.55,7.70,7.45,7.49,22304000,7.49
2011-07-08,7.69,7.79,7.61,7.68,20454000,7.68
2011-07-07,7.63,7.89,7.61,7.82,23411000,7.82
2011-07-06,7.73,7.74,7.48,7.56,24556000,7.56
2011-07-05,7.88,7.99,7.69,7.78,32206100,7.78
2011-07-01,7.46,7.85,7.37,7.83,30641400,7.83
2011-06-30,7.53,7.61,7.44,7.48,37979900,7.48
2011-06-29,7.37,7.59,7.31,7.47,38048800,7.47
2011-06-28,7.34,7.38,7.26,7.35,28892000,7.35
2011-06-27,7.25,7.41,7.20,7.34,34482700,7.34
2011-06-24,7.72,7.77,7.20,7.21,117825100,7.21
2011-06-23,8.05,8.45,7.94,8.43,56026400,8.43
2011-06-22,8.15,8.32,8.10,8.17,29105100,8.17
2011-06-21,8.00,8.18,7.85,8.14,35254800,8.14
2011-06-20,7.83,8.11,7.81,7.91,32936000,7.91
2011-06-17,7.99,8.01,7.64,7.83,43133500,7.83
2011-06-16,8.12,8.13,7.81,7.87,54514800,7.87
2011-06-15,8.33,8.36,8.05,8.07,44050500,8.07
2011-06-14,8.40,8.56,8.20,8.40,35940800,8.40
2011-06-13,8.29,8.59,8.28,8.29,34700700,8.29
2011-06-10,8.61,8.65,8.38,8.44,46209900,8.44
2011-06-09,8.53,8.65,8.32,8.49,41172000,8.49
2011-06-08,8.85,8.87,8.49,8.50,56114500,8.50
2011-06-07,9.13,9.14,8.91,8.95,42494400,8.95
2011-06-06,9.17,9.43,9.02,9.04,49134700,9.04
2011-06-03,9.25,9.38,9.15,9.16,32043400,9.16
2011-06-02,9.65,9.66,9.34,9.41,45822100,9.41
2011-06-01,10.03,10.03,9.52,9.56,53891800,9.56
2011-05-31,10.14,10.23,10.04,10.20,27196300,10.20
2011-05-27,9.83,10.05,9.80,10.02,25521200,10.02
2011-05-26,9.59,9.83,9.49,9.79,36005200,9.79
2011-05-25,9.61,9.64,9.43,9.61,36418200,9.61
2011-05-24,9.83,9.84,9.60,9.62,23186000,9.62
2011-05-23,9.81,9.83,9.57,9.71,27594900,9.71
2011-05-20,10.10,10.17,9.93,10.00,21763200,10.00
2011-05-19,10.12,10.21,9.95,10.17,34770900,10.17
2011-05-18,10.03,10.10,9.79,10.06,37498700,10.06
2011-05-17,10.42,10.49,9.79,9.94,74861800,9.94
2011-05-16,10.38,10.87,10.32,10.55,38662500,10.55
2011-05-13,10.66,10.67,10.36,10.40,30547500,10.40
2011-05-12,10.39,10.72,10.23,10.66,30700000,10.66
2011-05-11,10.69,10.93,10.38,10.41,40700000,10.41
2011-05-10,10.50,10.71,10.38,10.63,24391600,10.63
2011-05-09,10.82,10.86,10.25,10.46,49677000,10.46
2011-05-06,11.10,11.13,10.87,10.87,22662600,10.87
2011-05-05,10.67,11.07,10.60,10.91,35304000,10.91
2011-05-04,10.87,10.98,10.60,10.74,29570000,10.74
2011-05-03,11.20,11.23,10.80,10.90,37000000,10.90
