Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,6.30,7.42,6.28,7.03,59153200,7.03
2011-09-06,5.28,6.71,5.28,6.35,43483100,6.35
2011-08-29,5.96,6.16,5.45,5.50,29413200,5.50
2011-08-22,5.41,5.84,5.18,5.66,42753700,5.66
2011-08-15,6.27,6.48,5.20,5.25,33693200,5.25
2011-08-08,6.00,6.54,5.65,6.18,48815400,6.18
2011-08-01,7.57,7.59,6.09,6.31,46660200,6.31
2011-07-25,7.90,7.99,7.22,7.37,33726300,7.37
2011-07-18,7.36,8.20,7.13,8.09,42720700,8.09
2011-07-11,7.55,7.76,7.21,7.41,27375100,7.41
2011-07-05,7.88,7.99,7.48,7.68,25151100,7.68
2011-06-27,7.25,7.85,7.20,7.83,33993800,7.83
2011-06-20,7.83,8.45,7.20,7.21,54185600,7.21
2011-06-13,8.45,8.59,7.64,7.83,42454600,7.83
2011-06-06,9.17,9.43,8.32,8.44,47019000,8.44
2011-05-31,10.14,10.23,9.15,9.16,39724300,9.16
2011-05-23,9.81,10.05,9.43,10.02,29740600,10.02
2011-05-16,10.38,10.87,9.79,10.00,41506800,10.00
2011-05-09,10.82,10.93,10.23,10.40,35191100,10.40
2011-05-02,11.37,11.41,10.60,10.87,29217400,10.87
2011-04-25,11.46,11.83,11.15,11.32,30329500,11.32
2011-04-18,10.55,11.72,10.26,11.52,34940400,11.52
2011-04-11,11.09,11.13,10.30,10.75,31282600,10.75
2011-04-04,11.30,11.35,10.95,11.07,28323900,11.07
2011-03-28,11.62,11.89,11.22,11.30,33860500,11.30
2011-03-21,10.28,11.70,10.16,11.55,50256800,11.55
2011-03-14,10.66,10.85,9.85,10.07,44986500,10.07
2011-03-07,11.66,11.67,9.65,10.24,51930700,10.24
2011-02-28,11.62,11.67,10.92,11.64,37084600,11.64
2011-02-22,11.45,11.45,10.27,11.44,50900600,11.44
2011-02-14,11.53,11.95,11.51,11.70,37027200,11.70
2011-02-07,11.17,11.60,11.02,11.32,46150400,11.32
2011-01-31,10.50,11.10,10.25,11.05,31236800,11.05
2011-01-24,9.83,10.77,9.62,10.37,58066000,10.37
2011-01-18,9.75,10.00,9.22,9.84,39922900,9.84
2011-01-10,8.68,9.87,8.39,9.71,53188900,9.71
2011-01-03,8.14,8.78,8.14,8.65,35262600,8.65
2010-12-27,7.88,8.04,7.65,8.02,14555400,8.02
2010-12-20,8.29,8.37,7.91,7.94,33296700,7.94
2010-12-13,8.38,8.38,7.88,8.21,27242400,8.21
2010-12-06,7.87,8.33,7.72,8.25,30017300,8.25
2010-11-29,7.57,7.98,7.23,7.92,30666000,7.92
2010-11-22,7.45,7.85,7.18,7.63,31068500,7.63
2010-11-15,7.65,7.66,7.09,7.39,33133700,7.39
2010-11-08,8.62,8.64,7.46,7.72,41734100,7.72
2010-11-01,8.29,8.78,7.93,8.66,29337800,8.66
2010-10-25,7.70,8.27,7.62,8.26,32293900,8.26
2010-10-18,7.62,7.76,7.27,7.69,24119200,7.69
2010-10-11,7.66,7.90,7.50,7.61,35597500,7.61
2010-10-04,7.25,7.64,6.76,7.59,52155500,7.59
2010-09-27,7.17,7.55,7.01,7.29,31652000,7.29
2010-09-20,6.80,7.23,6.59,7.20,33790400,7.20
2010-09-13,6.66,7.38,6.65,6.76,47430900,6.76
2010-09-07,7.00,7.00,6.50,6.51,28851900,6.51
2010-08-30,6.89,7.09,6.36,7.05,29163700,7.05
2010-08-23,7.18,7.45,6.40,6.83,29808100,6.83
2010-08-16,7.25,7.48,7.04,7.12,21537100,7.12
2010-08-09,7.66,7.70,6.89,7.28,31196500,7.28
2010-08-02,7.39,7.80,6.82,7.58,27094800,7.58
2010-07-26,8.47,8.60,7.26,7.28,42688500,7.28
2010-07-19,8.33,8.61,8.13,8.48,30381400,8.48
2010-07-12,8.53,8.88,8.25,8.27,31803200,8.27
2010-07-06,8.53,9.00,8.22,8.57,33151500,8.57
2010-06-28,9.73,10.09,8.01,8.22,51178200,8.22
2010-06-21,10.25,10.29,9.37,9.46,29258500,9.46
2010-06-14,9.09,10.14,8.90,10.00,34127800,10.00
2010-06-07,8.99,8.99,8.27,8.93,29059400,8.93
2010-06-01,8.94,9.46,8.66,8.86,40480700,8.86
2010-05-24,8.98,9.46,8.33,9.09,35711700,9.09
2010-05-17,8.94,9.42,8.37,8.93,38984800,8.93
2010-05-10,9.20,9.46,8.72,8.94,38337100,8.94
2010-05-03,9.42,9.94,7.32,8.57,53590000,8.57
2010-04-26,10.97,11.03,9.33,9.35,38659200,9.35
2010-04-19,10.81,11.08,10.41,11.00,29251600,11.00
2010-04-12,10.75,11.40,10.58,10.92,36117800,10.92
2010-04-05,10.37,10.82,10.13,10.73,39330400,10.73
2010-03-29,10.66,11.05,10.11,10.17,56486800,10.17
2010-03-22,9.83,10.79,9.75,10.49,22104400,10.49
2010-03-15,9.92,10.51,9.60,9.95,23350200,9.95
2010-03-08,9.48,10.25,9.34,9.97,30698500,9.97
