Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,26.56,29.75,26.45,26.73,1768000,26.73
2011-08-29,28.15,30.45,27.16,27.52,751800,27.52
2011-08-22,26.11,28.61,25.32,27.80,799700,27.80
2011-08-15,26.89,27.41,24.94,25.46,1054500,25.46
2011-08-08,28.12,29.28,24.63,26.64,1223400,26.64
2011-08-01,33.17,33.18,28.27,29.15,986700,29.15
2011-07-25,33.86,34.48,31.36,32.79,554900,32.79
2011-07-18,33.44,34.53,33.02,34.35,554000,34.35
2011-07-11,34.74,35.03,33.16,33.64,614400,33.64
2011-07-05,35.08,36.44,34.00,35.34,680800,35.34
2011-06-27,32.57,35.03,32.42,34.97,721400,34.97
2011-06-20,31.71,33.46,31.47,32.50,847000,32.50
2011-06-13,31.32,32.70,30.82,31.88,848200,31.88
2011-06-06,31.98,32.22,29.55,31.03,1976200,31.03
2011-05-31,34.55,34.78,31.56,31.92,1354400,31.80
2011-05-23,31.89,34.46,31.71,34.35,671300,34.22
2011-05-16,33.80,33.94,32.09,32.36,773900,32.24
2011-05-09,32.93,34.40,32.46,33.97,941700,33.84
2011-05-02,28.02,33.24,27.15,32.85,1357800,32.73
2011-04-25,27.14,28.54,26.65,27.89,388900,27.78
2011-04-18,27.22,27.50,26.55,27.07,381200,26.97
2011-04-11,27.61,27.99,26.56,27.55,414700,27.45
2011-04-04,27.42,28.54,27.12,27.65,440100,27.55
2011-03-28,26.84,27.83,26.34,27.44,427700,27.34
2011-03-21,26.53,27.12,25.05,26.85,845200,26.75
2011-03-14,28.00,28.27,25.84,26.20,1205100,26.10
2011-03-07,26.39,28.56,25.47,28.24,1421400,28.13
2011-02-28,27.56,27.82,25.43,26.38,877600,26.17
2011-02-22,27.37,27.90,26.18,27.49,751800,27.27
2011-02-14,27.84,28.16,27.15,27.71,460000,27.49
2011-02-07,27.76,28.24,27.40,27.90,425900,27.68
2011-01-31,26.04,28.20,25.80,27.77,993200,27.55
2011-01-24,26.31,26.82,25.76,25.97,706000,25.76
2011-01-18,26.19,26.76,25.25,26.22,764400,26.01
2011-01-10,25.49,26.67,25.17,26.11,670800,25.90
2011-01-03,25.13,26.19,24.06,25.57,1020800,25.36
2010-12-27,24.76,25.33,24.53,24.98,472000,24.78
2010-12-20,24.85,25.14,24.49,24.88,732500,24.68
2010-12-13,24.89,25.29,24.14,24.64,1164500,24.44
2010-12-06,28.59,29.62,23.03,24.88,2648000,24.68
2010-11-29,28.08,28.98,27.81,28.69,882700,28.35
2010-11-22,27.35,28.73,27.08,28.35,589400,28.01
2010-11-15,26.90,28.18,26.10,27.53,511100,27.20
2010-11-08,25.86,27.70,25.34,26.76,965300,26.44
2010-11-01,24.62,26.30,23.87,25.94,585000,25.63
2010-10-25,24.71,25.47,24.21,24.44,637100,24.15
2010-10-18,25.19,25.43,23.88,24.50,792200,24.21
2010-10-11,24.80,25.97,24.60,25.11,702800,24.81
2010-10-04,24.01,25.23,23.40,24.85,789200,24.56
2010-09-27,24.01,24.39,23.18,24.15,491500,23.86
2010-09-20,23.51,24.08,22.59,24.08,707000,23.79
2010-09-13,22.56,23.92,22.56,23.50,861900,23.22
2010-09-07,21.20,22.53,20.60,22.30,1495200,22.04
2010-08-30,19.89,21.52,19.24,21.36,1215600,21.02
2010-08-23,19.09,20.25,18.02,19.94,793200,19.62
2010-08-16,19.08,20.08,18.33,18.98,743000,18.68
2010-08-09,18.84,19.64,17.96,19.20,876400,18.90
2010-08-02,19.97,20.11,18.01,18.65,516200,18.35
2010-07-26,19.86,20.53,18.70,19.46,566800,19.15
2010-07-19,18.81,19.92,18.06,19.84,696500,19.53
2010-07-12,19.68,20.24,18.55,18.68,682400,18.38
2010-07-06,19.21,19.99,18.07,19.82,1024800,19.51
2010-06-28,19.65,19.80,17.66,18.85,851000,18.55
2010-06-21,21.21,21.22,18.44,19.56,1347100,19.25
2010-06-14,22.36,22.78,20.69,20.82,1073000,20.49
2010-06-07,19.30,22.78,17.87,22.04,2461200,21.69
2010-06-01,21.43,21.50,19.06,19.24,1180700,18.86
2010-05-24,21.42,22.22,20.55,21.74,1011900,21.31
2010-05-17,22.41,23.23,20.50,21.51,916000,21.08
2010-05-10,22.73,24.66,21.94,22.25,871100,21.81
2010-05-03,23.69,25.00,20.52,21.54,910400,21.11
2010-04-26,26.25,27.43,23.56,23.63,738600,23.16
2010-04-19,25.60,26.66,24.37,26.25,784500,25.73
2010-04-12,24.85,26.17,24.45,25.76,526000,25.25
2010-04-05,23.92,24.91,23.67,24.89,539100,24.40
