Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,48.02,48.5,47.79,48.12,46845236,48.12
2011-09-09,31.59,32.64,31.00,31.91,1683300,31.91
2011-09-08,31.51,33.31,31.51,31.91,1678800,31.91
2011-09-07,30.67,32.05,30.49,31.95,1629600,31.95
2011-09-06,28.78,30.28,28.72,30.13,1144200,30.13
2011-09-02,29.66,30.60,29.54,29.89,1395700,29.89
2011-09-01,30.27,30.90,29.76,30.47,1793100,30.47
2011-08-31,31.23,31.27,29.63,30.02,1217300,30.02
2011-08-30,30.00,31.23,29.52,30.93,1961800,30.93
2011-08-29,29.19,30.15,29.11,30.10,1339500,30.10
2011-08-26,27.38,28.83,27.11,28.74,1130200,28.74
2011-08-25,27.77,28.34,27.52,27.61,1276100,27.61
2011-08-24,27.85,28.12,27.14,27.73,1140700,27.73
2011-08-23,26.09,28.23,25.83,27.99,1360400,27.99
2011-08-22,26.94,27.43,26.40,26.64,1324300,26.64
2011-08-19,26.26,27.18,25.88,26.02,1107000,26.02
2011-08-18,28.70,28.70,26.22,26.49,2776900,26.49
2011-08-17,30.88,31.18,29.00,29.49,2299900,29.49
2011-08-16,31.73,31.84,30.57,30.74,959200,30.74
2011-08-15,31.83,32.18,31.37,32.03,881000,32.03
2011-08-12,31.96,32.58,31.01,31.57,1402200,31.57
2011-08-11,28.50,31.65,28.50,31.26,2415000,31.26
2011-08-10,29.08,29.81,27.83,27.95,2414300,27.95
2011-08-09,28.53,29.85,27.89,29.85,1846500,29.85
2011-08-08,29.40,30.59,28.18,28.18,2223700,28.18
2011-08-05,32.48,32.98,29.90,30.46,4523900,30.46
2011-08-04,33.15,33.58,32.03,32.04,2356400,32.04
2011-08-03,32.68,33.82,32.16,33.73,1806000,33.73
2011-08-02,34.29,34.81,32.94,32.97,1664900,32.97
2011-08-01,35.02,35.77,34.33,34.80,1525300,34.80
2011-07-29,34.20,35.98,33.41,34.55,3483700,34.55
2011-07-28,35.21,35.94,34.39,34.78,3036800,34.78
2011-07-27,37.63,37.63,35.05,35.38,3401500,35.38
2011-07-26,38.54,39.70,38.09,38.27,1075800,38.27
2011-07-25,38.12,38.39,37.67,38.09,905700,38.09
2011-07-22,37.99,39.00,37.74,38.75,904500,38.75
2011-07-21,39.60,39.60,37.77,37.92,1978300,37.92
2011-07-20,40.38,40.38,38.91,39.33,947300,39.33
2011-07-19,38.08,40.40,38.08,40.05,2034900,40.05
2011-07-18,37.85,38.08,37.22,37.56,998400,37.56
2011-07-15,38.36,38.63,37.63,38.04,1061500,38.04
2011-07-14,38.99,39.35,37.66,38.27,1053200,38.27
2011-07-13,38.94,39.58,38.59,38.78,784300,38.78
2011-07-12,39.54,39.54,38.50,38.79,1024800,38.79
2011-07-11,39.78,40.83,39.54,39.68,985600,39.68
2011-07-08,39.62,40.50,39.51,40.49,1301900,40.49
2011-07-07,40.83,41.06,40.22,40.23,2129200,40.23
2011-07-06,40.58,40.61,40.05,40.38,787300,40.38
2011-07-05,41.29,41.56,40.40,40.59,1534300,40.59
2011-07-01,40.16,41.79,40.09,41.43,1008900,41.43
2011-06-30,39.92,40.99,39.92,40.42,875200,40.42
2011-06-29,40.00,40.40,39.57,40.25,893600,40.25
2011-06-28,39.01,40.01,38.86,39.92,817200,39.92
2011-06-27,38.95,39.68,38.30,39.07,1094100,39.07
2011-06-24,39.08,39.50,38.71,39.03,1464500,39.03
