Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,48.02,48.50,47.79,48.12,46845300,48.12
2011-09-06,28.78,33.31,28.72,31.91,1533900,31.91
2011-08-29,29.19,31.27,29.11,29.89,1541400,29.89
2011-08-22,26.94,28.83,25.83,28.74,1246300,28.74
2011-08-15,31.83,32.18,25.88,26.02,1604800,26.02
2011-08-08,29.40,32.58,27.83,31.57,2060300,31.57
2011-08-01,35.02,35.77,29.90,30.46,2375300,30.46
2011-07-25,38.12,39.70,33.41,34.55,2380700,34.55
2011-07-18,37.85,40.40,37.22,38.75,1372600,38.75
2011-07-11,39.78,40.83,37.63,38.04,981800,38.04
2011-07-05,41.29,41.56,39.51,40.49,1438100,40.49
2011-06-27,38.95,41.79,38.30,41.43,937800,41.43
2011-06-20,36.35,39.50,35.89,39.03,1242100,39.03
2011-06-13,36.35,37.20,35.53,36.20,1030000,36.20
2011-06-06,37.46,38.45,36.04,36.44,1277300,36.44
2011-05-31,36.89,38.60,36.67,37.60,2290000,37.60
2011-05-23,35.30,36.88,33.09,36.42,2067600,36.42
2011-05-16,39.10,39.35,35.21,36.28,2056100,36.28
2011-05-09,39.26,40.09,38.65,39.35,768600,39.35
2011-05-02,43.63,43.71,38.20,39.37,2068000,39.37
2011-04-25,41.80,43.68,41.26,43.13,694200,43.13
2011-04-18,38.58,42.15,38.34,41.91,889200,41.91
2011-04-11,41.42,41.60,39.06,39.56,827800,39.56
2011-04-04,41.24,42.91,40.59,41.32,1013600,41.32
2011-03-28,40.77,43.59,40.73,41.08,1015500,41.08
2011-03-21,38.58,41.84,38.58,40.70,1160000,40.70
2011-03-14,39.03,41.14,36.39,38.30,1666200,38.30
2011-03-07,42.21,42.30,38.08,39.55,1177900,39.55
2011-02-28,41.59,43.24,40.08,42.16,891300,42.16
2011-02-22,40.27,41.57,38.31,41.50,1260700,41.50
2011-02-14,40.22,41.66,39.68,41.02,914000,41.02
2011-02-07,41.75,42.65,38.23,40.03,1677500,40.03
2011-01-31,34.37,41.28,33.91,40.89,2679000,40.89
2011-01-24,32.95,35.43,32.61,34.19,1314800,34.19
2011-01-18,37.25,38.33,30.55,33.19,2358100,33.19
2011-01-10,35.79,37.36,35.19,37.02,1218000,37.02
2011-01-03,31.59,36.16,31.39,35.79,1959500,35.79
2010-12-27,31.29,32.00,30.53,31.41,492800,31.41
2010-12-20,32.41,32.67,31.18,31.40,1197000,31.40
2010-12-13,33.51,33.74,31.94,32.20,1018000,32.20
2010-12-06,33.18,34.35,32.85,33.38,1129800,33.38
2010-11-29,31.15,33.41,30.80,33.05,1324900,33.05
2010-11-22,29.71,31.91,29.63,31.29,941700,31.29
2010-11-15,30.02,30.39,28.53,29.94,1201100,29.94
2010-11-08,31.32,31.75,28.12,29.75,2020400,29.75
2010-11-01,30.08,32.20,29.35,31.30,2708700,31.30
2010-10-25,26.84,30.69,26.70,30.06,2701900,30.06
2010-10-18,26.74,27.02,25.12,26.65,1722300,26.65
2010-10-11,26.97,27.61,26.52,26.69,1186100,26.69
2010-10-04,27.52,27.83,26.03,27.08,1158300,27.08
2010-09-27,26.46,28.63,26.00,27.65,2649700,27.65
2010-09-20,25.87,27.00,24.55,26.40,2644400,26.40
2010-09-13,23.78,26.17,23.78,25.86,2166700,25.86
2010-09-07,25.62,25.79,22.95,23.65,1975300,23.65
2010-08-30,25.66,25.88,24.02,24.97,1270100,24.97
2010-08-23,24.07,25.89,22.94,25.85,1846500,25.85
2010-08-16,23.76,25.13,23.36,23.98,1192900,23.98
2010-08-09,29.46,29.58,23.12,24.00,2278700,24.00
2010-08-02,30.49,30.50,28.58,29.17,945600,29.17
2010-07-26,32.91,34.50,28.27,29.56,2820200,29.56
2010-07-19,29.98,32.40,28.85,32.33,1305300,32.33
2010-07-12,30.10,31.70,29.49,29.73,1090700,29.73
2010-07-06,27.36,30.23,26.77,30.10,1316300,30.10
2010-06-28,28.74,29.34,26.25,26.94,967400,26.94
2010-06-21,30.38,30.99,27.57,28.56,1253700,28.56
2010-06-14,28.72,30.25,28.15,30.01,1207500,30.01
2010-06-07,27.77,28.56,26.07,28.36,972700,28.36
2010-06-01,28.57,29.84,27.56,27.71,1097100,27.71
2010-05-24,27.48,29.45,25.29,28.77,1341000,28.77
2010-05-17,28.17,28.75,26.21,27.43,2004400,27.43
2010-05-10,29.25,31.13,27.66,28.54,1947700,28.54
2010-05-03,31.11,31.77,26.22,27.99,2326700,27.99
2010-04-26,33.55,35.00,30.66,31.17,2192300,31.17
2010-04-19,32.48,33.86,31.41,33.49,941600,33.49
2010-04-12,31.85,33.95,31.81,32.69,1075300,32.69
2010-04-05,29.46,32.13,29.35,31.75,1469600,31.75
2010-03-29,30.37,30.82,29.25,29.40,1208600,29.40
2010-03-22,28.62,31.49,28.45,30.31,2655500,30.31
2010-03-15,55.37,60.00,54.94,57.44,1392300,28.72
2010-03-08,56.32,58.15,54.78,55.37,1296400,27.68
2010-03-01,54.26,57.75,54.26,56.05,1634500,28.02
2010-02-22,53.74,54.63,51.44,54.19,1219200,27.09
2010-02-16,52.00,54.62,51.82,54.58,1740400,27.29
2010-02-08,48.10,51.97,47.19,51.75,1901000,25.88
2010-02-01,41.18,50.65,41.16,48.93,3161000,24.47
2010-01-25,43.52,44.53,40.80,40.96,1347400,20.48
2010-01-19,44.24,46.70,42.99,43.06,895100,21.53
2010-01-11,46.04,46.33,43.82,44.45,690300,22.23
2010-01-04,44.68,46.98,44.10,45.98,669500,22.99
2009-12-28,48.00,48.00,46.06,46.26,572400,23.13
2009-12-21,46.98,48.00,46.44,48.00,559400,24.00
2009-12-14,44.31,47.69,44.14,46.91,876300,23.45
2009-12-07,44.96,45.25,43.41,43.97,534100,21.99
2009-11-30,40.28,45.14,39.83,44.83,1027500,22.42
2009-11-23,41.99,41.99,40.15,40.38,425700,20.19
2009-11-16,42.02,43.90,41.45,41.61,825600,20.81
2009-11-09,40.32,42.41,40.09,41.88,667900,20.94
2009-11-02,37.89,41.99,36.87,40.17,1694900,20.08
2009-10-26,41.36,42.40,37.62,38.01,1164200,19.00
2009-10-19,42.92,44.55,40.74,41.21,740200,20.60
2009-10-12,43.68,44.74,40.91,42.75,660800,21.38
2009-10-05,41.84,43.93,41.58,43.51,837300,21.75
2009-09-28,43.81,46.80,42.07,42.23,928400,21.11
2009-09-21,43.44,45.53,43.10,43.76,529400,21.88
2009-09-14,43.28,44.44,42.66,43.72,476800,21.86
2009-09-08,43.65,44.93,43.24,43.50,567500,21.75
2009-08-31,44.25,44.48,40.73,42.36,772800,21.18
2009-08-24,41.47,44.70,40.99,44.43,755500,22.22
2009-08-17,39.37,41.42,38.28,41.20,465700,20.60
2009-08-10,39.00,40.85,38.11,39.95,436700,19.98
2009-08-03,40.53,41.65,38.83,39.36,737300,19.68
2009-07-27,39.70,40.90,38.24,39.75,977300,19.88
2009-07-20,38.02,39.98,37.09,39.63,756400,19.82
2009-07-13,34.54,38.24,33.27,37.75,708700,18.88
2009-07-06,35.51,35.91,32.36,34.32,1450500,17.16
2009-06-29,36.92,37.45,35.59,35.73,647500,17.86
2009-06-22,36.31,37.25,33.55,37.08,1034600,18.54
2009-06-15,36.70,38.08,35.62,36.37,1041000,18.18
2009-06-08,36.23,38.50,35.80,37.32,623200,18.66
2009-06-01,34.28,38.20,34.04,36.71,1848900,18.35
2009-05-26,33.31,36.11,31.75,32.72,1214800,16.36
2009-05-18,32.14,35.95,31.90,33.46,1071700,16.73
2009-05-11,32.75,34.36,30.94,31.80,1017600,15.90
2009-05-04,36.98,38.18,32.14,32.95,1699800,16.48
2009-04-27,29.08,37.25,28.95,36.93,1902000,18.47
2009-04-20,30.21,30.88,27.76,29.46,908100,14.73
2009-04-13,29.50,30.63,28.39,30.26,811400,15.13
2009-04-06,28.90,29.12,26.95,28.77,602000,14.39
2009-03-30,26.80,29.48,26.41,29.39,876600,14.69
2009-03-23,27.08,28.57,25.99,27.37,915600,13.69
2009-03-16,26.84,28.22,25.29,26.42,1153800,13.21
2009-03-09,24.69,27.51,23.75,26.55,1563200,13.27
2009-03-02,23.23,27.10,22.44,24.79,2768500,12.40
2009-02-23,22.95,24.52,22.08,23.71,1528400,11.85
2009-02-17,24.61,24.96,22.52,22.90,1651200,11.45
2009-02-09,25.34,26.07,23.87,25.37,1029700,12.69
2009-02-02,21.02,26.14,20.06,25.44,3707200,12.72
2009-01-26,22.26,23.37,20.80,21.21,1535400,10.60
2009-01-20,20.94,22.43,19.68,22.13,1694000,11.06
2009-01-12,21.42,22.20,20.07,21.25,1273800,10.62
2009-01-05,21.84,23.63,20.91,21.32,1161300,10.66
2009-01-02,22.02,22.20,20.79,21.93,1181400,10.97
