Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,17.63,17.63,17.36,17.43,22752085,17.43
2011-09-23,17.50,17.69,17.40,17.48,17018500,17.48
2011-09-22,17.49,17.90,17.44,17.56,27999200,17.56
2011-09-21,17.99,18.15,17.60,17.61,27540300,17.61
2011-09-20,18.21,18.28,18.07,18.12,16760400,18.12
2011-09-19,17.90,18.24,17.86,18.16,19706200,18.16
2011-09-16,17.91,17.96,17.85,17.93,15266300,17.93
2011-09-15,18.05,18.07,17.88,17.92,15421600,17.92
2011-09-14,17.94,18.05,17.84,17.98,15656500,17.98
2011-09-13,17.90,17.94,17.71,17.90,13435700,17.90
2011-09-12,17.59,17.95,17.56,17.95,19816800,17.95
2011-09-09,17.46,17.87,17.46,17.81,22386800,17.81
2011-09-08,17.53,17.73,17.50,17.51,16097600,17.51
2011-09-07,17.58,17.63,17.27,17.50,21305800,17.50
2011-09-06,17.21,17.51,17.05,17.51,20828800,17.51
2011-09-02,17.08,17.50,17.03,17.37,30597600,17.37
2011-09-01,17.98,17.98,17.42,17.42,46990700,17.42
2011-08-31,18.14,18.17,17.98,18.13,21019300,18.13
2011-08-30,17.72,18.18,17.62,18.05,28142700,18.05
2011-08-29,17.88,17.90,17.52,17.71,22578000,17.71
2011-08-26,17.37,17.77,17.32,17.60,20315000,17.60
2011-08-25,17.85,17.88,17.25,17.29,37956200,17.29
2011-08-24,18.10,18.17,17.75,17.96,34027100,17.96
2011-08-23,18.10,18.27,17.87,18.27,14268900,18.27
2011-08-22,18.06,18.10,17.77,18.05,17196100,18.05
2011-08-19,17.90,18.19,17.75,17.79,31011900,17.79
2011-08-18,17.95,18.36,17.90,18.10,35298100,18.10
2011-08-17,18.37,18.45,18.25,18.31,18115900,18.31
2011-08-16,18.28,18.38,18.11,18.25,15095200,18.25
2011-08-15,18.06,18.38,17.98,18.35,23253400,18.35
2011-08-12,18.05,18.11,17.79,17.88,21975700,17.88
2011-08-11,17.71,18.04,17.63,17.83,32427000,17.83
2011-08-10,17.34,17.96,17.31,17.48,53105400,17.48
2011-08-09,16.38,17.89,16.27,17.86,61300900,17.86
2011-08-08,16.61,17.25,16.34,16.34,60799600,16.34
2011-08-05,17.53,17.79,16.92,17.53,48069300,17.53
2011-08-04,17.83,17.90,17.43,17.45,33399900,17.45
2011-08-03,17.46,17.94,17.37,17.93,40949200,17.93
2011-08-02,17.66,17.70,17.27,17.35,37658100,17.35
2011-08-01,17.64,17.71,17.13,17.49,32585500,17.49
2011-07-29,17.21,17.27,14.05,16.78,87987700,16.78
2011-07-28,17.39,17.47,17.21,17.27,21984800,17.27
2011-07-27,17.54,17.56,17.20,17.20,28396800,17.20
2011-07-26,17.57,17.70,17.42,17.58,23331600,17.58
2011-07-25,17.88,17.92,17.53,17.54,41602800,17.54
2011-07-22,17.94,18.05,17.89,18.02,9526600,18.02
2011-07-21,18.00,18.07,17.85,17.89,17217400,17.89
2011-07-20,18.00,18.02,17.92,17.96,16131100,17.96
2011-07-19,17.86,17.94,17.83,17.94,15132400,17.94
2011-07-18,17.93,17.95,17.76,17.79,25967100,17.79
2011-07-15,17.92,17.96,17.75,17.96,24693100,17.96
2011-07-14,18.15,18.18,17.88,17.89,37310900,17.89
2011-07-13,18.19,18.25,18.07,18.10,46112500,18.10
2011-07-12,17.91,18.15,17.90,18.05,149817500,18.05
2011-07-11,18.50,18.58,18.32,18.32,16393400,18.32
2011-07-08,18.45,18.58,18.44,18.52,9775900,18.52
2011-07-07,18.43,18.56,18.40,18.53,14224300,18.53
2011-07-06,18.28,18.42,18.23,18.37,9546700,18.37
2011-07-05,18.24,18.35,18.17,18.26,12378300,18.26
2011-07-01,18.11,18.25,18.07,18.20,14286000,18.20
2011-06-30,18.06,18.10,18.02,18.04,15066300,18.04
2011-06-29,17.97,18.06,17.93,17.97,16733800,17.97
2011-06-28,18.13,18.14,17.86,17.87,30620900,17.87
2011-06-27,18.72,18.74,18.61,18.67,25910700,18.02
2011-06-24,18.79,18.79,18.60,18.70,20545100,18.05
2011-06-23,18.64,18.77,18.51,18.72,27055000,18.07
