Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,17.63,17.63,17.36,17.43,22748200,17.43
2011-09-19,17.90,18.28,17.40,17.48,21804900,17.48
2011-09-12,17.59,18.07,17.56,17.93,15919300,17.93
2011-09-06,17.21,17.87,17.05,17.81,20154700,17.81
2011-08-29,17.88,18.18,17.03,17.37,29865600,17.37
2011-08-22,18.06,18.27,17.25,17.60,24752600,17.60
2011-08-15,18.06,18.45,17.75,17.79,24554900,17.79
2011-08-08,16.61,18.11,16.27,17.88,45921700,17.88
2011-08-01,17.64,17.94,16.92,17.53,38532400,17.53
2011-07-25,17.88,17.92,14.05,16.78,40660700,16.78
2011-07-18,17.93,18.07,17.76,18.02,16794900,18.02
2011-07-11,18.50,18.58,17.75,17.96,54865400,17.96
2011-07-05,18.24,18.58,18.17,18.52,11481300,18.52
2011-06-27,18.72,18.74,17.86,18.20,20523500,18.20
2011-06-20,18.45,18.79,18.42,18.70,19142300,18.05
2011-06-13,18.23,18.50,18.18,18.40,11546600,17.76
2011-06-06,18.27,18.54,18.18,18.18,14499900,17.55
2011-05-31,18.10,18.28,18.05,18.22,10705500,17.59
2011-05-23,17.97,18.12,17.90,18.07,7505200,17.44
2011-05-16,17.58,18.04,17.57,18.00,9574400,17.37
2011-05-09,17.95,18.08,17.67,17.67,14843000,17.05
2011-05-02,17.87,18.01,17.79,17.95,9692000,17.33
2011-04-25,17.61,17.87,17.51,17.84,9158100,17.22
2011-04-18,17.45,17.60,17.25,17.58,9237700,16.97
2011-04-11,17.27,17.47,17.20,17.41,10810100,16.80
2011-04-04,17.43,17.58,17.15,17.23,13566300,16.63
2011-03-28,18.10,18.16,17.38,17.42,17013100,16.81
2011-03-21,17.91,18.16,17.81,18.12,14400100,16.89
2011-03-14,17.75,17.90,17.66,17.85,12288300,16.64
2011-03-07,17.89,17.91,17.70,17.71,13191700,16.51
2011-02-28,17.80,17.98,17.75,17.88,14721100,16.66
2011-02-22,17.58,17.78,17.46,17.75,16585700,16.54
2011-02-14,18.04,18.05,17.36,17.60,39727100,16.40
2011-02-07,17.68,18.02,17.67,17.95,10857900,16.73
2011-01-31,17.86,18.05,17.54,17.66,12110200,16.46
2011-01-24,17.78,18.04,17.71,17.83,12950400,16.62
2011-01-18,17.72,17.85,17.53,17.64,11361300,16.44
2011-01-10,17.79,17.89,17.61,17.75,12390700,16.54
2011-01-03,17.95,17.98,17.31,17.78,35584900,16.57
2010-12-27,17.87,17.97,17.78,17.92,6108300,16.70
2010-12-20,18.17,18.37,17.63,17.85,12402800,16.64
2010-12-13,18.21,18.37,17.78,18.08,12020400,16.26
2010-12-06,18.24,18.25,17.80,18.11,11982100,16.29
2010-11-29,18.04,18.34,18.00,18.20,8803400,16.37
2010-11-22,17.76,18.12,17.66,18.00,7000800,16.19
2010-11-15,17.92,18.00,17.58,17.71,8332200,15.93
2010-11-08,17.92,18.04,17.75,17.81,6826800,16.02
2010-11-01,17.76,17.97,17.55,17.91,8226400,16.11
2010-10-25,18.20,18.28,17.25,17.68,12786500,15.90
2010-10-18,17.99,18.30,17.98,18.19,7938200,16.36
2010-10-11,17.75,18.11,17.71,18.00,7874800,16.19
2010-10-04,17.54,17.84,17.46,17.71,8081700,15.93
2010-09-27,18.48,18.54,17.46,17.46,13040300,15.70
2010-09-20,17.94,18.46,17.90,18.40,11399200,15.94
2010-09-13,17.70,18.00,17.63,17.92,8944900,15.52
2010-09-07,17.64,17.79,17.50,17.59,8516400,15.24
2010-08-30,17.26,17.78,17.21,17.64,9507100,15.28
2010-08-23,17.69,17.84,16.73,17.20,13741000,14.90
2010-08-16,17.46,17.63,17.20,17.59,11750800,15.24
2010-08-09,17.49,17.90,17.30,17.39,14675700,15.06
2010-08-02,17.49,17.58,16.84,17.50,18086700,15.16
2010-07-26,17.98,18.25,17.33,17.40,16141900,15.07
2010-07-19,17.58,17.90,17.37,17.88,17185000,15.49
2010-07-12,18.15,18.37,17.35,17.50,21188900,15.16
2010-07-06,17.61,18.15,17.33,18.15,11922700,15.72
2010-06-28,17.45,17.55,16.94,17.43,11857300,15.10
2010-06-21,18.10,18.10,17.11,17.42,14494700,15.09
2010-06-14,17.62,17.94,17.27,17.89,13174100,14.90
2010-06-07,17.30,17.57,17.12,17.47,12985200,14.55
2010-06-01,17.05,17.40,16.84,17.12,14021800,14.26
2010-05-24,16.07,17.13,15.53,16.96,17170300,14.13
2010-05-17,15.97,16.28,15.11,15.72,14710700,13.10
2010-05-10,16.35,16.59,15.75,15.97,13401100,13.30
2010-05-03,17.01,17.18,14.09,15.80,23129300,13.16
2010-04-26,17.14,17.26,16.74,16.95,8638100,14.12
2010-04-19,16.95,17.27,16.70,17.12,8921300,14.26
2010-04-12,17.29,17.45,16.90,16.97,9264400,14.14
2010-04-05,17.41,17.43,17.11,17.23,7914000,14.35
2010-03-29,17.72,17.98,17.00,17.34,10642700,14.45
2010-03-22,18.68,18.73,17.55,17.69,14192500,14.20
2010-03-15,18.16,18.75,18.11,18.70,10527100,15.01
2010-03-08,18.25,18.54,18.03,18.11,10821700,14.54
2010-03-01,18.45,18.47,18.01,18.14,10221400,14.56
2010-02-22,17.84,18.39,17.77,18.38,9231000,14.76
2010-02-16,17.22,17.80,17.20,17.76,8907800,14.26
2010-02-08,18.05,18.19,16.96,17.15,16716400,13.77
2010-02-01,17.43,18.16,17.38,18.00,10092500,14.45
2010-01-25,17.12,17.51,17.04,17.38,7900700,13.95
2010-01-19,17.23,17.37,17.07,17.07,8482100,13.70
2010-01-11,17.61,17.70,17.03,17.18,7978900,13.79
2010-01-04,17.45,17.63,17.16,17.53,8600100,14.07
2009-12-28,17.89,17.98,17.35,17.35,6465500,13.93
2009-12-21,18.66,18.85,17.59,17.84,8429300,14.32
2009-12-14,18.75,18.99,18.01,18.69,9562600,14.40
2009-12-07,18.18,18.71,18.15,18.71,6730400,14.41
2009-11-30,18.13,18.80,17.95,18.17,8778400,14.00
2009-11-23,18.26,18.26,17.90,17.93,4990800,13.81
2009-11-16,17.85,18.30,17.64,18.11,6909500,13.95
2009-11-09,17.24,17.94,17.14,17.69,7332000,13.63
2009-11-02,17.02,17.33,16.82,17.06,8960000,13.14
2009-10-26,17.51,17.58,16.74,16.91,12145500,13.03
2009-10-19,17.27,17.72,17.24,17.45,6905700,13.44
2009-10-12,17.76,17.77,17.15,17.22,8380700,13.27
2009-10-05,17.90,18.05,17.15,17.64,10754100,13.59
2009-09-28,19.41,19.68,17.19,17.87,15644600,13.77
2009-09-21,18.88,19.74,18.11,19.23,12621600,14.29
2009-09-14,17.50,18.87,17.48,18.75,9947700,13.94
2009-09-08,17.53,17.92,17.30,17.54,9824600,13.04
2009-08-31,17.32,17.46,16.95,17.46,7933800,12.98
2009-08-24,17.67,17.72,17.25,17.38,7345700,12.92
2009-08-17,16.46,17.52,16.35,17.48,8956300,12.99
2009-08-10,17.10,17.19,16.44,16.69,9592500,12.41
2009-08-03,16.96,17.68,16.70,17.15,14259600,12.75
2009-07-27,16.49,16.95,16.22,16.85,10377000,12.52
2009-07-20,16.08,16.62,16.02,16.42,8484000,12.21
2009-07-13,15.28,16.08,15.14,15.98,9745800,11.88
2009-07-06,15.17,15.76,14.96,15.18,10676100,11.28
2009-06-29,15.11,15.39,14.93,15.11,8966500,11.23
2009-06-22,15.40,15.50,14.70,15.12,13828300,11.24
2009-06-15,14.79,15.56,14.49,15.54,12689900,11.10
2009-06-08,14.65,14.88,14.32,14.80,9735500,10.57
2009-06-01,14.15,14.94,13.95,14.75,13533000,10.54
2009-05-26,13.95,14.19,13.67,13.94,19486500,9.96
2009-05-18,14.44,14.95,13.96,13.96,15035300,9.97
2009-05-11,14.71,14.87,14.25,14.38,13289400,10.27
2009-05-04,14.22,14.95,14.17,14.86,18070300,10.62
2009-04-27,13.63,14.58,13.39,14.17,14970000,10.12
2009-04-20,13.93,14.27,13.21,13.94,22928200,9.96
2009-04-13,14.30,14.91,13.64,13.95,19322100,9.97
2009-04-06,14.34,14.80,13.57,14.53,15899000,10.38
2009-03-30,13.54,14.54,13.31,14.50,19429700,10.36
2009-03-23,14.04,14.78,13.61,13.62,23245600,9.73
2009-03-16,14.55,15.00,13.53,13.53,19684800,9.34
2009-03-09,12.79,14.63,12.58,14.37,19038500,9.92
2009-03-02,13.76,13.98,12.07,12.88,21671200,8.89
2009-02-23,14.57,14.89,13.81,13.90,16212800,9.59
2009-02-17,14.70,15.09,13.25,14.48,17426600,10.00
2009-02-09,15.34,15.45,14.25,15.01,13756300,10.36
2009-02-02,15.05,15.71,14.50,15.38,11188900,10.62
2009-01-26,14.75,16.20,14.72,15.14,12794700,10.45
2009-01-20,15.16,15.17,13.76,14.83,15237000,10.24
2009-01-12,15.89,16.04,14.14,15.35,14443800,10.60
2009-01-05,15.19,16.29,15.08,15.89,12507700,10.97
2009-01-02,15.89,16.00,15.08,15.27,10270800,10.54
