Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,26.41,27.04,26.27,26.83,6017485,26.83
2011-09-08,26.41,27.04,26.27,26.83,6017000,26.83
2011-09-07,25.92,26.60,25.89,26.59,12330500,26.59
2011-09-06,25.92,26.86,25.92,26.60,1386000,26.60
2011-09-02,26.55,27.13,26.45,26.56,1378000,26.56
2011-09-01,27.30,27.61,26.84,26.95,3919700,26.95
2011-08-31,26.84,27.32,26.69,27.26,1819300,27.26
2011-08-30,26.41,26.90,26.10,26.76,1197200,26.76
2011-08-29,26.00,26.62,25.80,26.60,1307100,26.60
2011-08-26,25.40,25.80,24.92,25.77,1161400,25.77
2011-08-25,25.56,25.70,25.07,25.41,1342700,25.41
2011-08-24,24.95,25.56,24.79,25.48,1143200,25.48
2011-08-23,24.68,25.02,24.37,25.01,834500,25.01
2011-08-22,24.44,24.59,24.12,24.47,761500,24.47
2011-08-19,24.06,24.62,23.91,24.19,1046400,24.19
2011-08-18,24.29,24.58,24.08,24.30,1491300,24.30
2011-08-17,24.70,24.87,24.60,24.79,657500,24.79
2011-08-16,24.52,24.81,24.31,24.61,689200,24.61
2011-08-15,24.27,24.85,24.14,24.80,1088400,24.80
2011-08-12,24.17,24.35,23.70,23.94,672300,23.94
2011-08-11,23.09,24.41,22.90,23.97,1573000,23.97
2011-08-10,23.64,24.14,22.80,22.92,2372500,22.92
2011-08-09,23.19,24.15,22.69,24.08,2206400,24.08
2011-08-08,23.49,23.92,22.95,22.97,2449500,22.97
2011-08-05,24.42,24.42,23.53,24.00,2100600,24.00
2011-08-04,24.31,24.55,23.92,24.18,2538100,24.18
2011-08-03,24.68,24.81,24.32,24.59,1640800,24.59
2011-08-02,25.02,25.07,24.59,24.70,1320500,24.70
2011-08-01,25.32,25.40,24.89,25.10,826000,25.10
2011-07-29,24.87,25.15,24.69,25.09,668200,25.09
2011-07-28,25.09,25.35,24.83,25.10,509800,25.10
2011-07-27,25.68,25.68,25.04,25.10,902400,25.10
2011-07-26,25.93,26.01,25.69,25.86,545200,25.48
2011-07-25,26.00,26.12,25.80,25.89,473100,25.50
2011-07-22,26.15,26.35,26.13,26.23,340100,25.84
2011-07-21,26.15,26.30,26.09,26.17,770000,25.78
2011-07-20,26.07,26.18,25.90,26.06,763500,25.67
2011-07-19,25.87,26.06,25.71,26.06,541300,25.67
2011-07-18,25.80,25.87,25.55,25.73,540400,25.35
2011-07-15,25.56,25.81,25.46,25.81,930100,25.43
2011-07-14,25.92,25.92,25.41,25.54,1287400,25.16
2011-07-13,25.68,25.72,25.49,25.56,937300,25.18
2011-07-12,25.23,25.71,25.23,25.56,767200,25.18
2011-07-11,25.39,25.49,25.20,25.32,618400,24.94
2011-07-08,25.37,25.65,25.30,25.61,362600,25.23
2011-07-07,25.49,25.71,25.38,25.63,1114600,25.25
2011-07-06,24.84,25.40,24.84,25.33,1525900,24.95
2011-07-05,24.89,24.98,24.71,24.92,622000,24.55
2011-07-01,24.51,24.98,24.50,24.85,606200,24.48
2011-06-30,24.59,24.69,24.46,24.51,520600,24.15
2011-06-29,24.45,24.61,24.34,24.53,529000,24.16
2011-06-28,24.37,24.42,24.11,24.41,639900,24.05
2011-06-27,24.28,24.46,24.16,24.32,709500,23.96
2011-06-24,24.31,24.50,24.02,24.28,913300,23.92
2011-06-23,24.40,24.46,24.08,24.26,861500,23.90
2011-06-22,24.48,24.84,24.45,24.64,857700,24.27
2011-06-21,24.50,24.66,24.39,24.58,807300,24.21
2011-06-20,24.05,24.41,24.01,24.40,899100,24.04
2011-06-17,24.27,24.27,23.97,24.09,805400,23.73
2011-06-16,23.69,24.17,23.66,24.06,1423600,23.70
2011-06-15,23.85,23.98,23.48,23.68,758000,23.33
2011-06-14,23.99,24.23,23.99,24.05,638600,23.69
2011-06-13,23.82,24.09,23.78,23.82,735500,23.47
2011-06-10,24.18,24.33,23.65,23.98,1965200,23.62
2011-06-09,24.69,24.69,24.25,24.28,1225700,23.92
2011-06-08,24.75,24.76,24.40,24.66,3422200,24.29
2011-06-07,24.85,25.14,24.72,24.73,3818600,24.36
2011-06-06,25.09,25.10,24.68,24.72,1106800,24.35
2011-06-03,24.78,25.15,24.71,25.04,1183200,24.67
2011-06-02,25.20,25.25,24.69,25.06,1559700,24.69
2011-06-01,25.78,25.83,25.18,25.20,1270500,24.82
2011-05-31,25.85,25.89,25.51,25.78,1194600,25.40
2011-05-27,25.70,25.73,25.50,25.62,546000,25.24
2011-05-26,25.53,25.74,25.39,25.58,522700,25.20
2011-05-25,25.59,25.67,25.30,25.54,526500,25.16
2011-05-24,25.74,25.88,25.52,25.67,662200,25.29
2011-05-23,25.54,25.80,25.48,25.69,521000,25.31
2011-05-20,26.02,26.17,25.71,25.78,448100,25.40
2011-05-19,26.17,26.22,25.76,26.11,387600,25.72
2011-05-18,25.92,26.07,25.75,26.06,404900,25.67
2011-05-17,25.73,25.95,25.65,25.85,408700,25.47
2011-05-16,25.71,25.97,25.69,25.80,382400,25.42
2011-05-13,26.11,26.13,25.64,25.85,544700,25.47
2011-05-12,25.75,26.18,25.61,26.10,836000,25.71
2011-05-11,26.29,26.31,25.76,25.88,739300,25.49
2011-05-10,26.08,26.37,26.01,26.33,553900,25.94
2011-05-09,26.09,26.09,25.83,25.98,541500,25.59
2011-05-06,26.65,26.65,25.93,26.11,975700,25.72
2011-05-05,26.32,26.69,26.28,26.45,567300,26.06
2011-05-04,26.55,26.56,26.22,26.40,550200,26.01
2011-05-03,26.34,26.61,26.23,26.51,625600,26.12
2011-05-02,26.45,26.50,26.13,26.34,580300,25.95
2011-04-29,26.45,26.50,26.06,26.34,532000,25.95
2011-04-28,26.14,26.49,26.12,26.43,487100,26.04
2011-04-27,26.16,26.16,25.91,26.08,379200,25.69
2011-04-26,26.20,26.42,26.16,26.33,414100,25.56
2011-04-25,26.16,26.26,25.91,26.10,270400,25.34
2011-04-21,26.27,26.37,25.98,26.13,317400,25.37
2011-04-20,26.08,26.22,25.86,26.15,580900,25.39
2011-04-19,25.64,25.86,25.61,25.79,356300,25.04
2011-04-18,25.39,25.62,25.35,25.55,529600,24.81
2011-04-15,25.37,25.89,25.37,25.66,612200,24.91
2011-04-14,25.14,25.51,24.98,25.43,639300,24.69
2011-04-13,25.43,25.58,25.07,25.20,641600,24.47
2011-04-12,25.46,25.69,25.38,25.40,461400,24.66
2011-04-11,25.57,25.91,25.52,25.61,356000,24.86
2011-04-08,25.98,26.05,25.45,25.56,763600,24.82
2011-04-07,26.10,26.18,25.80,25.86,653000,25.11
2011-04-06,26.12,26.24,26.02,26.05,347900,25.29
2011-04-05,25.99,26.20,25.93,26.05,446900,25.29
2011-04-04,25.95,26.09,25.86,26.00,644500,25.24
2011-04-01,26.20,26.35,25.75,25.95,649900,25.19
2011-03-31,25.79,26.22,25.72,26.13,956400,25.37
2011-03-30,25.50,25.88,25.41,25.78,899900,25.03
2011-03-29,25.23,25.54,25.04,25.39,484700,24.65
2011-03-28,25.33,25.40,25.14,25.28,329900,24.54
2011-03-25,25.04,25.53,24.96,25.25,1087300,24.52
2011-03-24,25.03,25.06,24.74,24.94,446600,24.21
2011-03-23,25.01,25.12,24.67,24.95,570800,24.22
2011-03-22,25.13,25.24,25.01,25.02,459300,24.29
2011-03-21,25.09,25.19,24.92,25.06,543300,24.33
2011-03-18,24.71,24.88,24.54,24.87,1016800,24.15
2011-03-17,24.83,24.86,24.51,24.57,499800,23.85
2011-03-16,24.65,24.86,24.44,24.53,830100,23.82
2011-03-15,24.53,25.00,24.39,24.73,940000,24.01
2011-03-14,25.13,25.24,24.80,24.99,837400,24.26
2011-03-11,25.29,25.48,25.23,25.27,535400,24.53
2011-03-10,25.35,25.53,25.17,25.32,803000,24.58
2011-03-09,25.49,25.78,25.49,25.68,531200,24.93
2011-03-08,25.49,25.86,25.26,25.65,934800,24.90
2011-03-07,25.54,25.82,25.27,25.58,4492500,24.84
2011-03-04,25.60,25.67,25.32,25.64,687700,24.89
2011-03-03,25.62,25.79,25.42,25.67,705100,24.92
2011-03-02,25.23,25.69,25.22,25.33,1505700,24.59
2011-03-01,25.75,25.79,25.16,25.22,1233000,24.49
