Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,25.92,27.04,25.89,26.83,6577800,26.83
2011-08-29,26.00,27.61,25.80,26.56,1924200,26.56
2011-08-22,24.44,25.80,24.12,25.77,1048600,25.77
2011-08-15,24.27,24.87,23.91,24.19,994500,24.19
2011-08-08,23.49,24.41,22.69,23.94,1854700,23.94
2011-08-01,25.32,25.40,23.53,24.00,1685200,24.00
2011-07-25,26.00,26.12,24.69,25.09,619700,25.09
2011-07-18,25.80,26.35,25.55,26.23,591000,25.84
2011-07-11,25.39,25.92,25.20,25.81,908000,25.43
2011-07-05,24.89,25.71,24.71,25.61,906200,25.23
2011-06-27,24.28,24.98,24.11,24.85,601000,24.48
2011-06-20,24.05,24.84,24.01,24.28,867700,23.92
2011-06-13,23.82,24.27,23.48,24.09,872200,23.73
2011-06-06,25.09,25.14,23.65,23.98,2307700,23.62
2011-05-31,25.85,25.89,24.69,25.04,1302000,24.67
2011-05-23,25.54,25.88,25.30,25.62,555600,25.24
2011-05-16,25.71,26.22,25.65,25.78,406300,25.40
2011-05-09,26.09,26.37,25.61,25.85,643000,25.47
2011-05-02,26.45,26.69,25.93,26.11,659800,25.72
2011-04-25,26.16,26.50,25.91,26.34,416500,25.95
2011-04-18,25.39,26.37,25.35,26.13,446000,25.37
2011-04-11,25.57,25.91,24.98,25.66,542100,24.91
2011-04-04,25.95,26.24,25.45,25.56,571100,24.82
2011-03-28,25.33,26.35,25.04,25.95,664100,25.19
2011-03-21,25.09,25.53,24.67,25.25,621400,24.52
2011-03-14,25.13,25.24,24.39,24.87,824800,24.15
2011-03-07,25.54,25.86,25.17,25.27,1459300,24.53
2011-02-28,25.29,25.79,25.16,25.64,1020100,24.89
2011-02-22,24.56,25.24,24.34,25.22,1131600,24.49
2011-02-14,24.73,24.83,24.34,24.75,788900,24.03
2011-02-07,24.51,24.80,24.35,24.69,687300,23.97
2011-01-31,24.76,25.08,24.32,24.41,626900,23.70
2011-01-24,24.64,25.55,24.52,24.67,766700,23.95
2011-01-18,24.82,25.07,24.51,24.61,1229200,23.54
2011-01-10,25.10,25.32,24.64,24.81,1489100,23.73
2011-01-03,26.67,26.93,25.24,25.38,1175800,24.27
2010-12-27,25.94,26.85,25.83,26.50,351600,25.34
2010-12-20,26.16,26.58,25.94,25.97,756100,24.84
2010-12-13,26.37,26.38,25.45,26.15,965700,25.01
2010-12-06,27.16,27.92,26.27,26.31,2357100,25.16
2010-11-29,26.23,27.49,25.85,27.19,1190600,26.00
2010-11-22,25.97,26.44,25.73,26.31,553000,25.16
2010-11-15,26.88,26.88,25.49,25.99,805600,24.86
2010-11-08,27.64,27.65,26.49,26.67,718900,25.51
2010-11-01,27.18,28.11,26.93,27.65,575400,26.44
2010-10-25,27.65,27.81,26.83,27.10,716100,25.92
2010-10-18,26.75,27.86,26.69,27.51,814100,25.95
2010-10-11,26.31,26.98,26.11,26.72,725400,25.20
2010-10-04,25.15,26.43,25.11,26.39,770400,24.89
2010-09-27,25.41,25.41,24.77,25.19,624300,23.76
2010-09-20,25.21,25.94,24.55,25.38,863100,23.94
2010-09-13,24.82,25.22,24.61,25.22,719800,23.79
2010-09-07,24.93,25.20,24.51,24.58,612600,23.18
2010-08-30,24.15,25.47,23.74,25.12,914200,23.69
2010-08-23,23.88,24.26,23.19,24.20,643500,22.82
2010-08-16,23.30,24.59,23.16,23.78,933400,22.43
2010-08-09,23.54,24.01,22.85,23.40,1140300,22.07
2010-08-02,23.63,23.87,22.89,23.39,930200,22.06
2010-07-26,23.26,24.00,22.85,23.12,913100,21.81
2010-07-19,22.33,23.22,21.97,23.21,896400,21.54
2010-07-12,22.37,23.02,22.11,22.27,734900,20.67
2010-07-06,21.76,22.56,20.82,22.48,982200,20.86
2010-06-28,22.15,22.15,21.07,21.46,973900,19.92
