Date,Open,High,Low,Close,Volume,Adj Close
2011-11-07,0,0,0,128.6,0,128.6
2011-11-04,128.05,130.34,126.57,128.60,3039700,128.60
2011-11-03,127.04,129.95,125.18,129.47,4267200,129.47
2011-11-02,127.01,127.03,123.68,126.14,4174900,126.06
2011-11-01,121.72,125.47,119.82,122.96,7272300,122.88
2011-10-31,132.27,133.12,128.73,128.89,3647600,128.81
2011-10-28,132.32,135.39,132.32,134.76,3433200,134.67
2011-10-27,130.56,135.93,130.49,134.11,9275500,133.93
2011-10-26,124.99,126.65,121.42,125.98,4728800,125.81
2011-10-25,125.72,126.00,121.13,122.82,6115500,122.65
2011-10-24,121.35,125.18,121.27,125.16,5123300,124.99
2011-10-21,121.28,123.28,119.55,120.66,8682400,120.50
2011-10-20,118.30,119.94,116.04,119.45,6158500,119.29
2011-10-19,120.55,122.32,117.46,117.93,6267800,117.77
2011-10-18,116.84,121.78,114.43,121.07,7482700,120.91
2011-10-17,120.87,121.45,116.56,116.78,6466100,116.62
2011-10-14,119.06,122.34,118.36,122.15,5927300,121.99
2011-10-13,115.71,116.87,113.20,116.31,4446300,116.15
2011-10-12,117.12,119.47,116.00,116.42,7365300,116.26
2011-10-11,113.74,117.68,113.60,116.09,6148800,115.93
2011-10-10,112.79,115.43,112.53,114.80,6034500,114.65
2011-10-07,111.70,112.24,107.70,109.14,7351200,108.99
2011-10-06,106.77,112.01,106.15,111.26,9747600,111.11
2011-10-05,102.75,107.35,100.57,106.89,9079600,106.75
2011-10-04,97.31,102.64,95.00,102.43,11900000,102.29
2011-10-03,101.87,104.10,99.45,99.45,8709600,99.32
2011-09-30,105.19,106.19,103.11,103.11,6563700,102.97
2011-09-29,110.95,111.27,105.36,107.85,8908100,107.70
2011-09-28,113.61,114.52,107.67,107.80,7253500,107.65
2011-09-27,116.80,117.60,112.60,113.69,7483200,113.54
2011-09-26,109.84,113.31,106.16,113.01,7486900,112.86
2011-09-23,109.49,111.22,108.46,108.93,7056300,108.78
2011-09-22,113.83,113.84,108.31,110.75,9249300,110.60
2011-09-21,125.59,126.04,118.60,118.60,7708000,118.44
2011-09-20,127.51,129.34,125.24,125.32,3707700,125.15
2011-09-19,127.03,128.13,124.53,127.03,3855100,126.86
2011-09-16,131.89,132.57,128.74,130.10,3835100,129.92
2011-09-15,130.53,131.55,129.11,131.09,4166100,130.91
2011-09-14,127.98,130.56,124.11,128.90,4659100,128.73
2011-09-13,126.80,128.36,124.02,127.33,5628300,127.16
2011-09-12,122.55,126.73,122.49,126.48,5790200,126.31
2011-09-09,128.30,129.21,124.29,125.47,6088000,125.30
2011-09-08,130.83,133.18,129.57,130.25,3525800,130.07
2011-09-07,128.70,132.04,128.42,131.99,4373900,131.77
2011-09-06,122.71,126.76,122.06,126.44,5337300,126.21
2011-09-02,128.60,129.49,126.60,127.70,3980500,127.47
2011-09-01,134.21,135.62,131.80,131.83,4457500,131.59
2011-08-31,134.00,136.28,132.54,133.81,4467400,133.57
2011-08-30,130.40,133.62,129.00,132.46,4282600,132.21
2011-08-29,128.92,131.28,127.96,131.14,2786000,130.77
2011-08-26,120.61,127.35,120.60,126.44,5961000,126.08
2011-08-25,125.65,126.64,121.37,122.12,4980800,121.77
2011-08-24,123.51,124.90,121.60,124.73,4969400,124.38
2011-08-23,119.57,124.22,117.91,124.22,5577100,123.69
2011-08-22,123.90,124.00,118.00,118.29,5520400,117.79
2011-08-19,122.54,126.31,119.61,120.29,8541100,119.78
2011-08-18,129.52,129.75,123.41,125.00,7702900,124.47
2011-08-17,135.60,137.21,133.51,134.69,3611600,134.12
2011-08-16,135.16,136.57,132.56,133.63,4167200,133.06
2011-08-15,134.74,138.57,134.74,137.49,4959600,136.91
2011-08-12,133.03,134.12,131.33,132.77,6380300,132.21
2011-08-11,126.97,133.35,124.01,131.22,7383200,130.66
2011-08-10,127.75,130.48,124.11,125.03,9917700,124.50
2011-08-09,126.24,130.00,121.51,129.93,8740900,129.38
2011-08-08,129.26,132.39,121.53,122.32,10020600,121.80
2011-08-05,139.99,141.12,130.00,135.82,12489500,135.21
2011-08-04,147.30,147.40,137.39,137.77,9790600,137.15
2011-08-03,151.91,152.29,146.59,150.95,6862400,150.22
2011-08-02,155.07,157.78,151.76,151.76,5314000,151.03
2011-08-01,160.90,161.07,154.71,156.58,4435200,155.83
2011-07-29,155.90,158.62,155.49,157.90,2833600,157.14
2011-07-28,158.22,160.57,158.20,158.53,3379600,157.77
2011-07-27,160.64,161.52,157.45,157.90,3607500,157.04
2011-07-26,162.64,163.65,161.20,161.61,3610200,160.73
2011-07-25,159.26,162.58,159.23,161.66,2071800,160.78
2011-07-22,160.47,161.84,158.89,161.53,4042400,160.65
2011-07-21,157.58,159.29,157.26,159.21,3430200,158.35
2011-07-20,157.42,157.66,155.59,156.90,2558100,156.05
2011-07-19,154.25,156.95,154.21,156.73,4141300,155.88
2011-07-18,153.31,154.35,151.85,152.95,3493500,152.12
2011-07-15,150.72,153.79,150.72,153.66,4237600,152.83
2011-07-14,151.98,152.30,148.76,149.25,6368500,148.44
2011-07-13,149.95,154.00,149.95,151.20,4553100,150.38
2011-07-12,149.59,151.37,148.98,149.23,3831800,148.42
2011-07-11,151.72,152.76,149.55,150.60,4061600,149.78
2011-07-08,152.88,154.82,152.48,154.52,2412600,153.68
2011-07-07,155.60,156.28,153.81,155.76,3066600,154.92
2011-07-06,153.37,154.38,152.05,153.65,3054300,152.82
2011-07-05,152.76,155.00,152.26,154.00,3291200,153.17
2011-07-01,151.38,153.04,149.75,152.65,4110900,151.82
2011-06-30,149.98,152.35,149.95,152.00,4415600,151.18
2011-06-29,147.61,151.06,147.15,149.36,6158600,148.55
2011-06-28,142.79,147.38,142.76,147.16,4759700,146.36
2011-06-27,140.58,142.14,139.16,141.32,4522500,140.55
2011-06-24,144.58,144.86,140.80,140.91,3888200,140.15
2011-06-23,142.05,144.79,139.70,144.48,6762600,143.70
2011-06-22,144.88,147.67,144.55,145.42,3501000,144.63
2011-06-21,142.99,145.84,142.75,144.91,4040800,144.12
2011-06-20,140.83,142.52,139.72,141.72,4845400,140.95
2011-06-17,144.04,144.16,141.16,142.01,5394100,141.24
2011-06-16,143.88,145.11,141.45,143.01,4660500,142.23
2011-06-15,145.19,147.55,142.85,143.83,4975100,143.05
2011-06-14,145.40,147.86,145.19,146.82,3908000,146.02
2011-06-13,143.58,147.24,141.61,143.58,5843700,142.80
2011-06-10,149.08,149.26,146.18,146.28,4939000,145.49
2011-06-09,148.19,151.30,147.72,150.34,5084200,149.53
2011-06-08,147.97,148.94,146.81,147.17,3789300,146.33
2011-06-07,148.60,149.90,147.35,147.38,4090200,146.52
2011-06-06,151.64,152.63,146.94,147.18,4945600,146.32
2011-06-03,149.25,154.30,148.90,152.34,4875000,151.45
2011-06-02,149.95,152.59,149.51,151.68,5721700,150.80
2011-06-01,152.85,154.37,149.36,149.74,5350400,148.87
2011-05-31,155.10,155.59,152.34,153.43,5733300,152.52
2011-05-27,154.45,155.44,152.32,152.80,4072600,151.90
2011-05-26,152.66,154.10,151.63,153.70,3303100,152.67
2011-05-25,148.27,153.54,148.27,152.62,6119400,151.60
2011-05-24,147.72,150.06,147.33,148.65,5166400,147.66
2011-05-23,145.93,146.94,145.04,146.03,4666800,145.05
2011-05-20,148.70,150.48,147.01,149.02,6541100,148.02
2011-05-19,149.72,150.38,147.57,148.83,4365700,147.83
2011-05-18,146.00,150.05,145.83,148.83,5415500,147.83
2011-05-17,145.35,147.21,143.61,145.46,6514900,144.30
2011-05-16,147.11,149.89,145.71,146.12,4602600,144.95
2011-05-13,148.20,150.36,146.18,147.49,6283600,146.31
