Date,Open,High,Low,Close,Volume,Adj Close
2011-10-31,132.27,133.12,119.82,128.60,4480300,128.60
2011-10-24,121.35,135.93,121.13,134.76,5735200,134.67
2011-10-17,120.87,123.28,114.43,120.66,7011500,120.50
2011-10-10,112.79,122.34,112.53,122.15,5984400,121.99
2011-10-03,101.87,112.24,95.00,109.14,9357600,108.99
2011-09-26,109.84,117.60,103.11,103.11,7539000,102.97
2011-09-19,127.03,129.34,108.31,108.93,6315200,108.78
2011-09-12,122.55,132.57,122.49,130.10,4815700,129.92
2011-09-06,122.71,133.18,122.06,125.47,4831200,125.30
2011-08-29,128.92,136.28,126.60,127.70,3994800,127.47
2011-08-22,123.90,127.35,117.91,126.44,5401700,126.08
2011-08-15,134.74,138.57,119.61,120.29,5796400,119.78
2011-08-08,129.26,134.12,121.51,132.77,8488500,132.21
2011-08-01,160.90,161.07,130.00,135.82,7778300,135.21
2011-07-25,159.26,163.65,155.49,157.90,3100500,157.14
2011-07-18,153.31,161.84,151.85,161.53,3533100,160.65
2011-07-11,151.72,154.00,148.76,153.66,4610500,152.83
2011-07-05,152.76,156.28,152.05,154.52,2956100,153.68
2011-06-27,140.58,153.04,139.16,152.65,4793400,151.82
2011-06-20,140.83,147.67,139.70,140.91,4607600,140.15
2011-06-13,143.58,147.86,141.16,142.01,4956200,141.24
2011-06-06,151.64,152.63,146.18,146.28,4569600,145.49
2011-05-31,155.10,155.59,148.90,152.34,5420100,151.45
2011-05-23,145.93,155.44,145.04,152.80,4665600,151.90
2011-05-16,147.11,150.48,143.61,149.02,5487900,148.02
2011-05-09,149.02,153.23,144.50,147.49,6661600,146.31
2011-05-02,161.65,162.40,146.27,147.58,8349500,146.40
2011-04-25,161.45,163.05,157.52,161.32,3950200,159.95
2011-04-18,154.19,162.24,151.89,161.73,3418200,160.26
2011-04-11,162.71,164.13,153.37,156.44,5537900,155.01
2011-04-04,165.85,167.37,160.76,162.24,3771000,160.76
2011-03-28,158.79,167.21,158.07,164.47,4390000,162.97
2011-03-21,157.52,160.96,156.91,159.36,3769400,157.91
2011-03-14,154.17,158.60,149.35,155.03,5901200,153.62
2011-03-07,162.91,164.37,149.55,155.75,4524700,154.33
2011-02-28,163.84,165.98,158.15,162.44,4111200,160.94
2011-02-22,165.01,165.33,157.26,163.35,5137000,161.75
2011-02-14,154.55,164.92,154.55,163.99,4529500,162.38
2011-02-07,156.15,158.88,150.81,154.74,5301100,153.14
2011-01-31,150.10,157.20,149.67,155.49,4661600,153.76
2011-01-24,142.47,151.66,140.31,150.41,5803400,148.69
2011-01-18,146.67,147.54,139.98,142.81,5928800,141.18
2011-01-10,138.44,146.62,136.29,146.59,4092100,144.91
2011-01-03,142.17,142.17,135.42,139.25,5360200,137.66
2010-12-27,138.12,140.90,136.67,140.53,2011800,138.92
2010-12-20,137.89,139.25,136.01,138.67,1970500,137.08
2010-12-13,137.77,139.65,133.82,136.83,3927100,135.26
2010-12-06,137.61,139.99,133.76,136.18,3726100,134.62
2010-11-29,128.03,137.88,126.30,137.59,5399300,136.02
2010-11-22,130.52,130.67,126.32,128.00,3237500,126.36
2010-11-15,128.00,131.17,122.97,130.98,4819800,129.30
2010-11-08,125.42,130.28,125.30,127.00,4993100,125.37
2010-11-01,120.87,126.95,118.96,126.09,4159500,124.47
2010-10-25,119.80,121.55,116.85,119.20,3875900,117.64
2010-10-18,119.28,119.79,114.54,118.94,4116300,117.25
2010-10-11,115.37,120.54,113.65,120.09,4785600,118.38
2010-10-04,113.67,116.57,110.56,115.79,4035200,114.14
2010-09-27,111.45,115.10,109.56,113.82,4133700,112.20
2010-09-20,107.65,111.49,106.44,110.82,4295300,109.24
2010-09-13,108.65,109.02,105.40,107.18,3810800,105.65
2010-09-07,103.40,107.79,101.96,107.14,3936200,105.61
2010-08-30,99.90,105.10,96.49,103.80,4928200,102.30
2010-08-23,99.33,101.19,96.10,100.21,4985300,98.62
2010-08-16,101.87,105.76,98.00,99.19,3899500,97.62
2010-08-09,109.48,109.63,100.89,102.24,4093100,100.62
