Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,29.11,29.79,28.65,29.71,37762634,29.71
2011-09-23,28.10,29.08,27.81,28.90,43990000,28.90
2011-09-22,28.74,29.03,27.83,28.34,61367400,28.34
2011-09-21,29.81,30.96,29.47,29.54,83318500,29.54
2011-09-20,29.24,29.36,28.22,28.35,50913500,28.35
2011-09-19,28.74,29.24,28.17,29.02,34514400,29.02
2011-09-16,29.04,29.30,28.80,29.23,58055700,29.23
2011-09-15,28.61,29.00,28.26,28.95,28844100,28.95
2011-09-14,28.02,28.58,27.66,28.15,34970700,28.15
2011-09-13,26.82,27.79,26.76,27.72,42352600,27.72
2011-09-12,25.92,26.77,25.90,26.75,37351100,26.75
2011-09-09,26.42,26.61,25.77,26.00,38957500,26.00
2011-09-08,27.45,27.53,26.37,26.72,50381900,26.72
2011-09-07,26.98,27.63,26.75,27.63,26106300,27.63
2011-09-06,26.03,26.82,25.71,26.49,30905300,26.49
2011-09-02,27.23,27.45,26.78,26.97,30297300,26.97
2011-09-01,28.03,28.67,27.75,27.85,34196400,27.85
2011-08-31,27.86,28.61,27.71,28.07,31444700,28.07
2011-08-30,27.81,28.04,27.46,27.87,29944300,27.87
2011-08-29,27.05,27.96,27.02,27.91,28945500,27.91
2011-08-26,25.88,26.83,25.48,26.65,34449300,26.65
2011-08-25,26.85,27.05,25.73,25.90,38264100,25.90
2011-08-24,26.11,26.73,26.01,26.68,31584800,26.68
2011-08-23,25.19,26.21,25.16,26.20,36867400,26.20
2011-08-22,25.41,25.62,24.81,25.06,37825200,25.06
2011-08-19,24.82,25.60,24.75,24.78,46790700,24.78
2011-08-18,26.46,26.49,24.72,25.19,78447200,25.19
2011-08-17,27.65,28.05,27.07,27.47,34073900,27.47
2011-08-16,27.42,27.96,27.23,27.57,37615100,27.57
2011-08-15,27.42,27.86,27.16,27.64,38334200,27.64
2011-08-12,27.83,27.83,26.99,27.39,43237700,27.39
2011-08-11,26.50,28.04,26.37,27.70,58279400,27.70
2011-08-10,26.80,27.51,26.11,26.48,82822200,26.48
2011-08-09,26.46,27.60,25.81,27.60,82422500,27.60
2011-08-08,27.47,28.04,25.96,26.02,80846400,26.02
2011-08-05,29.33,29.42,27.50,28.35,82197000,28.35
2011-08-04,29.84,29.87,28.84,28.88,49431400,28.88
2011-08-03,29.50,30.35,29.15,30.19,44045900,30.19
2011-08-02,29.79,30.40,29.52,29.55,40691100,29.55
2011-08-01,30.97,31.21,29.56,30.11,38566200,30.11
2011-07-29,30.52,31.19,30.26,30.58,38197900,30.58
2011-07-28,30.70,31.15,30.63,30.67,29318800,30.67
2011-07-27,31.81,31.84,30.62,30.71,43084100,30.71
2011-07-26,32.25,32.52,31.84,32.15,33566100,32.15
2011-07-25,32.25,32.44,32.04,32.21,20805900,32.21
2011-07-22,32.37,32.67,32.10,32.55,21376700,32.55
2011-07-21,32.19,32.75,32.06,32.47,24515300,32.47
2011-07-20,32.44,32.60,32.06,32.08,23069000,32.08
2011-07-19,31.91,32.67,31.89,32.64,26834400,32.64
2011-07-18,31.83,31.94,31.20,31.49,25249700,31.49
2011-07-15,32.15,32.26,31.84,32.09,25407800,32.09
2011-07-14,32.80,33.10,31.86,32.05,32194100,32.05
2011-07-13,32.86,33.29,32.59,32.69,36495800,32.69
2011-07-12,33.32,33.47,32.52,32.60,35087600,32.60
2011-07-11,33.61,33.66,32.90,33.14,21943000,33.14
2011-07-08,33.74,33.95,33.42,33.94,23909500,33.88
2011-07-07,33.47,34.13,33.40,34.09,29884800,34.03
2011-07-06,33.00,33.25,32.87,33.21,22361700,33.15
2011-07-05,33.01,33.14,32.79,33.06,21406500,33.00
2011-07-01,32.89,33.20,32.48,33.05,25382400,32.99
2011-06-30,32.63,32.94,32.51,32.91,22182000,32.85
2011-06-29,32.40,32.68,32.21,32.43,27301900,32.37
2011-06-28,31.69,32.37,31.37,32.34,32740700,32.28
2011-06-27,30.98,31.83,30.86,31.58,29581200,31.52
2011-06-24,31.49,31.71,30.96,31.14,75114800,31.08
2011-06-23,31.90,32.55,31.33,32.46,54354700,32.40
2011-06-22,32.58,32.58,32.14,32.20,25940900,32.14
2011-06-21,32.09,32.71,31.75,32.65,26937000,32.59
2011-06-20,31.35,31.99,31.25,31.91,23401600,31.85
2011-06-17,31.35,31.81,31.18,31.19,42803800,31.13
2011-06-16,31.16,31.27,30.65,30.80,29862900,30.75
2011-06-15,31.73,31.99,31.06,31.16,34512000,31.10
2011-06-14,31.99,32.20,31.83,32.08,23065700,32.02
2011-06-13,31.63,31.85,31.12,31.63,26716700,31.57
2011-06-10,31.42,31.65,31.12,31.18,23746900,31.12
2011-06-09,31.36,31.93,31.28,31.63,21646900,31.57
2011-06-08,31.75,31.85,31.14,31.25,36607600,31.19
2011-06-07,32.24,32.30,31.84,31.84,28218500,31.78
2011-06-06,32.15,32.58,32.07,32.19,21677700,32.13
2011-06-03,32.24,32.76,32.21,32.33,23807800,32.27
2011-06-02,32.87,32.88,32.08,32.72,38254000,32.66
2011-06-01,34.23,34.30,32.83,32.88,31762700,32.82
2011-05-31,33.91,34.23,33.32,34.22,30779600,34.16
