Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,29.06,29.79,28.65,29.71,37761900,29.71
2011-09-19,28.74,30.96,27.81,28.90,54820700,28.90
2011-09-12,25.92,29.30,25.90,29.23,40314800,29.23
2011-09-06,26.03,27.63,25.71,26.00,36587700,26.00
2011-08-29,27.05,28.67,26.78,26.97,30965600,26.97
2011-08-22,25.41,27.05,24.81,26.65,35798100,26.65
2011-08-15,27.42,28.05,24.72,24.78,47052200,24.78
2011-08-08,27.47,28.04,25.81,27.39,69521600,27.39
2011-08-01,30.97,31.21,27.50,28.35,50986300,28.35
2011-07-25,32.25,32.52,30.26,30.58,32994500,30.58
2011-07-18,31.83,32.75,31.20,32.55,24209000,32.55
2011-07-11,33.61,33.66,31.84,32.09,30225600,32.09
2011-07-05,33.01,34.13,32.79,33.94,24390600,33.88
2011-06-27,30.98,33.20,30.86,33.05,27437600,32.99
2011-06-20,31.35,32.71,30.96,31.14,41149800,31.08
2011-06-13,31.63,32.20,30.65,31.19,31392200,31.13
2011-06-06,32.15,32.58,31.12,31.18,26379500,31.12
2011-05-31,33.91,34.30,32.08,32.33,31151000,32.27
2011-05-23,33.68,33.85,32.92,33.70,22560200,33.64
2011-05-16,35.08,35.09,33.55,34.27,25691200,34.21
2011-05-09,34.89,35.92,34.72,35.19,19545400,35.13
2011-05-02,35.84,36.50,34.57,34.87,28185500,34.81
2011-04-25,34.70,36.05,34.56,35.96,36358200,35.90
2011-04-18,33.67,34.79,33.28,34.75,21649200,34.69
2011-04-11,33.54,34.30,33.08,34.18,20134500,34.12
2011-04-04,34.09,34.43,33.30,33.54,24133500,33.42
2011-03-28,32.83,34.10,32.36,34.02,33690700,33.90
2011-03-21,31.45,34.10,30.83,32.64,33928000,32.52
2011-03-14,31.52,31.86,29.62,30.76,32934900,30.65
2011-03-07,32.97,33.14,31.34,31.91,22470500,31.80
2011-02-28,33.06,33.23,31.55,32.77,23245500,32.65
2011-02-22,33.29,33.66,31.64,32.95,22822700,32.83
2011-02-14,33.29,33.71,32.61,33.68,18338600,33.56
2011-02-07,32.70,33.59,32.55,33.47,17988700,33.35
2011-01-31,31.95,33.56,31.84,32.62,25808100,32.50
2011-01-24,32.58,33.30,31.83,32.00,24805300,31.89
2011-01-18,31.26,32.68,31.23,32.51,34031700,32.39
2011-01-10,30.85,31.39,30.80,31.25,34283200,31.14
2011-01-03,31.59,31.94,30.93,31.03,25946400,30.87
2010-12-27,31.40,31.80,30.93,31.30,11605800,31.14
2010-12-20,31.54,32.00,31.11,31.54,20158700,31.38
2010-12-13,29.99,32.27,29.57,31.46,48277100,31.30
2010-12-06,28.85,29.98,28.64,29.95,23004500,29.80
2010-11-29,27.17,28.90,26.81,28.81,34577200,28.66
2010-11-22,27.89,28.09,27.08,27.49,26678900,27.35
2010-11-15,28.35,28.77,27.49,28.15,27204200,28.00
2010-11-08,29.08,29.25,27.68,28.32,30522100,28.17
2010-11-01,29.52,29.82,28.94,29.25,27860200,29.10
2010-10-25,29.15,29.71,28.36,29.38,32554300,29.23
2010-10-18,28.73,29.24,28.45,28.99,33247400,28.84
2010-10-11,27.90,28.91,26.98,28.90,38449100,28.75
2010-10-04,27.02,28.08,26.89,28.00,40740500,27.86
2010-09-27,26.86,27.61,26.78,27.24,38117600,27.05
2010-09-20,27.35,27.57,26.64,26.96,55030400,26.77
2010-09-13,25.14,27.63,25.04,27.48,63912800,27.29
2010-09-07,24.56,25.15,23.88,25.05,59686800,24.88
2010-08-30,22.34,22.94,21.66,22.92,26685000,22.76
2010-08-23,23.06,23.30,21.95,22.51,20097700,22.35
2010-08-16,22.51,23.25,22.35,23.02,21943600,22.86
2010-08-09,24.40,24.59,22.51,22.66,27560800,22.50
2010-08-02,23.87,24.59,23.72,24.38,23093000,24.21
2010-07-26,24.45,24.68,23.40,23.64,32076100,23.48
2010-07-19,23.48,24.58,23.04,24.50,31820900,24.33
2010-07-12,23.21,24.19,23.11,23.27,26540500,23.11
2010-07-06,22.00,23.39,22.00,23.37,29975100,23.16
2010-06-28,22.84,22.85,21.24,21.83,32854400,21.63
2010-06-21,23.37,23.66,22.14,22.66,31004400,22.45
2010-06-14,23.02,23.26,22.66,23.20,23846900,22.99
2010-06-07,22.13,22.75,21.30,22.69,26519100,22.48
2010-06-01,22.42,22.96,21.90,22.13,31096500,21.93
2010-05-24,22.04,22.85,21.63,22.57,36612600,22.36
2010-05-17,23.89,23.95,21.55,22.16,37111100,21.96
2010-05-10,24.03,25.13,23.54,23.78,29387400,23.56
2010-05-03,26.05,26.15,22.20,23.41,44245700,23.20
2010-04-26,26.50,26.61,25.69,25.87,24463300,25.63
2010-04-19,25.98,26.52,25.86,26.48,25961500,26.24
2010-04-12,26.06,26.63,25.85,25.95,30547400,25.71
2010-04-05,25.51,26.14,25.30,26.13,24818200,25.84
2010-03-29,25.65,25.95,25.20,25.46,28136800,25.18
2010-03-22,25.19,26.25,25.16,25.69,38460400,25.41
2010-03-15,24.92,25.73,24.88,25.19,30575400,24.91
2010-03-08,24.97,25.25,24.56,25.05,24266900,24.77
2010-03-01,24.60,25.00,24.28,24.95,20848300,24.68
2010-02-22,24.59,24.98,24.21,24.65,27379800,24.38
2010-02-16,23.69,24.57,23.44,24.32,26336200,24.05
2010-02-08,23.54,23.72,22.83,23.41,33791900,23.15
2010-02-01,23.36,23.85,22.86,23.55,32797800,23.29
2010-01-25,24.24,24.27,22.98,23.06,35026300,22.81
2010-01-19,25.32,25.54,24.11,24.15,34534900,23.88
2010-01-11,24.69,25.64,24.31,25.24,31419800,24.96
2010-01-04,24.66,25.19,24.08,24.68,26807300,24.36
2009-12-28,24.83,25.11,24.48,24.53,17135600,24.21
2009-12-21,24.39,24.96,24.22,24.95,19455600,24.63
2009-12-14,22.96,24.74,22.77,24.34,42238300,24.02
2009-12-07,22.72,22.89,21.62,22.78,28439800,22.48
2009-11-30,22.01,23.00,21.80,22.83,25239100,22.53
2009-11-23,22.58,22.72,22.00,22.09,20909700,21.80
2009-11-16,22.36,22.89,22.18,22.34,23295900,22.05
2009-11-09,21.61,22.36,21.50,22.34,22763700,22.05
2009-11-02,21.06,21.58,20.65,21.42,25199400,21.14
2009-10-26,22.13,22.38,20.87,21.10,31336400,20.83
2009-10-19,22.02,22.49,21.83,22.05,35491200,21.76
2009-10-12,20.73,22.03,20.60,21.81,39377000,21.53
2009-10-05,20.46,21.06,20.16,20.74,39976600,20.47
2009-09-28,20.87,21.38,20.10,20.34,36711800,20.03
2009-09-21,21.56,21.82,20.83,20.86,32769100,20.54
2009-09-14,22.78,22.93,21.32,21.62,59495800,21.29
2009-09-08,22.12,22.95,21.77,22.86,25431100,22.51
2009-08-31,22.00,22.31,21.22,21.97,25749000,21.63
2009-08-24,22.13,22.61,21.78,22.16,23114900,21.82
2009-08-17,21.65,22.14,21.20,22.11,21806400,21.77
2009-08-10,21.21,22.10,21.03,21.96,25871400,21.62
2009-08-03,22.32,22.38,21.09,21.43,28474000,21.10
2009-07-27,22.29,22.47,21.72,22.13,24885100,21.79
2009-07-20,21.70,22.48,21.34,22.33,29688000,21.99
2009-07-13,20.52,21.77,20.12,21.74,25276900,21.41
2009-07-06,20.92,21.04,19.79,20.49,36568100,20.13
2009-06-29,21.34,22.00,20.86,21.04,28926400,20.67
2009-06-22,20.42,21.75,19.73,21.24,52832200,20.86
2009-06-15,20.64,20.92,19.68,20.66,40198900,20.29
2009-06-08,20.60,21.20,19.47,20.85,28235000,20.48
2009-06-01,19.75,20.90,19.60,20.71,29307400,20.34
2009-05-26,18.46,19.60,18.28,19.59,31040600,19.24
2009-05-18,18.69,19.40,18.35,18.65,25221200,18.32
2009-05-11,18.15,18.83,17.97,18.42,28812700,18.09
2009-05-04,19.40,19.44,18.12,18.32,38065400,17.99
2009-04-27,19.59,20.28,19.04,19.34,30512500,19.00
2009-04-20,17.76,20.18,17.73,19.79,54034600,19.44
2009-04-13,18.87,19.45,18.11,19.06,28766300,18.72
2009-04-06,19.00,19.20,18.33,19.11,27417900,18.77
2009-03-30,17.66,19.45,17.25,19.29,38377000,18.90
2009-03-23,17.34,18.68,17.26,18.01,36285800,17.64
2009-03-16,15.54,18.09,14.65,17.10,67606000,16.75
2009-03-09,14.31,15.70,13.80,15.56,44762500,15.24
2009-03-02,15.21,15.69,14.14,14.47,55550700,14.18
2009-02-23,16.52,16.68,15.41,15.54,38407000,15.22
2009-02-17,17.15,17.51,16.34,16.56,40407600,16.22
2009-02-09,17.95,18.09,16.94,17.72,33347500,17.36
2009-02-02,16.60,18.07,16.50,17.97,29640300,17.60
2009-01-26,16.82,18.01,16.78,16.83,29789300,16.49
2009-01-20,16.90,17.02,16.05,16.78,40302000,16.44
2009-01-12,17.41,17.47,15.87,16.91,38131100,16.57
2009-01-05,18.19,18.70,17.25,17.36,32788800,17.01
2009-01-02,17.64,18.48,17.62,18.41,27831700,18.04
