Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,517.49,549.33,514.01,538.39,1256600,538.39
2011-08-29,510.00,542.69,509.06,528.19,1130400,528.19
2011-08-22,458.50,503.81,441.55,503.47,1407600,503.47
2011-08-15,504.66,514.93,445.15,448.95,1623500,448.95
2011-08-08,510.25,525.10,485.33,503.11,1979700,503.11
2011-08-01,547.23,547.88,480.84,527.81,2122900,527.81
2011-07-25,529.00,542.87,511.85,537.65,796500,537.65
2011-07-18,520.60,542.50,510.16,530.37,746300,530.37
2011-07-11,544.00,548.75,515.80,522.50,903700,522.50
2011-07-05,525.00,552.15,521.11,552.15,879900,552.15
2011-06-27,483.74,525.24,483.74,524.80,1033600,524.80
2011-06-20,456.36,490.69,451.75,482.97,1203200,482.97
2011-06-13,495.50,497.60,452.34,462.35,1258800,462.35
2011-06-06,506.05,511.28,491.38,493.18,726900,493.18
2011-05-31,506.05,519.39,504.14,507.80,869300,507.80
2011-05-23,512.95,513.58,487.70,501.44,1100600,501.44
2011-05-16,518.01,527.50,493.67,520.08,1125800,520.08
2011-05-09,519.25,532.00,514.10,520.61,1025500,520.61
2011-05-02,551.82,561.88,518.10,519.03,1825200,519.03
2011-04-25,544.80,556.27,532.37,547.01,807600,547.01
2011-04-18,517.28,544.27,507.55,543.95,937700,543.95
2011-04-11,507.86,520.34,500.47,520.07,949400,520.07
2011-04-04,515.21,522.00,502.22,506.82,956900,506.82
2011-03-28,488.47,515.64,481.00,513.85,1094500,513.85
2011-03-21,453.00,490.39,443.12,487.00,1193400,487.00
2011-03-14,459.21,466.53,448.50,449.54,1140700,449.54
2011-03-07,470.00,474.74,457.22,463.19,1220300,463.19
2011-02-28,460.75,469.74,440.81,469.13,1464100,469.13
2011-02-22,443.58,469.40,416.00,460.03,2402000,460.03
2011-02-14,458.00,464.47,446.46,448.93,778300,448.93
2011-02-07,436.00,459.10,431.06,455.39,1077000,455.39
2011-01-31,425.40,444.95,421.76,433.43,838200,433.43
2011-01-24,425.04,439.17,417.32,425.31,947800,425.31
2011-01-18,437.21,441.50,416.00,425.60,1020600,425.60
2011-01-10,437.79,443.19,429.13,437.99,810600,437.99
2011-01-03,402.25,441.89,402.25,440.59,1510200,440.59
2010-12-27,410.09,412.96,399.18,399.55,515600,399.55
2010-12-20,402.41,420.86,392.90,413.19,919100,413.19
2010-12-13,422.57,422.58,395.27,400.64,996800,400.64
2010-12-06,416.69,425.98,409.18,419.97,761300,419.97
2010-11-29,409.69,414.92,392.05,414.11,1136900,414.11
2010-11-22,408.23,420.89,405.14,410.87,827300,410.87
2010-11-15,415.13,415.45,395.79,409.59,857600,409.59
2010-11-08,391.28,428.10,384.25,414.93,1920000,414.93
2010-11-01,381.10,388.88,371.00,388.87,1076200,388.87
2010-10-25,367.00,383.11,364.00,376.81,1129700,376.81
2010-10-18,353.38,364.93,341.24,363.50,1045900,363.50
2010-10-11,340.72,357.89,330.07,354.60,1237800,354.60
2010-10-04,337.21,344.94,325.00,340.90,1127700,340.90
2010-09-27,346.32,358.24,334.00,337.82,1086600,337.82
2010-09-20,339.61,349.97,333.55,344.27,1183300,344.27
2010-09-13,326.00,336.58,323.25,334.95,996000,334.95
2010-09-07,313.99,333.74,311.11,323.15,1141900,323.15
2010-08-30,297.53,318.00,287.80,313.85,923200,313.85
2010-08-23,304.10,306.74,283.11,297.68,1120400,297.68
2010-08-16,295.34,309.46,293.00,302.36,1322400,302.36
2010-08-09,296.60,301.98,285.35,297.19,1415500,297.19
2010-08-02,226.90,298.99,225.34,295.25,3285700,295.25
2010-07-26,228.80,234.45,217.72,224.40,935800,224.40
2010-07-19,218.82,228.76,216.03,228.64,1022600,228.64
2010-07-12,204.14,225.00,201.00,218.21,1587900,218.21
