Date,Open,High,Low,Close,Volume,Adj Close
2011-09-20,18.16,18.35,17.97,18.33,23690208,18.33
2011-09-19,17.94,18.13,17.82,18.06,46338000,18.06
2011-09-16,18.60,18.64,18.15,18.15,76695500,18.15
2011-09-15,18.49,18.52,18.25,18.49,44349300,18.49
2011-09-14,18.17,18.61,18.01,18.41,48226900,18.41
2011-09-13,18.28,18.40,18.12,18.33,32022400,18.33
2011-09-12,17.87,18.28,17.86,18.25,52563900,18.25
2011-09-09,18.58,18.62,18.13,18.28,56866000,18.28
2011-09-08,18.88,19.13,18.74,18.82,37386900,18.82
2011-09-07,18.99,19.03,18.81,19.01,48291300,19.01
2011-09-06,18.23,18.72,18.10,18.65,48738400,18.65
2011-09-02,18.62,18.94,18.43,18.46,35056100,18.46
2011-09-01,18.91,19.15,18.86,18.91,39711500,18.91
2011-08-31,18.98,19.13,18.77,18.98,44349100,18.98
2011-08-30,18.79,18.99,18.54,18.88,44132600,18.88
2011-08-29,18.76,18.95,18.61,18.88,46866400,18.88
2011-08-26,17.83,18.32,17.51,18.21,46089600,18.21
2011-08-25,18.20,18.29,17.86,17.96,51429800,17.96
2011-08-24,18.24,18.42,18.12,18.39,41676400,18.39
2011-08-23,17.88,18.30,17.67,18.24,52475900,18.24
2011-08-22,17.98,18.17,17.62,17.68,40902100,17.68
2011-08-19,17.50,17.97,17.50,17.67,56393000,17.67
2011-08-18,18.12,18.18,17.54,17.71,73896100,17.71
2011-08-17,18.42,18.60,18.35,18.49,44932400,18.49
2011-08-16,18.25,18.44,18.07,18.31,42775100,18.31
2011-08-15,18.18,18.39,18.00,18.34,51020400,18.34
2011-08-12,17.92,18.10,17.76,17.86,57413200,17.86
2011-08-11,17.20,18.01,17.05,17.81,82847000,17.81
2011-08-10,17.66,18.00,17.00,17.05,101721700,17.05
2011-08-09,17.02,17.62,16.63,17.60,116472000,17.60
2011-08-08,17.11,17.64,16.66,16.66,121089200,16.66
2011-08-05,17.50,17.72,17.03,17.49,86443600,17.49
2011-08-04,17.78,17.96,17.34,17.36,76272300,17.36
2011-08-03,18.02,18.17,17.75,18.03,65056000,18.03
2011-08-02,18.95,18.97,18.14,18.14,103827600,17.94
2011-08-01,19.44,19.46,18.75,19.01,54875000,18.80
2011-07-29,19.21,19.49,19.05,19.25,69480200,19.04
2011-07-28,19.25,19.62,19.25,19.36,58840600,19.15
2011-07-27,19.53,19.62,19.26,19.30,40348600,19.09
2011-07-26,19.85,19.90,19.57,19.63,38722400,19.41
2011-07-25,19.88,19.99,19.81,19.81,31476300,19.59
2011-07-22,20.09,20.17,19.97,20.07,25822600,19.85
2011-07-21,20.01,20.20,19.98,20.10,44444300,19.88
2011-07-20,19.92,20.00,19.77,19.90,35376100,19.68
2011-07-19,19.65,20.03,19.62,19.94,34650500,19.72
2011-07-18,19.57,19.67,19.50,19.64,34773700,19.42
2011-07-15,19.82,19.94,19.66,19.75,47708400,19.53
2011-07-14,19.98,20.01,19.80,19.91,35233000,19.69
2011-07-13,20.09,20.20,19.90,19.99,42135300,19.77
2011-07-12,20.01,20.20,19.97,20.00,42648500,19.78
2011-07-11,20.00,20.18,19.93,20.04,46992500,19.82
2011-07-08,20.13,20.29,20.11,20.16,41862400,19.94
2011-07-07,20.64,20.74,20.17,20.23,92849400,20.01
2011-07-06,20.78,20.95,20.74,20.78,28204700,20.55
