Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,17.94,18.13,17.82,18.06,46338000,18.06
2011-09-12,17.87,18.64,17.86,18.15,50771600,18.15
2011-09-06,18.23,19.13,18.10,18.28,47820600,18.28
2011-08-29,18.76,19.15,18.43,18.46,42023100,18.46
2011-08-22,17.98,18.42,17.51,18.21,46514700,18.21
2011-08-15,18.18,18.60,17.50,17.67,53803400,17.67
2011-08-08,17.11,18.10,16.63,17.86,95908600,17.86
2011-08-01,19.44,19.46,17.03,17.49,77294900,17.49
2011-07-25,19.88,19.99,19.05,19.25,47773600,19.04
2011-07-18,19.57,20.20,19.50,20.07,35013400,19.85
2011-07-11,20.00,20.20,19.66,19.75,42943500,19.53
2011-07-05,20.68,20.95,20.11,20.16,48533400,19.94
2011-06-27,20.10,20.76,20.05,20.75,39822900,20.52
2011-06-20,20.09,20.96,20.08,20.08,51842100,19.86
2011-06-13,20.46,20.73,20.03,20.26,45830100,20.04
2011-06-06,20.82,20.97,20.04,20.11,39235000,19.89
2011-05-31,21.00,21.45,20.66,20.84,42253400,20.61
2011-05-23,20.49,21.05,20.35,20.93,38074100,20.70
2011-05-16,20.84,21.28,20.68,20.69,49831400,20.46
2011-05-09,20.53,20.99,20.45,20.92,36014600,20.69
2011-05-02,21.14,21.20,20.07,20.55,54774500,20.13
2011-04-25,19.95,21.06,19.90,20.97,41139900,20.54
2011-04-18,20.32,20.88,19.10,19.79,70557400,19.38
2011-04-11,20.55,20.75,20.33,20.53,41881700,20.11
2011-04-04,20.55,20.61,20.15,20.46,39812300,20.04
2011-03-28,20.42,20.57,20.11,20.38,34002500,19.96
2011-03-21,20.32,20.50,19.74,20.35,43163400,19.93
2011-03-14,19.45,20.29,19.15,20.18,91479200,19.77
2011-03-07,19.64,19.75,19.30,19.47,39080200,19.07
2011-02-28,18.95,19.90,18.90,19.66,51589700,19.26
2011-02-22,18.88,19.13,18.67,18.86,44268200,18.47
2011-02-14,18.82,19.39,18.72,19.19,38738700,18.80
2011-02-07,19.27,19.30,18.62,18.83,36180100,18.44
2011-01-31,18.19,19.39,18.16,19.30,71763700,18.90
2011-01-24,18.33,18.76,18.14,18.15,55430000,17.59
2011-01-18,18.35,18.49,18.02,18.36,39911300,17.80
2011-01-10,18.22,18.48,18.13,18.34,49688100,17.78
2011-01-03,17.70,18.38,17.62,18.34,77358300,17.78
2010-12-27,17.51,17.70,17.43,17.51,25422600,16.97
2010-12-20,17.01,17.65,16.98,17.61,36898900,17.07
2010-12-13,17.16,17.35,16.99,17.03,45223800,16.51
2010-12-06,16.70,17.11,16.59,17.02,46648300,16.50
2010-11-29,16.41,16.81,16.25,16.72,40571800,16.21
2010-11-22,16.66,16.73,16.43,16.49,28035400,15.98
2010-11-15,16.97,17.02,16.47,16.80,35900400,16.28
2010-11-08,17.06,17.15,16.61,16.85,44666400,16.33
2010-11-01,17.63,17.84,17.05,17.18,55577400,16.65
2010-10-25,17.57,17.73,17.17,17.42,44488200,16.71
2010-10-18,17.73,17.90,17.25,17.50,58458300,16.79
2010-10-11,17.46,17.85,17.27,17.75,38479400,17.03
2010-10-04,17.10,17.51,16.86,17.46,37526600,16.75
