Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,54.43,54.88,53.21,54.78,96260950,54.78
2011-09-23,53.14,54.38,53.09,54.15,85921800,54.15
2011-09-22,53.97,54.46,52.75,53.58,151885500,53.58
2011-09-21,56.65,56.93,55.37,55.38,79938000,55.38
2011-09-20,56.90,57.35,56.23,56.36,66570100,56.36
2011-09-19,55.89,56.91,55.43,56.61,73042900,56.61
2011-09-16,56.20,56.65,56.09,56.59,91902100,56.59
2011-09-15,55.96,56.28,55.39,56.18,83536100,56.08
2011-09-14,54.86,55.98,54.32,55.36,90757300,55.26
2011-09-13,54.06,54.69,53.80,54.58,59020000,54.48
2011-09-12,52.59,53.90,52.57,53.86,65973000,53.76
2011-09-09,54.01,54.24,52.85,53.18,63663500,53.08
2011-09-08,54.36,55.17,54.21,54.39,61422800,54.29
2011-09-07,54.05,54.65,53.90,54.64,48952200,54.54
2011-09-06,52.04,53.37,51.91,53.29,52992200,53.19
2011-09-02,53.58,54.61,52.99,53.28,58185700,53.18
2011-09-01,55.20,55.64,54.46,54.56,57158400,54.46
2011-08-31,55.30,55.74,54.60,55.06,60900400,54.96
2011-08-30,54.41,55.30,54.11,54.97,61617900,54.87
2011-08-29,53.66,54.67,53.64,54.61,45985800,54.51
2011-08-26,51.66,53.31,51.15,53.13,91573300,53.03
2011-08-25,52.66,52.90,51.65,51.83,93623700,51.73
2011-08-24,52.13,52.79,51.71,52.69,80197700,52.59
2011-08-23,50.55,52.28,50.34,52.28,75688400,52.18
2011-08-22,51.23,51.24,50.06,50.21,77107700,50.12
2011-08-19,50.42,51.67,49.99,50.03,96674600,49.94
2011-08-18,52.13,52.14,50.48,50.95,130019400,50.86
2011-08-17,53.97,54.42,53.02,53.58,84416600,53.48
2011-08-16,53.83,54.35,53.18,53.90,89219200,53.80
2011-08-15,53.79,54.36,53.53,54.36,73554300,54.26
2011-08-12,53.43,53.90,52.88,53.57,90483300,53.47
2011-08-11,51.59,53.69,51.34,53.10,143825300,53.00
2011-08-10,51.83,53.04,50.80,50.86,205917900,50.77
2011-08-09,51.35,53.08,49.93,53.03,193707100,52.93
2011-08-08,52.18,53.12,50.59,50.59,204804500,50.50
2011-08-05,54.72,55.03,52.32,53.83,214111800,53.73
2011-08-04,56.00,56.09,54.17,54.17,132830000,54.07
2011-08-03,56.34,56.88,55.35,56.81,103496200,56.70
2011-08-02,57.46,57.72,56.21,56.27,90853300,56.17
2011-08-01,58.70,58.82,57.03,57.73,85421100,57.62
2011-07-29,57.72,58.61,57.44,58.00,82860500,57.89
2011-07-28,58.12,58.93,57.89,58.19,61031900,58.08
