Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,54.42,54.88,53.21,54.78,96197600,54.78
2011-09-19,55.89,57.35,52.75,54.15,91471600,54.15
2011-09-12,52.59,56.65,52.57,56.59,78237700,56.59
2011-09-06,52.04,55.17,51.91,53.18,56757600,53.08
2011-08-29,53.66,55.74,52.99,53.28,56769600,53.18
2011-08-22,51.23,53.31,50.06,53.13,83638100,53.03
2011-08-15,53.79,54.42,49.99,50.03,94776800,49.94
2011-08-08,52.18,53.90,49.93,53.57,167747600,53.47
2011-08-01,58.70,58.82,52.32,53.83,125342400,53.73
2011-07-25,59.13,59.83,57.44,58.00,63539300,57.89
2011-07-18,57.53,59.70,56.98,59.60,60854300,59.49
2011-07-11,58.41,58.71,56.87,57.85,77094700,57.74
2011-07-05,57.97,59.36,57.83,59.03,54186200,58.92
2011-06-27,54.44,57.99,54.32,57.91,53218500,57.80
2011-06-20,53.64,55.37,53.64,54.38,53434100,54.28
2011-06-13,54.64,55.47,53.62,53.79,54797300,53.69
2011-06-06,56.22,56.53,54.59,54.64,48392200,54.42
2011-05-31,57.97,58.36,56.27,56.35,51839200,56.12
2011-05-23,56.98,57.49,56.47,57.43,39015000,57.20
2011-05-16,58.14,58.34,56.98,57.77,51664300,57.53
2011-05-09,58.57,59.31,58.24,58.41,53916400,58.17
2011-05-02,59.17,59.34,58.08,58.47,56810700,58.23
2011-04-25,58.39,59.29,58.28,59.08,44829300,58.84
2011-04-18,56.08,58.47,55.32,58.34,54649800,58.10
2011-04-11,57.17,57.29,56.15,56.65,52985600,56.42
2011-04-04,57.62,57.73,56.65,56.95,51407700,56.72
2011-03-28,57.09,57.90,56.23,57.46,49758100,57.23
2011-03-21,55.28,57.22,54.50,56.84,59516700,56.61
2011-03-14,56.18,56.59,53.77,54.45,108134300,54.23
2011-03-07,58.21,58.26,55.82,56.49,86041400,56.18
2011-02-28,57.88,58.37,56.70,57.97,66284900,57.65
2011-02-22,57.93,58.13,56.13,57.65,85781200,57.33
2011-02-14,58.44,59.04,58.23,58.73,44792800,58.41
2011-02-07,57.49,58.48,57.40,58.44,52863200,58.12
2011-01-31,55.81,57.42,55.39,57.38,57834900,57.07
2011-01-24,55.79,57.35,55.47,55.73,71368700,55.42
2011-01-18,56.57,57.26,55.65,55.68,71400900,55.37
2011-01-10,55.75,57.02,55.58,57.00,51085300,56.69
2011-01-03,54.97,56.05,54.92,55.87,59406900,55.56
2010-12-27,54.58,54.92,54.21,54.46,28730000,54.16
2010-12-20,54.62,54.96,54.16,54.74,35341500,54.44
2010-12-13,54.70,54.74,54.03,54.52,60455200,54.22
2010-12-06,53.88,54.55,53.68,54.49,48564400,54.08
2010-11-29,52.70,53.94,51.88,53.87,76949700,53.47
