Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,40.45,41.17,39.77,40.95,2166530,40.95
2011-09-16,41.47,41.56,40.59,41.21,2180000,41.21
2011-09-15,40.30,41.34,40.26,41.24,2758500,41.24
2011-09-14,39.00,40.40,38.42,39.68,2025100,39.68
2011-09-13,38.11,38.96,37.89,38.84,2190900,38.84
2011-09-12,36.64,38.03,36.61,38.01,2187000,38.01
2011-09-09,37.76,38.33,36.71,37.23,2097000,37.23
2011-09-08,38.48,39.10,38.16,38.28,1843400,38.28
2011-09-07,37.69,38.60,37.49,38.60,1739600,38.60
2011-09-06,35.92,37.02,35.65,36.95,1843100,36.95
2011-09-02,37.57,37.76,36.91,37.27,1932700,37.27
2011-09-01,39.53,39.99,38.25,38.50,2525400,38.50
2011-08-31,38.41,39.70,38.28,39.54,4091200,39.54
2011-08-30,36.93,38.08,36.69,37.86,2183500,37.86
2011-08-29,36.35,37.24,36.22,37.19,1577400,37.19
2011-08-26,34.29,36.08,34.06,35.90,2153200,35.90
2011-08-25,35.56,35.57,34.34,34.49,1995000,34.49
2011-08-24,34.58,35.48,34.15,35.44,3711900,35.44
2011-08-23,32.56,34.88,32.27,34.81,4512600,34.81
2011-08-22,32.77,33.20,32.17,32.26,3950000,32.26
2011-08-19,33.02,33.89,31.77,31.87,5738900,31.87
2011-08-18,35.44,35.45,32.95,33.33,5761700,33.33
2011-08-17,37.97,38.19,36.23,36.58,2875700,36.58
2011-08-16,38.16,38.19,37.23,37.80,2436000,37.80
2011-08-15,37.73,38.64,37.51,38.62,2409300,38.62
2011-08-12,37.97,38.08,37.06,37.42,3663100,37.42
2011-08-11,35.66,38.18,35.18,37.68,4331400,37.68
2011-08-10,35.66,36.86,35.22,35.32,4439800,35.32
2011-08-09,35.30,36.82,34.03,36.70,5387300,36.70
2011-08-08,36.62,37.12,34.94,34.96,4666300,34.96
2011-08-05,38.96,39.20,36.67,37.75,4654100,37.75
2011-08-04,40.01,40.05,38.58,38.63,3309200,38.63
2011-08-03,40.28,40.88,39.42,40.52,2913900,40.52
2011-08-02,40.86,41.33,40.07,40.25,3750700,40.25
2011-08-01,42.59,42.81,40.64,41.29,3181200,41.29
2011-07-29,42.12,42.69,41.54,42.08,1748000,42.08
2011-07-28,42.57,43.11,42.12,42.66,1702400,42.66
2011-07-27,43.87,43.87,42.40,42.60,2713600,42.60
2011-07-26,44.00,44.65,43.69,44.22,1897700,44.22
2011-07-25,44.00,44.46,43.85,43.95,1645700,43.95
2011-07-22,43.88,44.92,43.88,44.55,2363000,44.55
2011-07-21,43.90,44.22,43.26,43.82,2613700,43.82
2011-07-20,44.52,44.52,43.55,43.70,1700800,43.70
2011-07-19,43.06,44.71,43.04,44.47,3028300,44.47
2011-07-18,43.25,43.28,42.23,43.05,2007900,43.05
2011-07-15,43.06,43.32,42.29,43.30,3792200,43.30
2011-07-14,43.92,44.39,42.30,42.68,2960700,42.68
2011-07-13,44.24,44.77,43.72,43.87,1703600,43.87
2011-07-12,45.39,45.39,43.75,43.78,2014700,43.78
2011-07-11,45.86,46.19,45.09,45.31,1940200,45.31
2011-07-08,46.15,46.55,45.94,46.51,1005900,46.51
2011-07-07,46.91,47.10,46.52,46.67,1215900,46.67
2011-07-06,46.17,46.58,45.89,46.49,1409400,46.49
2011-07-05,46.29,46.46,45.79,46.06,1879400,46.06
2011-07-01,45.80,46.47,45.52,46.40,1490500,46.40
2011-06-30,45.24,46.07,45.00,45.90,2024300,45.90
2011-06-29,45.82,45.82,44.87,45.19,2359400,45.19
2011-06-28,45.30,45.73,45.01,45.65,1798700,45.65
2011-06-27,44.80,45.83,44.69,45.19,2456400,45.19
2011-06-24,45.31,45.49,44.70,45.03,2540200,45.03
2011-06-23,45.74,46.48,44.40,45.27,10098400,45.27
2011-06-22,43.37,44.31,42.80,43.72,3570300,43.72
2011-06-21,42.05,43.89,41.99,43.75,2863800,43.75
2011-06-20,41.13,42.21,41.00,41.95,2544500,41.95
2011-06-17,41.63,42.01,40.99,41.20,2705300,41.20
2011-06-16,41.38,41.53,40.27,40.94,2333500,40.94
2011-06-15,41.71,42.34,41.39,41.41,1474300,41.41
2011-06-14,42.12,42.60,41.97,42.26,1488300,42.26
2011-06-13,41.49,41.96,41.30,41.63,1706400,41.63
2011-06-10,42.20,42.40,41.44,41.49,1609400,41.49
2011-06-09,41.92,42.59,41.64,42.49,1354100,42.49
2011-06-08,42.18,42.59,41.57,41.81,1924700,41.81
2011-06-07,42.56,42.98,42.08,42.47,1956500,42.47
2011-06-06,42.77,42.95,42.25,42.38,1880300,42.38
2011-06-03,42.41,42.81,42.02,42.12,1759800,42.12
2011-06-02,42.86,43.47,42.54,43.03,1641300,43.03
2011-06-01,43.49,44.08,42.90,42.91,2860600,42.91
2011-05-31,43.68,43.91,43.18,43.60,2332200,43.60
2011-05-27,43.61,43.88,43.32,43.35,1148900,43.35
2011-05-26,43.07,43.53,42.72,43.45,1678500,43.45
2011-05-25,42.77,43.36,42.50,43.07,1513300,43.07
2011-05-24,44.08,44.23,42.94,42.98,2797400,42.98
2011-05-23,44.92,44.92,43.86,44.03,1981400,44.03
2011-05-20,45.62,46.09,45.21,45.74,1443900,45.74
2011-05-19,45.70,45.85,45.08,45.64,948600,45.64
2011-05-18,45.21,45.79,44.83,45.59,1037600,45.59
2011-05-17,45.35,45.40,44.57,45.20,1413400,45.20
2011-05-16,46.64,46.69,45.44,45.50,1938600,45.50
2011-05-13,47.35,47.79,46.77,46.87,1458500,46.87
2011-05-12,46.13,47.55,45.80,47.44,1700000,47.44
2011-05-11,46.87,47.26,46.09,46.35,1598100,46.35
2011-05-10,46.25,47.04,46.05,46.86,1114700,46.86
2011-05-09,45.96,46.20,45.58,46.10,892600,46.10
2011-05-06,46.20,46.67,45.38,45.79,1763100,45.79
2011-05-05,45.52,47.35,44.59,45.60,2241400,45.60
2011-05-04,47.00,47.12,45.31,45.84,3011900,45.84
2011-05-03,47.12,47.27,46.23,47.00,2505800,47.00
2011-05-02,47.66,47.71,46.44,47.27,2444100,47.27
2011-04-29,46.80,47.55,46.44,47.47,1400000,47.47
2011-04-28,46.52,46.95,46.26,46.74,1012400,46.74
2011-04-27,46.69,46.72,45.73,46.72,1049700,46.72
2011-04-26,47.30,47.56,46.19,46.48,1773400,46.48
2011-04-25,47.52,47.73,47.02,47.22,839600,47.22
2011-04-21,48.08,48.38,47.27,47.59,1843900,47.59
2011-04-20,46.55,48.15,46.43,47.71,3784900,47.71
2011-04-19,45.18,45.37,44.55,45.11,1421400,45.11
2011-04-18,45.28,45.39,44.34,45.26,1690200,45.26
2011-04-15,45.45,46.04,45.11,45.92,1821900,45.92
2011-04-14,45.16,45.63,44.65,45.49,2039800,45.49
2011-04-13,45.01,46.03,44.96,45.70,2199400,45.70
2011-04-12,44.53,45.14,44.21,44.59,2096200,44.59
2011-04-11,45.10,45.59,44.66,45.04,1462800,45.04
2011-04-08,45.56,45.57,44.79,45.20,1377700,45.20
2011-04-07,45.11,45.84,44.59,45.12,1662500,45.12
2011-04-06,46.49,46.59,44.77,45.17,2722000,45.17
2011-04-05,46.80,46.84,46.11,46.38,2589100,46.38
2011-04-04,46.31,47.21,46.27,47.03,3345400,47.03
2011-04-01,45.86,46.43,45.41,46.31,2891700,46.31
2011-03-31,45.94,46.05,45.18,45.39,2065500,45.39
2011-03-30,47.10,47.26,45.53,46.10,2573800,46.10
2011-03-29,45.89,47.00,45.79,46.91,2266700,46.91
2011-03-28,46.41,46.82,45.72,46.09,3540100,46.09
2011-03-25,47.29,47.68,46.14,46.34,4226400,46.34
2011-03-24,45.33,47.88,44.76,47.26,18029000,47.26
2011-03-23,39.17,40.25,38.75,39.97,2893900,39.97
2011-03-22,39.84,39.84,39.02,39.56,1920400,39.56
2011-03-21,39.61,40.18,39.14,39.81,1776200,39.81
2011-03-18,39.94,40.21,38.90,39.11,2731400,39.11
2011-03-17,40.35,40.35,39.24,39.29,2065100,39.29
