Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,36.64,41.56,36.61,41.21,2268300,41.21
2011-09-06,35.92,39.10,35.65,37.23,1880700,37.23
2011-08-29,36.35,39.99,36.22,37.27,2462000,37.27
2011-08-22,32.77,36.08,32.17,35.90,3264500,35.90
2011-08-15,37.73,38.64,31.77,31.87,3844300,31.87
2011-08-08,36.62,38.18,34.03,37.42,4497500,37.42
2011-08-01,42.59,42.81,36.67,37.75,3561800,37.75
2011-07-25,44.00,44.65,41.54,42.08,1941400,42.08
2011-07-18,43.25,44.92,42.23,44.55,2342700,44.55
2011-07-11,45.86,46.19,42.29,43.30,2482200,43.30
2011-07-05,46.29,47.10,45.79,46.51,1377600,46.51
2011-06-27,44.80,46.47,44.69,46.40,2025800,46.40
2011-06-20,41.13,46.48,41.00,45.03,4323400,45.03
2011-06-13,41.49,42.60,40.27,41.20,1941500,41.20
2011-06-06,42.77,42.98,41.44,41.49,1745000,41.49
2011-05-31,43.68,44.08,42.02,42.12,2148400,42.12
2011-05-23,44.92,44.92,42.50,43.35,1823900,43.35
2011-05-16,46.64,46.69,44.57,45.74,1356400,45.74
2011-05-09,45.96,47.79,45.58,46.87,1352700,46.87
2011-05-02,47.66,47.71,44.59,45.79,2393200,45.79
2011-04-25,47.52,47.73,45.73,47.47,1215000,47.47
2011-04-18,45.28,48.38,44.34,47.59,2185100,47.59
2011-04-11,45.10,46.04,44.21,45.92,1924000,45.92
2011-04-04,46.31,47.21,44.59,45.20,2339300,45.20
2011-03-28,46.41,47.26,45.18,46.31,2667500,46.31
2011-03-21,39.61,47.88,38.75,46.34,5769100,46.34
2011-03-14,40.59,41.17,38.47,39.11,2081100,39.11
2011-03-07,41.31,41.60,39.81,41.06,1495200,41.06
2011-02-28,41.50,41.98,40.12,40.96,1592600,40.96
2011-02-22,44.75,44.81,39.42,41.34,3793800,41.34
2011-02-14,44.77,45.89,44.70,45.43,1313100,45.43
2011-02-07,43.59,45.36,43.49,44.88,1736000,44.88
2011-01-31,41.10,43.73,40.92,43.57,2558100,43.57
2011-01-24,42.72,43.00,39.84,41.06,3814900,41.06
2011-01-18,45.65,46.46,42.60,42.76,2002500,42.76
2011-01-10,45.34,46.76,44.84,45.86,1212100,45.86
2011-01-03,46.06,46.89,45.08,45.71,1498600,45.71
2010-12-27,46.47,46.76,45.50,45.65,966600,45.65
2010-12-20,48.44,48.48,45.27,46.51,3470400,46.51
2010-12-13,48.42,48.78,47.05,47.83,2495100,47.83
2010-12-06,47.27,49.00,46.71,48.27,2034800,48.27
2010-11-29,43.09,47.64,42.25,47.45,2531300,47.45
2010-11-22,41.96,43.68,41.69,43.32,1799900,43.32
2010-11-15,42.17,42.92,40.47,41.87,1916100,41.87
2010-11-08,42.97,43.79,41.80,41.96,1773200,41.96
2010-11-01,42.40,43.59,42.12,43.10,1620700,43.10
2010-10-25,40.72,42.73,40.17,42.26,2454800,42.26
2010-10-18,40.03,40.68,38.00,40.66,2657500,40.66
2010-10-11,38.66,40.51,37.88,40.40,2633100,40.40
2010-10-04,41.04,41.61,37.33,38.67,4655300,38.67
2010-09-27,41.20,41.71,40.16,41.27,3077600,41.27
2010-09-20,38.45,41.74,36.66,41.26,6088900,41.26
2010-09-13,37.91,39.08,36.95,38.34,3808100,38.34
2010-09-07,36.59,37.61,36.49,37.41,1850400,37.41
