Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,23.6,24.35,23.33,23.72,26041719,23.72
2011-09-16,22.81,24.60,22.52,23.93,103143500,23.93
2011-09-15,30.02,30.50,29.25,29.54,36473700,29.54
2011-09-14,30.18,30.24,29.00,29.72,21467800,29.72
2011-09-13,30.21,30.62,29.60,30.13,18048800,30.13
2011-09-12,29.19,30.35,29.08,30.17,17958300,30.17
2011-09-09,30.26,30.78,29.11,29.68,25387800,29.68
2011-09-08,31.75,32.48,30.81,31.31,18080500,31.31
2011-09-07,31.64,31.93,30.75,31.90,17843400,31.90
2011-09-06,29.26,31.09,29.00,30.97,24529600,30.97
2011-09-02,31.21,31.29,29.68,30.12,24086500,30.12
2011-09-01,32.29,33.54,31.80,31.85,26705400,31.85
2011-08-31,32.91,33.05,31.79,32.49,27034800,32.49
2011-08-30,30.58,32.94,30.33,32.55,41282400,32.55
2011-08-29,29.94,30.87,29.43,30.73,18124300,30.73
2011-08-26,28.49,29.49,28.15,29.18,18741600,29.18
2011-08-25,29.00,29.60,28.07,28.22,20750100,28.22
2011-08-24,27.21,28.76,27.10,28.57,27605900,28.57
2011-08-23,26.77,27.50,26.52,27.50,15290000,27.50
2011-08-22,27.49,27.83,26.44,26.51,20167600,26.51
2011-08-19,26.30,27.85,26.28,26.69,31058600,26.69
2011-08-18,25.78,26.69,25.31,25.76,22778700,25.76
2011-08-17,27.19,27.34,26.11,26.79,22168300,26.79
2011-08-16,26.57,27.44,26.03,26.93,34795900,26.93
2011-08-15,25.85,27.48,25.11,27.11,56295400,27.11
2011-08-12,24.65,24.87,23.90,24.56,18761300,24.56
2011-08-11,22.45,24.68,22.41,24.18,29187700,24.18
2011-08-10,22.82,23.06,22.00,22.10,22707900,22.10
2011-08-09,22.64,23.30,21.81,23.12,23749900,23.12
2011-08-08,22.43,23.09,21.60,21.87,31251900,21.87
2011-08-05,23.89,24.10,22.54,23.39,30053800,23.39
2011-08-04,25.15,25.21,23.50,23.59,29900300,23.59
2011-08-03,24.85,25.79,23.96,25.33,36442200,25.33
2011-08-02,24.87,25.34,24.10,24.15,13287700,24.15
2011-08-01,25.25,25.33,24.20,24.79,16278300,24.79
2011-07-29,25.26,25.42,24.81,25.00,16753100,25.00
2011-07-28,25.91,26.18,25.39,25.46,13011700,25.46
2011-07-27,26.96,26.98,25.66,25.71,22375500,25.71
2011-07-26,26.73,27.50,26.73,27.39,16334400,27.39
2011-07-25,27.27,27.65,26.60,26.67,16330400,26.67
2011-07-22,27.75,28.00,27.12,27.91,12619400,27.91
2011-07-21,26.74,28.18,26.45,27.92,21580000,27.92
2011-07-20,26.60,26.80,25.60,26.64,15603700,26.64
2011-07-19,26.82,27.05,26.42,26.77,15214300,26.77
2011-07-18,27.37,27.58,26.42,26.68,15278100,26.68
2011-07-15,27.55,27.77,27.21,27.52,11434300,27.52
2011-07-14,28.41,28.41,27.17,27.27,20937400,27.27
2011-07-13,28.78,28.96,28.06,28.15,20468600,28.15
2011-07-12,28.13,28.99,28.09,28.48,15742200,28.48
2011-07-11,28.72,29.39,27.97,28.05,17475600,28.05
2011-07-08,28.68,29.28,28.22,28.98,21713400,28.98
2011-07-07,27.91,29.25,27.52,29.03,23745600,29.03
2011-07-06,28.64,28.78,27.63,27.72,17870900,27.72
2011-07-05,29.34,29.76,28.61,28.92,15618700,28.92
2011-07-01,28.72,29.00,28.45,28.93,12787500,28.93
2011-06-30,28.75,29.36,28.67,28.85,14035500,28.85
2011-06-29,28.32,28.90,28.20,28.78,15139000,28.78
2011-06-28,28.17,28.56,27.92,28.24,13218000,28.24
2011-06-27,28.58,28.74,27.85,28.17,17798100,28.17
2011-06-24,29.98,30.23,28.31,28.57,28645500,28.57
2011-06-23,28.05,29.93,28.05,29.77,44469900,29.77
2011-06-22,28.17,28.95,27.62,28.40,44439800,28.40
2011-06-21,26.44,28.58,25.92,28.55,62843800,28.55
