Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,29.19,30.62,22.52,23.93,39418400,23.93
2011-09-06,29.26,32.48,29.00,29.68,21460300,29.68
2011-08-29,29.94,33.54,29.43,30.12,27440600,30.12
2011-08-22,27.49,29.60,26.44,29.18,20506600,29.18
2011-08-15,25.85,27.85,25.11,26.69,33419300,26.69
2011-08-08,22.43,24.87,21.60,24.56,25131700,24.56
2011-08-01,25.25,25.79,22.54,23.39,25192400,23.39
2011-07-25,27.27,27.65,24.81,25.00,16958600,25.00
2011-07-18,27.37,28.18,25.60,27.91,16059100,27.91
2011-07-11,28.72,29.39,27.17,27.52,17209000,27.52
2011-07-05,29.34,29.76,27.52,28.98,19732900,28.98
2011-06-27,28.58,29.36,27.85,28.93,14583800,28.93
2011-06-20,27.31,30.23,25.82,28.57,47115400,28.57
2011-06-13,36.70,37.10,27.08,27.75,40355100,27.75
2011-06-06,38.68,39.86,36.08,36.56,19187200,36.56
2011-05-31,43.50,43.59,38.53,38.98,20981800,38.98
2011-05-23,43.05,43.91,42.64,43.60,8863700,43.60
2011-05-16,42.70,45.78,42.61,43.52,13431200,43.52
2011-05-09,45.76,45.91,43.19,43.24,15109200,43.24
2011-05-02,48.88,48.95,45.82,45.99,14501200,45.99
2011-04-25,53.91,57.32,48.20,48.65,18299500,48.65
2011-04-18,54.31,55.61,52.79,53.77,12828400,53.77
2011-04-11,54.80,55.07,52.66,53.40,10617700,53.40
2011-04-04,55.91,56.23,54.18,54.78,10599800,54.78
2011-03-28,57.42,57.95,55.77,56.08,13167000,56.08
2011-03-21,61.73,64.63,56.66,56.89,19858500,56.89
2011-03-14,62.51,63.14,59.38,60.91,9244100,60.91
2011-03-07,66.78,66.97,61.61,63.38,8714900,63.38
2011-02-28,66.41,68.81,65.53,66.47,10106800,66.47
2011-02-22,68.87,69.34,64.65,65.99,8953900,65.99
2011-02-14,66.90,70.54,64.25,69.86,10739100,69.86
2011-02-07,63.62,67.75,62.73,66.87,11099000,66.87
2011-01-31,60.13,64.85,58.57,63.69,10875500,63.69
2011-01-24,61.64,62.70,59.86,60.15,8885300,60.15
2011-01-18,65.84,66.48,61.11,61.55,9703600,61.55
2011-01-10,61.28,66.15,60.15,64.77,13817800,64.77
2011-01-03,58.69,62.67,58.30,61.68,14009000,61.68
2010-12-27,58.56,58.75,57.53,58.13,3896800,58.13
2010-12-20,59.95,60.00,57.48,58.65,10163100,58.65
2010-12-13,61.43,62.27,58.61,60.20,17167200,60.20
2010-12-06,62.57,63.64,60.56,62.15,9742500,62.15
2010-11-29,58.93,63.94,57.80,62.65,16667300,62.65
2010-11-22,59.10,60.29,57.57,59.20,9386900,59.20
2010-11-15,59.38,60.07,55.49,58.66,12649700,58.66
2010-11-08,55.04,61.39,54.78,58.80,21213000,58.80
