Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,21.02,22.43,20.88,22.33,3999038,22.33
2011-09-23,20.49,20.87,20.15,20.70,3570400,20.70
2011-09-22,21.00,21.48,20.30,20.62,4725700,20.62
2011-09-21,22.10,23.02,21.75,21.77,4326200,21.77
2011-09-20,23.90,23.96,21.99,22.03,4440200,22.03
2011-09-19,23.74,24.06,23.08,23.79,3056000,23.79
2011-09-16,24.63,24.93,23.80,24.23,4065900,24.23
2011-09-15,25.32,25.64,24.52,24.59,4097800,24.59
2011-09-14,23.71,25.33,23.29,24.77,7680500,24.77
2011-09-13,22.58,23.65,22.36,23.48,4229200,23.48
2011-09-12,21.61,22.57,21.07,22.53,4813500,22.53
2011-09-09,23.44,23.47,22.02,22.35,3949600,22.35
2011-09-08,24.12,24.98,23.20,23.68,4887700,23.68
2011-09-07,23.49,24.34,23.41,24.22,2465300,24.22
2011-09-06,22.13,23.01,21.85,22.94,3447600,22.94
2011-09-02,23.94,24.18,22.92,23.18,3365300,23.18
2011-09-01,24.83,25.84,24.55,24.62,4032100,24.62
2011-08-31,25.49,25.92,24.46,24.78,5072900,24.78
2011-08-30,24.00,25.33,23.75,25.04,4826500,25.04
2011-08-29,23.11,24.49,23.11,24.17,6144100,24.17
2011-08-26,20.79,22.76,20.64,22.76,5327600,22.76
2011-08-25,21.43,21.62,20.78,20.82,3525700,20.82
2011-08-24,21.75,22.05,20.58,21.37,5231600,21.37
2011-08-23,20.49,21.84,20.24,21.83,4281900,21.83
2011-08-22,21.48,21.57,20.07,20.37,4766000,20.37
2011-08-19,20.75,21.92,20.48,20.61,6216900,20.61
2011-08-18,23.00,23.00,19.93,20.66,10569800,20.66
2011-08-17,24.96,25.26,23.97,24.37,3960800,24.37
2011-08-16,26.06,26.27,24.78,25.18,4313600,25.18
2011-08-15,24.76,26.77,24.67,26.13,5283600,26.13
2011-08-12,24.82,24.97,23.92,24.57,6575400,24.57
2011-08-11,23.28,24.74,22.67,24.20,7389500,24.20
2011-08-10,23.70,24.46,22.82,23.00,5873200,23.00
2011-08-09,24.03,24.46,22.49,24.39,7218300,24.39
2011-08-08,23.98,25.15,23.33,23.55,8415000,23.55
2011-08-05,27.59,27.73,25.00,26.01,7772200,26.01
2011-08-04,28.54,28.88,27.06,27.09,6496800,27.09
2011-08-03,28.10,29.20,27.11,29.10,4885800,29.10
2011-08-02,28.60,30.20,27.73,27.79,6550300,27.79
2011-08-01,29.58,29.89,28.15,28.88,4131000,28.88
2011-07-29,28.47,29.44,27.81,28.63,4741000,28.63
2011-07-28,29.31,30.00,28.44,28.98,6362600,28.98
2011-07-27,30.50,30.53,27.93,29.31,11313500,29.31
2011-07-26,31.12,31.60,30.71,30.95,3887800,30.95
2011-07-25,31.64,32.41,30.94,31.09,5791800,31.09
2011-07-22,31.35,32.67,31.32,32.12,7250400,32.12
2011-07-21,32.53,32.53,31.03,31.25,9667200,31.25
2011-07-20,32.03,33.98,31.36,32.05,32170000,32.05
2011-07-19,39.60,41.74,39.40,41.40,11665900,41.40
2011-07-18,39.29,39.89,38.58,38.77,3183700,38.77
2011-07-15,39.70,39.70,38.82,39.57,2142700,39.57
2011-07-14,39.99,39.99,38.16,39.01,3925500,39.01
2011-07-13,40.47,40.71,39.80,39.88,2562200,39.88
2011-07-12,39.57,40.64,39.29,40.17,3225000,40.17
2011-07-11,40.51,41.56,39.50,39.82,4229600,39.82
2011-07-08,40.25,41.55,39.80,41.13,3735100,41.13
2011-07-07,40.79,41.83,40.79,41.42,2899300,41.42
2011-07-06,39.70,40.44,39.35,40.39,2312400,40.39
2011-07-05,39.53,39.90,39.03,39.76,3912600,39.76
2011-07-01,38.97,40.25,38.75,40.08,3348300,40.08
2011-06-30,39.27,39.99,39.05,39.59,3984200,39.59
2011-06-29,38.06,39.50,37.50,38.96,5737500,38.96
2011-06-28,37.32,37.92,36.93,37.73,5064200,37.73
2011-06-27,34.83,36.84,34.46,36.59,6077500,36.59
2011-06-24,35.77,35.87,34.40,34.88,18859200,34.88
2011-06-23,32.50,35.60,32.04,35.53,6191700,35.53
2011-06-22,33.84,34.77,33.24,33.26,4663900,33.26
2011-06-21,32.12,33.98,31.88,33.72,4765500,33.72
2011-06-20,31.68,32.27,31.35,31.62,4846300,31.62
2011-06-17,33.03,33.16,31.70,31.93,4037800,31.93
2011-06-16,32.71,33.12,31.83,32.38,3717700,32.38
2011-06-15,33.82,34.17,32.55,32.75,3836000,32.75
2011-06-14,33.75,34.67,33.56,34.31,2635700,34.31
2011-06-13,33.93,35.14,33.04,33.18,3857500,33.18
2011-06-10,34.81,35.05,33.54,34.03,3181700,34.03
2011-06-09,34.93,35.42,34.30,35.02,2604000,35.02
2011-06-08,35.72,35.87,34.50,34.80,3685500,34.80
2011-06-07,35.98,36.65,34.80,36.00,3369200,36.00
2011-06-06,36.93,37.49,35.46,35.52,3507400,35.52
2011-06-03,36.95,38.00,36.87,37.00,2380000,37.00
2011-06-02,37.41,38.33,37.31,37.94,2323400,37.94
2011-06-01,37.81,39.81,37.22,37.25,5911700,37.25
2011-05-31,38.62,38.64,37.02,37.92,3227000,37.92
2011-05-27,37.97,38.28,37.62,37.93,1883000,37.93
2011-05-26,37.25,37.94,36.70,37.57,2914000,37.57
2011-05-25,36.22,37.40,35.94,37.11,2935000,37.11
2011-05-24,37.90,37.96,35.80,36.18,5876500,36.18
2011-05-23,37.31,38.03,36.85,37.55,3285700,37.55
