Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,21.00,22.43,20.88,22.33,3997700,22.33
2011-09-19,23.74,24.06,20.15,20.70,4023700,20.70
2011-09-12,21.61,25.64,21.07,24.23,4977300,24.23
2011-09-06,22.13,24.98,21.85,22.35,3687500,22.35
2011-08-29,23.11,25.92,22.92,23.18,4688100,23.18
2011-08-22,21.48,22.76,20.07,22.76,4626500,22.76
2011-08-15,24.76,26.77,19.93,20.61,6068900,20.61
2011-08-08,23.98,25.15,22.49,24.57,7094200,24.57
2011-08-01,29.58,30.20,25.00,26.01,5967200,26.01
2011-07-25,31.64,32.41,27.81,28.63,6421600,28.63
2011-07-18,39.29,41.74,31.03,32.12,12803400,32.12
2011-07-11,40.51,41.56,38.16,39.57,3217000,39.57
2011-07-05,39.53,41.83,39.03,41.13,3214800,41.13
2011-06-27,34.83,40.25,34.46,40.08,4842300,40.08
2011-06-20,31.68,35.87,31.35,34.88,7865300,34.88
2011-06-13,33.93,35.14,31.70,31.93,3616900,31.93
2011-06-06,36.93,37.49,33.54,34.03,3269500,34.03
2011-05-31,38.62,39.81,36.87,37.00,3460500,37.00
2011-05-23,37.31,38.28,35.80,37.93,3386400,37.93
2011-05-16,36.97,39.19,35.24,38.17,4821600,38.17
2011-05-09,34.34,38.74,33.80,37.42,4741600,37.42
2011-05-02,35.07,35.38,32.42,34.34,3247700,34.34
2011-04-25,36.12,36.29,34.02,35.17,3784400,35.17
2011-04-18,33.12,36.00,31.76,35.82,6970100,35.82
2011-04-11,32.48,36.35,30.69,33.85,8669100,33.85
2011-04-04,34.08,34.94,32.13,32.43,6296100,32.43
2011-03-28,38.08,38.66,34.41,34.58,4169500,34.58
2011-03-21,37.80,39.05,35.50,38.07,4546400,38.07
2011-03-14,41.08,42.14,37.20,37.52,4820000,37.52
2011-03-07,43.84,44.08,38.71,41.89,3208600,41.89
2011-02-28,42.20,44.70,39.43,44.48,4488000,44.48
2011-02-22,40.18,42.29,37.17,41.79,4743300,41.79
2011-02-14,42.13,43.54,40.79,41.32,3243400,41.32
2011-02-07,37.25,42.56,37.10,41.87,5085200,41.87
2011-01-31,35.55,37.39,34.90,37.11,3946300,37.11
2011-01-24,35.90,37.84,31.42,35.53,7810300,35.53
2011-01-18,39.01,39.92,33.13,36.14,5772200,36.14
2011-01-10,38.32,39.94,37.47,39.44,2954900,39.44
2011-01-03,35.87,39.64,35.87,38.35,4795700,38.35
2010-12-27,34.83,36.57,34.05,35.17,1880200,35.17
2010-12-20,36.48,36.60,34.66,34.84,1907900,34.84
2010-12-13,37.60,37.94,33.53,35.86,5005200,35.86
2010-12-06,35.50,37.61,34.22,37.30,3892300,37.30
2010-11-29,34.77,35.10,33.70,34.82,3094500,34.82
2010-11-22,31.44,35.32,31.23,34.81,4620000,34.81
2010-11-15,29.77,31.85,27.41,31.45,3946600,31.45
2010-11-08,59.73,60.55,28.06,29.15,4141700,29.15
2010-11-01,57.39,61.07,55.97,59.28,3376100,29.64
2010-10-25,54.68,59.20,54.67,57.59,5225200,28.80
2010-10-18,47.41,55.72,43.40,54.27,7387500,27.14
2010-10-11,44.19,47.59,42.08,47.03,4620600,23.51
2010-10-04,47.27,48.78,41.34,44.19,12741000,22.09
2010-09-27,44.58,47.61,43.61,47.30,4208000,23.65
2010-09-20,45.05,46.55,42.03,44.70,3331300,22.35
2010-09-13,41.25,45.20,41.12,44.67,4467300,22.33
2010-09-07,41.70,41.99,40.32,40.92,2554600,20.46
2010-08-30,39.00,42.14,37.75,42.02,2888200,21.01
2010-08-23,36.69,39.45,34.86,39.19,3694500,19.59
2010-08-16,33.39,36.41,32.97,36.29,2756700,18.15
2010-08-09,36.44,36.72,31.35,33.62,3207200,16.81
