Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,23.1,23.39,22.57,22.79,43946217,22.79
2011-09-16,22.45,22.81,22.20,22.37,33438500,22.37
2011-09-15,22.95,23.36,22.62,22.64,42834400,22.64
2011-09-14,23.86,24.53,22.86,23.44,51625400,23.44
2011-09-13,24.40,24.76,23.92,24.11,42979000,24.11
2011-09-12,25.52,25.69,24.52,24.55,58687000,24.55
2011-09-09,24.19,25.15,24.02,24.89,49539600,24.89
2011-09-08,23.45,23.75,22.91,23.67,33572900,23.67
2011-09-07,23.80,23.97,23.14,23.18,32622500,23.18
2011-09-06,25.62,25.62,24.48,24.56,46833500,24.56
2011-09-02,23.98,24.37,23.74,24.22,41624400,24.22
2011-09-01,22.52,23.08,22.12,22.99,45073600,22.99
2011-08-31,22.47,22.90,22.06,22.53,46123500,22.53
2011-08-30,23.08,23.42,22.47,22.80,43356400,22.80
2011-08-29,23.63,23.66,22.86,22.89,33620600,22.89
2011-08-26,25.27,26.06,24.05,24.28,63828700,24.28
2011-08-25,24.00,25.18,23.73,25.02,48905700,25.02
2011-08-24,25.08,25.20,24.21,24.28,43899900,24.28
2011-08-23,26.54,26.81,24.93,24.96,58903000,24.96
2011-08-22,25.59,26.88,25.54,26.77,56442400,26.77
2011-08-19,26.64,26.85,25.30,26.74,64282600,26.74
2011-08-18,25.15,26.39,25.09,25.89,77548600,25.89
2011-08-17,23.66,24.26,23.27,23.89,39038500,23.89
2011-08-16,23.95,24.41,23.49,23.91,50838300,23.91
2011-08-15,24.10,24.19,23.47,23.49,40432800,23.49
2011-08-12,24.44,24.92,24.10,24.54,47879100,24.54
2011-08-11,26.89,27.09,24.15,24.91,69969300,24.91
2011-08-10,26.10,27.50,25.65,27.44,98323200,27.44
2011-08-09,26.82,28.73,25.06,25.12,126749700,25.12
2011-08-08,25.84,27.82,25.26,27.75,119532500,27.75
2011-08-05,23.85,25.85,23.72,24.58,114854100,24.58
2011-08-04,23.00,24.55,22.93,24.48,71213400,24.48
2011-08-03,22.56,23.34,22.34,22.37,56186800,22.37
2011-08-02,21.83,22.62,21.61,22.62,39768900,22.62
2011-08-01,20.85,21.93,20.79,21.54,41293200,21.54
2011-07-29,21.48,21.66,20.95,21.35,46767400,21.35
2011-07-28,20.93,21.13,20.56,21.06,25758200,21.06
2011-07-27,20.33,20.98,20.33,20.92,29969400,20.92
2011-07-26,19.99,20.20,19.92,20.10,14481200,20.10
2011-07-25,20.13,20.15,19.77,19.96,17771300,19.96
2011-07-22,19.75,19.98,19.70,19.75,15679100,19.75
2011-07-21,20.11,20.18,19.67,19.76,31626900,19.76
2011-07-20,20.20,20.40,20.18,20.32,19677100,20.32
2011-07-19,20.76,20.76,20.26,20.32,19824100,20.32
2011-07-18,20.85,21.30,20.79,21.00,22350500,21.00
2011-07-15,20.66,20.95,20.60,20.65,20211700,20.65
2011-07-14,20.51,20.98,20.32,20.87,27075300,20.87
2011-07-13,20.53,20.71,20.18,20.61,21881400,20.61
2011-07-12,20.67,20.77,20.32,20.75,27969400,20.75
2011-07-11,20.34,20.66,20.22,20.58,23939500,20.58
2011-07-08,20.03,20.15,19.85,19.86,28332500,19.86
2011-07-07,19.65,19.73,19.48,19.58,20973500,19.58
2011-07-06,20.15,20.26,19.95,20.00,18426500,20.00
2011-07-05,20.07,20.18,19.97,20.08,17734200,20.08
2011-07-01,20.62,20.69,19.97,20.02,26806400,20.02
2011-06-30,20.90,20.95,20.57,20.64,20948200,20.64
2011-06-29,21.21,21.37,20.97,21.04,24832500,21.04
2011-06-28,21.80,21.86,21.40,21.40,20621400,21.40
2011-06-27,22.34,22.43,21.80,21.98,20783100,21.98
2011-06-24,21.86,22.44,21.84,22.38,21377200,22.38
2011-06-23,22.26,22.58,21.84,21.87,33526400,21.87
2011-06-22,21.61,21.77,21.36,21.75,22920500,21.75
2011-06-21,21.86,21.92,21.40,21.50,25883400,21.50
2011-06-20,22.46,22.48,22.00,22.09,18713100,22.09
2011-06-17,22.01,22.47,22.00,22.32,24646000,22.32
2011-06-16,22.54,22.80,22.22,22.46,30731500,22.46
2011-06-15,22.14,22.66,22.00,22.55,33735000,22.55
2011-06-14,21.95,21.96,21.62,21.77,22106200,21.77
2011-06-13,22.29,22.59,22.16,22.36,21170900,22.36
2011-06-10,21.97,22.50,21.95,22.40,27541000,22.40
2011-06-09,22.00,22.11,21.60,21.80,17370500,21.80
2011-06-08,22.01,22.20,21.86,22.13,24350600,22.13
2011-06-07,21.69,21.97,21.56,21.94,18101400,21.94
2011-06-06,21.55,21.97,21.47,21.90,19688600,21.90
2011-06-03,21.55,21.57,21.13,21.44,26440500,21.44
2011-06-02,20.95,21.28,20.87,21.03,26418700,21.03
2011-06-01,20.21,21.02,20.18,20.99,24306000,20.99
2011-05-31,20.14,20.41,20.08,20.08,18242500,20.08
2011-05-27,20.56,20.61,20.40,20.51,14705700,20.51
2011-05-26,20.98,21.06,20.60,20.68,20266500,20.68
2011-05-25,20.87,21.19,20.69,20.87,17428200,20.87
2011-05-24,20.85,21.09,20.76,21.00,15819300,21.00
2011-05-23,21.01,21.11,20.85,20.96,22938200,20.96
2011-05-20,20.29,20.57,20.23,20.48,20558000,20.48
2011-05-19,20.14,20.40,20.07,20.19,15250600,20.19
2011-05-18,20.63,20.72,20.23,20.28,17363600,20.28
2011-05-17,20.80,20.97,20.59,20.64,23171700,20.64
2011-05-16,20.52,20.71,20.21,20.63,20948200,20.63
2011-05-13,20.05,20.53,20.00,20.39,21977300,20.39
2011-05-12,20.37,20.58,19.99,20.07,23252600,20.07
2011-05-11,19.91,20.45,19.90,20.25,18006900,20.25
2011-05-10,20.07,20.11,19.78,19.85,15102500,19.85
2011-05-09,20.35,20.42,20.08,20.19,15210300,20.19
2011-05-06,20.13,20.52,19.92,20.36,33474100,20.36
2011-05-05,20.40,20.72,20.14,20.52,35722600,20.52
2011-05-04,19.93,20.35,19.91,20.18,26568000,20.18
2011-05-03,19.85,20.11,19.78,19.92,17725700,19.92
2011-05-02,19.52,19.85,19.49,19.77,18992800,19.77
2011-04-29,19.79,19.84,19.67,19.70,11474100,19.70
2011-04-28,20.00,20.01,19.75,19.79,17626800,19.79
2011-04-27,20.12,20.28,19.87,19.94,18483100,19.94
2011-04-26,20.42,20.47,20.11,20.19,19400000,20.19
2011-04-25,20.53,20.69,20.49,20.56,8559200,20.56
2011-04-21,20.51,20.80,20.49,20.51,12456800,20.51
2011-04-20,20.79,20.82,20.62,20.72,19570500,20.72
2011-04-19,21.48,21.59,21.29,21.31,17258800,21.31
2011-04-18,21.54,21.89,21.46,21.54,31785600,21.54
2011-04-15,21.16,21.28,20.97,21.09,18264400,21.09
2011-04-14,21.51,21.65,21.17,21.23,23816000,21.23
2011-04-13,21.08,21.43,21.04,21.25,19812400,21.25
2011-04-12,21.18,21.42,21.10,21.27,22654600,21.27
2011-04-11,20.78,21.05,20.64,20.94,15952600,20.94
2011-04-08,20.51,21.00,20.47,20.83,18356500,20.83
2011-04-07,20.65,20.88,20.50,20.66,22572700,20.66
2011-04-06,20.51,20.74,20.48,20.59,14090600,20.59
2011-04-05,20.80,20.81,20.53,20.72,16179600,20.72
2011-04-04,20.65,20.83,20.58,20.72,14051300,20.72
2011-04-01,20.66,20.84,20.54,20.75,19136400,20.75
2011-03-31,20.91,20.96,20.80,20.92,15488000,20.92
2011-03-30,20.94,20.99,20.74,20.86,18975500,20.86
2011-03-29,21.47,21.62,21.14,21.14,19707800,21.14
2011-03-28,21.24,21.45,21.13,21.44,13859100,21.44
2011-03-25,21.37,21.46,21.15,21.33,23099800,21.33
2011-03-24,21.65,21.89,21.41,21.47,24614400,21.47
2011-03-23,22.15,22.35,21.78,21.89,24362600,21.89
