Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,25.52,25.69,22.20,22.37,45912800,22.37
2011-09-06,25.62,25.62,22.91,24.89,40642100,24.89
2011-08-29,23.63,24.37,22.06,24.22,41883900,24.22
2011-08-22,25.59,26.88,23.73,24.28,54304600,24.28
2011-08-15,24.10,26.85,23.27,26.74,54372500,26.74
2011-08-08,25.84,28.73,24.10,24.54,92345500,24.54
2011-08-01,20.85,25.85,20.79,24.58,64598900,24.58
2011-07-25,20.13,21.66,19.77,21.35,26884900,21.35
2011-07-18,20.85,21.30,19.67,19.75,21745200,19.75
2011-07-11,20.34,20.98,20.18,20.65,24135300,20.65
2011-07-05,20.07,20.26,19.48,19.86,21338600,19.86
2011-06-27,22.34,22.43,19.97,20.02,22754500,20.02
2011-06-20,22.46,22.58,21.36,22.38,24415400,22.38
2011-06-13,22.29,22.80,21.62,22.32,26432200,22.32
2011-06-06,21.55,22.50,21.47,22.40,21382600,22.40
2011-05-31,20.14,21.57,20.08,21.44,23800500,21.44
2011-05-23,21.01,21.19,20.40,20.51,18195100,20.51
2011-05-16,20.52,20.97,20.07,20.48,19434200,20.48
2011-05-09,20.35,20.58,19.78,20.39,18679600,20.39
2011-05-02,19.52,20.72,19.49,20.36,26452300,20.36
2011-04-25,20.53,20.69,19.67,19.70,15073000,19.70
2011-04-18,21.54,21.89,20.49,20.51,20267900,20.51
2011-04-11,20.78,21.65,20.64,21.09,20100000,21.09
2011-04-04,20.65,21.00,20.47,20.83,17050100,20.83
2011-03-28,21.24,21.62,20.54,20.75,17433300,20.75
2011-03-21,22.02,22.35,21.15,21.33,23718300,21.33
2011-03-14,22.03,23.67,21.87,22.55,44619300,22.55
2011-03-07,21.14,22.22,21.04,21.75,30158500,21.75
2011-02-28,21.18,21.90,20.89,21.25,31653200,21.25
2011-02-22,21.13,22.23,20.89,21.33,43611300,21.33
2011-02-14,21.16,21.29,20.64,20.69,16914400,20.69
2011-02-07,21.69,21.73,21.09,21.13,22622500,21.13
2011-01-31,22.89,23.00,21.77,21.79,25408700,21.79
2011-01-24,22.83,23.09,22.11,23.01,30251500,23.01
2011-01-18,22.53,23.25,22.36,22.79,23994700,22.79
2011-01-10,23.46,23.61,22.47,22.47,24458700,22.47
2011-01-03,23.43,23.63,23.02,23.26,20433300,23.26
2010-12-27,24.03,24.06,23.62,23.76,8545700,23.76
