Date,Open,High,Low,Close,Volume,Adj Close
2011-09-14,24.07,24.17,23.36,24.15,195222,24.15
2011-09-13,23.22,23.92,23.08,23.86,1066800,23.86
2011-09-12,22.80,23.45,22.65,23.22,618100,23.22
2011-09-09,23.62,23.62,22.83,23.19,718300,23.19
2011-09-08,24.00,24.34,23.65,23.83,969400,23.83
2011-09-07,23.90,24.36,23.74,24.21,1134200,24.21
2011-09-06,21.93,23.70,21.69,23.53,2703900,23.53
2011-09-02,22.54,22.83,21.65,21.83,679900,21.83
2011-09-01,23.31,23.66,22.95,23.16,633700,23.16
2011-08-31,23.29,23.71,22.90,23.31,1969700,23.31
2011-08-30,22.90,23.38,22.67,23.09,783200,23.09
2011-08-29,22.82,23.00,22.52,22.99,837400,22.99
2011-08-26,21.41,22.70,21.29,22.48,963500,22.48
2011-08-25,22.06,22.18,21.14,21.47,841200,21.47
2011-08-24,21.09,21.94,20.94,21.90,746800,21.90
2011-08-23,20.68,21.16,20.24,21.08,838700,21.08
2011-08-22,21.19,21.21,20.44,20.62,716700,20.62
2011-08-19,20.93,21.38,20.56,20.60,812000,20.60
2011-08-18,22.13,22.16,21.04,21.19,892100,21.19
2011-08-17,23.34,23.60,22.63,22.81,761400,22.81
2011-08-16,23.27,23.63,22.97,23.10,1146200,23.10
2011-08-15,22.73,23.48,22.56,23.48,1093500,23.48
2011-08-12,22.70,22.99,22.26,22.46,947400,22.46
2011-08-11,21.37,22.78,21.17,22.46,1301100,22.46
2011-08-10,21.86,22.18,20.95,21.23,1821200,21.23
2011-08-09,22.25,22.70,20.99,22.51,5300300,22.51
2011-08-08,22.80,23.16,21.37,21.83,4037900,21.83
2011-08-05,23.57,24.02,22.51,23.39,1898700,23.39
2011-08-04,25.10,25.14,23.22,23.22,1569900,23.22
2011-08-03,25.56,25.61,24.92,25.43,3433600,25.43
2011-08-02,25.64,26.06,25.54,25.62,1911000,25.62
2011-08-01,26.10,26.10,25.57,25.77,1570600,25.77
2011-07-29,25.75,26.09,25.38,25.88,1008400,25.88
2011-07-28,26.00,26.18,25.76,26.04,1544000,26.04
2011-07-27,26.15,26.32,25.87,25.96,1380100,25.96
2011-07-26,26.29,26.45,25.98,26.37,1151200,26.37
2011-07-25,26.01,26.54,25.86,26.25,979300,26.25
2011-07-22,26.38,26.44,25.99,26.37,805900,26.37
2011-07-21,25.85,26.60,25.68,26.49,838400,26.49
2011-07-20,25.71,25.78,25.52,25.66,1927000,25.66
2011-07-19,25.58,25.82,25.35,25.64,1097200,25.64
2011-07-18,25.82,25.82,25.25,25.49,1066500,25.49
2011-07-15,26.10,26.33,25.71,26.00,943200,26.00
2011-07-14,26.77,27.05,25.98,26.02,1423300,26.02
2011-07-13,27.36,27.57,26.57,26.61,2185400,26.61
2011-07-12,26.77,27.65,26.75,27.27,1641100,27.27
2011-07-11,27.49,27.59,26.86,26.95,1529400,26.95
2011-07-08,28.06,28.36,27.78,28.34,1498800,28.34
2011-07-07,28.75,28.90,28.30,28.43,2112300,28.43
2011-07-06,28.86,29.01,28.25,28.41,1290000,28.41
2011-07-05,29.39,29.60,28.68,28.81,2211100,28.81
2011-07-01,30.14,30.20,29.14,29.38,3173900,29.38
2011-06-30,29.62,30.32,29.62,30.21,3534800,30.21
2011-06-29,28.50,30.00,28.39,29.83,7844500,29.83
2011-06-28,31.80,32.75,31.77,32.31,2563900,32.31
2011-06-27,31.79,32.18,31.50,31.60,1074900,31.60
2011-06-24,32.69,32.74,31.72,31.78,1625400,31.78
2011-06-23,32.53,32.70,31.95,32.58,1763800,32.58
2011-06-22,32.81,33.25,32.60,33.07,954500,33.07
2011-06-21,32.63,33.24,32.55,32.96,1000800,32.96
2011-06-20,31.82,32.69,31.75,32.47,1247600,32.47
2011-06-17,32.43,32.78,31.40,31.88,1504900,31.88
2011-06-16,32.63,32.77,31.47,32.04,1031100,32.04
2011-06-15,33.00,33.12,32.55,32.71,502000,32.71
2011-06-14,32.80,33.41,32.71,33.35,816500,33.35
2011-06-13,32.71,32.93,31.95,32.44,833500,32.44
2011-06-10,33.05,33.14,32.55,32.64,691200,32.64
2011-06-09,33.26,33.56,33.09,33.30,757800,33.30
2011-06-08,33.64,33.78,33.06,33.08,1063200,33.08
2011-06-07,34.35,34.46,33.83,33.87,704000,33.87
2011-06-06,34.52,34.52,34.01,34.19,1064300,34.19
2011-06-03,34.42,35.03,34.21,34.54,1475400,34.54
2011-06-02,35.25,35.80,34.63,34.99,1766100,34.99
