Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,22.80,23.92,22.65,23.86,842400,23.86
2011-09-06,21.93,24.36,21.69,23.19,1381400,23.19
2011-08-29,22.82,23.71,21.65,21.83,980700,21.83
2011-08-22,21.19,22.70,20.24,22.48,821300,22.48
2011-08-15,22.73,23.63,20.56,20.60,941000,20.60
2011-08-08,22.80,23.16,20.95,22.46,2681500,22.46
2011-08-01,26.10,26.10,22.51,23.39,2076700,23.39
2011-07-25,26.01,26.54,25.38,25.88,1212600,25.88
2011-07-18,25.82,26.60,25.25,26.37,1147000,26.37
2011-07-11,27.49,27.65,25.71,26.00,1544400,26.00
2011-07-05,29.39,29.60,27.78,28.34,1778000,28.34
2011-06-27,31.79,32.75,28.39,29.38,3638400,29.38
2011-06-20,31.82,33.25,31.72,31.78,1318400,31.78
2011-06-13,32.71,33.41,31.40,31.88,937600,31.88
2011-06-06,34.52,34.52,32.55,32.64,856100,32.64
2011-05-31,36.89,37.29,34.21,34.54,2074800,34.54
2011-05-23,36.65,36.94,35.70,36.69,956700,36.69
2011-05-16,39.16,39.67,35.92,37.32,1315200,37.32
2011-05-09,38.26,39.91,37.93,39.41,944100,39.41
2011-05-02,39.01,39.25,36.79,38.22,1117700,38.22
2011-04-25,37.92,39.43,37.58,38.90,1088900,38.90
2011-04-18,37.07,38.50,36.21,37.94,1652700,37.94
2011-04-11,34.05,37.98,33.82,37.75,2536800,37.75
2011-04-04,35.47,35.74,34.73,35.45,1195500,35.45
2011-03-28,35.15,35.99,34.61,35.50,1094500,35.50
2011-03-21,32.87,36.18,32.62,35.67,2565000,35.67
2011-03-14,31.82,35.15,27.61,32.52,7665300,32.52
2011-03-07,40.88,41.17,37.97,38.41,816200,38.41
2011-02-28,40.33,41.62,39.10,41.05,875600,41.05
2011-02-22,40.14,40.24,38.65,40.14,1164400,40.14
2011-02-14,40.02,41.22,39.42,40.60,917200,40.60
2011-02-07,38.65,41.58,38.61,39.93,1172400,39.93
2011-01-31,37.03,38.75,36.87,38.64,817100,38.64
2011-01-24,38.50,39.47,36.55,36.72,1120700,36.72
2011-01-18,37.26,39.28,37.12,38.46,1421400,38.46
2011-01-10,33.50,37.83,33.37,37.37,2088900,37.37
2011-01-03,34.48,35.37,32.76,33.23,1232900,33.23
2010-12-27,34.81,34.86,34.03,34.23,301800,34.23
2010-12-20,34.87,35.31,34.07,34.97,446400,34.97
2010-12-13,34.85,35.35,33.84,34.87,649900,34.87
2010-12-06,33.60,34.91,33.15,34.60,870700,34.60
2010-11-29,29.96,34.01,29.56,33.65,1222700,33.65
2010-11-22,30.68,31.67,29.97,30.02,600500,30.02
2010-11-15,31.35,31.70,30.40,30.90,757400,30.90
2010-11-08,32.24,32.50,31.00,31.27,1170400,31.27
2010-11-01,30.69,32.47,30.42,32.44,1029900,32.44
2010-10-25,32.15,32.43,30.35,30.56,1267100,30.56
2010-10-18,33.33,33.39,30.66,31.98,1403300,31.98
2010-10-11,35.15,35.15,32.84,33.33,887400,33.33
2010-10-04,34.35,35.29,33.98,35.08,648300,35.08
2010-09-27,33.07,34.42,32.53,34.37,613500,34.37
2010-09-20,32.75,33.98,32.02,33.19,453100,33.19
2010-09-13,34.05,34.20,32.58,32.70,404800,32.70
2010-09-07,33.90,34.13,33.19,33.79,287100,33.79
2010-08-30,33.14,34.50,32.30,34.07,479400,34.07
2010-08-23,32.50,33.17,30.52,33.08,730800,33.08
2010-08-16,31.11,33.15,31.11,32.35,553700,32.35
2010-08-09,33.65,34.34,31.40,31.51,631000,31.51
2010-08-02,32.53,33.91,32.47,33.49,618000,33.49
2010-07-26,33.48,34.28,31.75,32.04,674400,32.04
2010-07-19,32.20,33.39,31.09,33.29,868500,33.29
2010-07-12,35.50,35.50,32.06,32.07,1315900,32.07
2010-07-06,33.95,35.47,32.70,34.99,753500,34.99
2010-06-28,35.98,36.48,32.96,33.32,809400,33.32
2010-06-21,37.00,38.07,35.04,35.63,1039500,35.63
2010-06-14,34.84,36.84,34.33,36.56,603400,36.56
2010-06-07,33.73,34.78,32.05,34.68,686600,34.68
2010-06-01,33.89,34.99,33.14,33.55,915200,33.55
2010-05-24,33.08,34.82,30.78,34.11,757100,34.11
2010-05-17,35.32,36.34,31.26,33.18,1056500,33.18
2010-05-10,35.50,37.70,34.95,35.37,918500,35.37
2010-05-03,38.34,38.93,32.50,33.98,1410100,33.98
2010-04-26,40.26,40.49,37.65,38.28,1296400,38.28
2010-04-19,35.53,40.06,35.39,39.99,1527800,39.99
2010-04-12,35.12,36.00,35.04,35.77,699700,35.77
2010-04-05,35.35,35.92,34.15,35.13,1021700,35.13
2010-03-29,35.58,35.99,34.35,35.15,979300,35.15
2010-03-22,34.21,36.53,33.91,35.35,654600,35.35
2010-03-15,34.74,35.75,34.10,34.57,546600,34.57
