Date,Open,High,Low,Close,Volume,Adj Close
2011-09-27,1.71,1.74,1.69,1.73,55091184,1.73
2011-09-26,1.74,1.74,1.61,1.67,135298700,1.67
2011-09-23,1.68,1.72,1.67,1.70,57062700,1.70
2011-09-22,1.75,1.77,1.66,1.68,134747500,1.68
2011-09-21,1.80,1.89,1.79,1.81,72877300,1.81
2011-09-20,1.81,1.82,1.78,1.78,32751100,1.78
2011-09-19,1.79,1.81,1.78,1.80,44874700,1.80
2011-09-16,1.84,1.86,1.81,1.83,48625300,1.83
2011-09-15,1.80,1.84,1.77,1.84,84354500,1.84
2011-09-14,1.71,1.85,1.70,1.80,189710600,1.80
2011-09-13,1.69,1.72,1.68,1.69,44536900,1.69
2011-09-12,1.68,1.72,1.66,1.67,57087200,1.67
2011-09-09,1.72,1.76,1.70,1.72,29503000,1.72
2011-09-08,1.77,1.83,1.72,1.75,60747500,1.75
2011-09-07,1.73,1.80,1.72,1.80,46689300,1.80
2011-09-06,1.67,1.70,1.66,1.69,33922700,1.69
2011-09-02,1.72,1.76,1.71,1.72,33165500,1.72
2011-09-01,1.81,1.86,1.76,1.76,62393400,1.76
2011-08-31,1.83,1.87,1.78,1.80,77377600,1.80
2011-08-30,1.78,1.83,1.77,1.80,105344400,1.80
2011-08-29,1.73,1.81,1.73,1.81,64213600,1.81
2011-08-26,1.67,1.73,1.65,1.70,64022100,1.70
2011-08-25,1.75,1.79,1.68,1.69,63051200,1.69
2011-08-24,1.66,1.78,1.65,1.75,127759000,1.75
2011-08-23,1.70,1.71,1.59,1.69,190653900,1.69
2011-08-22,1.81,1.83,1.66,1.71,137056900,1.71
2011-08-19,1.72,1.82,1.70,1.77,94166700,1.77
2011-08-18,1.85,1.87,1.77,1.78,120565700,1.78
2011-08-17,1.93,1.95,1.91,1.92,94107100,1.92
2011-08-16,1.89,1.92,1.87,1.91,106045400,1.91
2011-08-15,1.92,1.93,1.88,1.90,95109900,1.90
2011-08-12,1.89,1.95,1.86,1.87,99226100,1.87
2011-08-11,1.76,1.88,1.75,1.86,97462500,1.86
2011-08-10,1.76,1.79,1.72,1.73,94341100,1.73
2011-08-09,1.71,1.80,1.66,1.80,125647700,1.80
2011-08-08,1.69,1.79,1.63,1.65,182577900,1.65
2011-08-05,1.94,2.01,1.73,1.89,163212200,1.89
2011-08-04,2.04,2.04,1.94,1.94,129315600,1.94
2011-08-03,2.08,2.10,1.96,2.07,101370300,2.07
2011-08-02,2.18,2.22,2.02,2.07,139619100,2.07
2011-08-01,2.22,2.22,2.06,2.11,138253600,2.11
2011-07-29,2.04,2.13,1.99,2.11,114353200,2.11
2011-07-28,2.11,2.19,2.07,2.08,78813400,2.08
2011-07-27,2.16,2.16,2.09,2.12,52460600,2.12
2011-07-26,2.16,2.20,2.14,2.14,33416300,2.14
2011-07-25,2.12,2.22,2.10,2.14,57927700,2.14
2011-07-22,2.20,2.21,2.16,2.16,26677600,2.16
2011-07-21,2.19,2.21,2.17,2.20,61815300,2.20
2011-07-20,2.23,2.24,2.17,2.18,54194600,2.18
2011-07-19,2.25,2.29,2.20,2.21,94934900,2.21
2011-07-18,2.31,2.33,2.21,2.24,65035900,2.24
2011-07-15,2.27,2.35,2.25,2.33,126038600,2.33
2011-07-14,2.25,2.27,2.21,2.25,174746800,2.25
2011-07-13,2.21,2.27,2.20,2.25,54890200,2.25
2011-07-12,2.19,2.21,2.16,2.19,47829600,2.19
2011-07-11,2.27,2.30,2.17,2.21,144487600,2.21
2011-07-08,2.17,2.23,2.15,2.22,37459400,2.22
2011-07-07,2.19,2.23,2.18,2.22,37681900,2.22
2011-07-06,2.17,2.18,2.13,2.16,36468200,2.16
2011-07-05,2.23,2.25,2.17,2.18,69543900,2.18
2011-07-01,2.23,2.25,2.18,2.19,64829000,2.19
2011-06-30,2.13,2.25,2.12,2.19,114829800,2.19
2011-06-29,2.08,2.10,2.04,2.10,80115400,2.10
2011-06-28,2.02,2.07,2.01,2.04,48445900,2.04
2011-06-27,1.97,2.01,1.93,2.00,45286500,2.00
2011-06-24,2.09,2.09,1.98,1.98,77950200,1.98
2011-06-23,1.99,2.05,1.97,2.04,86306700,2.04
2011-06-22,2.02,2.10,2.01,2.04,63159400,2.04
2011-06-21,1.93,2.02,1.93,2.00,63162100,2.00
2011-06-20,1.89,1.92,1.88,1.92,34046600,1.92
2011-06-17,1.96,1.97,1.87,1.92,63416000,1.92
2011-06-16,1.95,1.96,1.90,1.94,74283700,1.94
2011-06-15,1.92,1.99,1.89,1.95,97367600,1.95
2011-06-14,1.95,1.98,1.92,1.96,66223500,1.96
2011-06-13,1.99,2.00,1.86,1.91,169235200,1.91
2011-06-10,2.08,2.10,1.99,2.00,82051400,2.00
2011-06-09,2.03,2.10,1.98,2.08,64283600,2.08
2011-06-08,2.13,2.13,1.98,2.03,125723400,2.03
2011-06-07,2.14,2.18,2.12,2.15,62949400,2.15
2011-06-06,2.17,2.20,2.10,2.13,99883700,2.13
2011-06-03,2.20,2.21,2.16,2.18,125021700,2.18
2011-06-02,2.29,2.31,2.22,2.24,82947200,2.24
2011-06-01,2.35,2.35,2.26,2.27,91277700,2.27
2011-05-31,2.41,2.44,2.33,2.35,291981900,2.35
2011-05-27,2.36,2.38,2.35,2.37,40311600,2.37
2011-05-26,2.35,2.39,2.31,2.34,76830900,2.34
2011-05-25,2.29,2.42,2.28,2.33,172922800,2.33
2011-05-24,2.24,2.29,2.20,2.27,128218600,2.27
2011-05-23,2.21,2.25,2.19,2.20,77368700,2.20
2011-05-20,2.25,2.26,2.20,2.22,55159000,2.22
2011-05-19,2.21,2.25,2.19,2.23,80471700,2.23
2011-05-18,2.13,2.20,2.12,2.18,74559200,2.18
2011-05-17,2.20,2.21,2.07,2.14,126477400,2.14
2011-05-16,2.22,2.24,2.16,2.18,106963400,2.18
2011-05-13,2.28,2.29,2.22,2.24,69591500,2.24
2011-05-12,2.27,2.34,2.25,2.28,91900000,2.28
2011-05-11,2.36,2.42,2.27,2.31,173675900,2.31
2011-05-10,2.19,2.36,2.16,2.35,114523000,2.35
2011-05-09,2.24,2.25,2.15,2.19,95143600,2.19
2011-05-06,2.15,2.23,2.15,2.22,166313900,2.22
2011-05-05,2.13,2.17,2.09,2.12,99838300,2.12
2011-05-04,2.05,2.14,2.05,2.13,87788000,2.13
2011-05-03,1.96,2.09,1.96,2.07,243605500,2.07
