Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,1.74,1.74,1.61,1.67,135298700,1.67
2011-09-19,1.79,1.89,1.66,1.70,68462600,1.70
2011-09-12,1.68,1.86,1.66,1.83,84862900,1.83
2011-09-06,1.67,1.83,1.66,1.72,42715600,1.72
2011-08-29,1.73,1.87,1.71,1.72,68498900,1.72
2011-08-22,1.81,1.83,1.59,1.70,116508600,1.70
2011-08-15,1.92,1.95,1.70,1.77,101998900,1.77
2011-08-08,1.69,1.95,1.63,1.87,119851000,1.87
2011-08-01,2.22,2.22,1.73,1.89,134354100,1.89
2011-07-25,2.12,2.22,1.99,2.11,67394200,2.11
2011-07-18,2.31,2.33,2.16,2.16,60531600,2.16
2011-07-11,2.27,2.35,2.16,2.33,109598500,2.33
2011-07-05,2.23,2.25,2.13,2.22,45288300,2.22
2011-06-27,1.97,2.25,1.93,2.19,70701300,2.19
2011-06-20,1.89,2.10,1.88,1.98,64925000,1.98
2011-06-13,1.99,2.00,1.86,1.92,94105200,1.92
2011-06-06,2.17,2.20,1.98,2.00,86978300,2.00
2011-05-31,2.41,2.44,2.16,2.18,147807100,2.18
2011-05-23,2.21,2.42,2.19,2.37,99130500,2.37
2011-05-16,2.22,2.26,2.07,2.22,88726100,2.22
2011-05-09,2.24,2.42,2.15,2.24,108966800,2.24
2011-05-02,2.00,2.23,1.90,2.22,149049300,2.22
2011-04-25,1.94,2.00,1.91,1.99,57170600,1.99
2011-04-18,1.80,1.93,1.79,1.93,47052000,1.93
2011-04-11,1.76,1.85,1.75,1.84,37308600,1.84
2011-04-04,1.64,1.86,1.62,1.76,62489000,1.76
2011-03-28,1.71,1.73,1.62,1.65,45513000,1.65
2011-03-21,1.71,1.73,1.63,1.72,38805600,1.72
2011-03-14,1.77,1.79,1.67,1.71,53112900,1.71
2011-03-07,1.80,1.83,1.69,1.79,57635100,1.79
2011-02-28,1.79,1.83,1.73,1.81,47092100,1.81
2011-02-22,1.78,1.79,1.63,1.77,59878300,1.77
2011-02-14,1.87,1.88,1.65,1.81,100211400,1.81
2011-02-07,1.77,1.85,1.74,1.84,39633900,1.84
2011-01-31,1.61,1.80,1.58,1.75,86806100,1.75
2011-01-24,1.57,1.65,1.54,1.62,36121100,1.62
2011-01-18,1.56,1.59,1.49,1.55,30628900,1.55
2011-01-10,1.59,1.61,1.53,1.56,43265300,1.56
2011-01-03,1.67,1.74,1.59,1.61,60018100,1.61
2010-12-27,1.60,1.69,1.52,1.63,41523900,1.63
2010-12-20,1.40,1.69,1.39,1.61,73648200,1.61
2010-12-13,1.40,1.40,1.35,1.40,29050800,1.40
2010-12-06,1.38,1.44,1.31,1.40,69621200,1.40
2010-11-29,1.40,1.41,1.37,1.37,26398100,1.37
2010-11-22,1.39,1.40,1.35,1.40,18077300,1.40
2010-11-15,1.45,1.46,1.32,1.40,62276400,1.40
2010-11-08,1.55,1.57,1.39,1.42,59795100,1.42
2010-11-01,1.55,1.61,1.43,1.53,107944900,1.53
2010-10-25,1.32,1.50,1.30,1.50,55345200,1.50
2010-10-18,1.37,1.39,1.24,1.31,58828100,1.31
2010-10-11,1.30,1.44,1.29,1.38,71642200,1.38
2010-10-04,1.22,1.31,1.22,1.29,74531200,1.29
2010-09-27,1.19,1.24,1.15,1.24,50674000,1.24
2010-09-20,1.13,1.20,1.10,1.18,60666100,1.18
2010-09-13,1.05,1.14,1.04,1.13,61184300,1.13
2010-09-07,0.99,1.05,0.99,1.05,57984700,1.05
2010-08-30,0.98,1.01,0.95,1.01,103507700,1.01
2010-08-23,0.99,1.00,0.95,0.99,154306900,0.99
2010-08-16,0.99,1.02,0.96,0.97,58397500,0.97
2010-08-09,1.05,1.06,0.97,1.00,60361700,1.00
2010-08-02,1.03,1.06,1.00,1.05,52684700,1.05
2010-07-26,0.99,1.03,0.97,1.03,47653400,1.03
2010-07-19,0.95,0.99,0.91,0.98,93933500,0.98
2010-07-12,0.99,1.00,0.94,0.95,50239900,0.95
2010-07-06,0.95,1.02,0.92,1.00,66898300,1.00
2010-06-28,1.05,1.06,0.90,0.96,66435600,0.96
2010-06-21,1.05,1.10,1.00,1.09,122971500,1.09
2010-06-14,1.03,1.06,0.97,1.04,52850000,1.04
2010-06-07,0.98,1.03,0.92,1.01,55102900,1.01
2010-06-01,1.02,1.03,0.97,0.98,45134100,0.98
2010-05-24,1.04,1.04,0.88,1.03,81041600,1.03
2010-05-17,1.10,1.13,0.90,1.03,70861800,1.03
2010-05-10,1.08,1.10,1.02,1.07,60847100,1.07
2010-05-03,1.19,1.25,0.86,1.01,141147800,1.01
2010-04-26,1.12,1.22,1.10,1.18,83316200,1.18
2010-04-19,1.07,1.15,1.05,1.12,56261600,1.12
2010-04-12,1.00,1.18,0.94,1.08,199240500,1.08
2010-04-05,0.86,1.02,0.85,0.99,293266200,0.99
2010-03-29,0.87,0.90,0.82,0.84,190679800,0.84
2010-03-22,0.82,0.92,0.79,0.86,182224900,0.86
2010-03-15,0.92,0.95,0.82,0.83,135464100,0.83
2010-03-08,0.95,0.97,0.87,0.91,117905300,0.91
2010-03-01,0.96,1.01,0.82,0.94,232000200,0.94
2010-02-22,1.13,1.14,0.98,1.02,106646500,1.02
2010-02-16,0.91,1.18,0.91,1.08,163745500,1.08
2010-02-08,0.87,0.90,0.83,0.89,77630300,0.89
2010-02-01,0.86,0.95,0.82,0.86,108156600,0.86
2010-01-25,0.70,0.88,0.68,0.84,67085800,0.84
2010-01-19,0.66,0.74,0.65,0.69,40074800,0.69
2010-01-11,0.68,0.69,0.66,0.67,20728500,0.67
2010-01-04,0.61,0.71,0.61,0.67,40254800,0.67
2009-12-28,0.58,0.61,0.57,0.60,17447600,0.60
2009-12-21,0.59,0.61,0.56,0.59,20769400,0.59
2009-12-14,0.61,0.62,0.58,0.60,17000600,0.60
2009-12-07,0.62,0.64,0.60,0.61,13404100,0.61
2009-11-30,0.62,0.65,0.61,0.63,17256800,0.63
2009-11-23,0.63,0.64,0.60,0.63,12135700,0.63
2009-11-16,0.68,0.68,0.60,0.63,21180400,0.63
2009-11-09,0.63,0.68,0.61,0.67,27643500,0.67
2009-11-02,0.59,0.69,0.57,0.63,38436800,0.63
2009-10-26,0.60,0.61,0.56,0.59,20360300,0.59
2009-10-19,0.61,0.64,0.59,0.59,21978900,0.59
2009-10-12,0.55,0.61,0.55,0.59,23003900,0.59
2009-10-05,0.60,0.61,0.51,0.55,34004200,0.55
2009-09-28,0.60,0.64,0.56,0.60,47294000,0.60
2009-09-21,0.66,0.69,0.61,0.63,33428600,0.63
2009-09-14,0.65,0.71,0.64,0.68,38243300,0.68
2009-09-08,0.67,0.70,0.65,0.66,33402500,0.66
2009-08-31,0.68,0.69,0.58,0.65,48758100,0.65
2009-08-24,0.74,0.77,0.63,0.69,78821100,0.69
