Date,Open,High,Low,Close,Volume,Adj Close
2011-11-07,0,0,0,33.2,40324,33.2
2011-11-04,33.29,33.48,32.90,33.20,12359200,33.20
2011-11-03,33.80,33.81,32.90,33.62,18393100,33.62
2011-11-02,33.03,33.52,32.82,33.25,17245500,33.25
2011-11-01,31.70,32.77,31.50,32.33,36627900,32.33
2011-10-31,33.61,33.61,33.20,33.44,16375100,33.44
2011-10-28,34.25,34.39,33.79,34.27,18050800,34.27
2011-10-27,33.01,34.44,32.74,34.10,34961900,34.10
2011-10-26,32.83,32.91,32.24,32.50,25725700,32.50
2011-10-25,30.84,32.50,30.52,32.43,36994900,32.43
2011-10-24,30.60,31.19,30.56,30.87,15322900,30.87
2011-10-21,30.45,30.59,30.13,30.48,17199800,30.48
2011-10-20,29.96,30.54,29.14,29.73,31577500,29.73
2011-10-19,30.94,31.13,30.08,30.23,19568400,30.23
2011-10-18,30.23,31.49,29.72,31.33,24985600,31.33
2011-10-17,31.37,31.39,30.63,31.04,18892700,31.04
2011-10-14,31.32,31.63,30.89,31.34,14422500,31.34
2011-10-13,31.24,31.25,30.61,30.94,15756900,30.94
2011-10-12,31.80,31.96,31.35,31.77,18917900,31.77
2011-10-11,30.98,31.42,30.84,31.38,14955200,31.38
2011-10-10,31.20,31.49,30.93,31.26,18657300,31.26
2011-10-07,31.46,31.72,29.88,30.23,32181700,30.23
2011-10-06,30.04,31.36,29.86,31.20,37447500,31.20
2011-10-05,28.88,29.82,28.47,29.66,30682900,29.66
2011-10-04,29.59,29.66,27.90,29.09,47044700,29.09
2011-10-03,29.99,30.16,29.39,29.49,25189300,29.49
2011-09-30,29.57,29.81,28.87,28.91,29043000,28.91
2011-09-29,29.96,30.19,29.03,29.96,37660100,29.96
2011-09-28,30.75,30.99,28.70,28.87,56705100,28.87
2011-09-27,32.02,32.62,30.57,31.17,64627300,31.17
2011-09-26,27.51,29.99,27.41,29.77,74303000,29.77
2011-09-23,31.80,32.54,29.05,29.98,97706000,29.98
2011-09-22,36.22,36.32,34.51,34.92,63068600,34.92
2011-09-21,39.10,39.64,38.34,38.56,23297700,38.56
2011-09-20,38.26,39.25,38.16,38.83,17285900,38.83
2011-09-19,39.17,39.18,37.94,38.65,24731700,38.65
2011-09-16,38.98,39.84,38.96,39.39,20079300,39.39
2011-09-15,39.08,39.32,38.30,38.79,23054900,38.79
2011-09-14,39.69,39.81,39.19,39.60,18271000,39.60
2011-09-13,39.54,40.23,39.30,39.87,20573000,39.87
2011-09-12,39.79,40.20,38.65,39.14,32825200,39.14
2011-09-09,40.53,41.23,40.02,40.52,24466000,40.52
2011-09-08,41.46,41.49,40.95,41.22,19413700,41.22
2011-09-07,39.56,40.74,39.21,40.53,25482200,40.53
2011-09-06,41.13,41.58,40.46,41.05,35029300,41.05
2011-09-02,41.80,42.30,41.55,42.18,26229100,42.18
2011-09-01,40.40,40.74,40.00,40.52,16977300,40.52
2011-08-31,40.52,40.95,40.05,40.45,22184200,40.45
2011-08-30,40.32,40.54,39.70,40.40,23503500,40.40
2011-08-29,39.84,39.96,39.25,39.72,25538200,39.72
2011-08-26,39.99,40.42,39.08,40.41,29611900,40.41
2011-08-25,38.41,40.12,38.06,40.00,36076700,40.00
2011-08-24,40.09,40.35,38.05,38.83,60205200,38.83
2011-08-23,41.86,42.29,40.41,40.63,56195800,40.63
2011-08-22,42.11,42.78,41.91,42.63,51735200,42.63
2011-08-19,41.25,41.73,40.36,41.68,49181100,41.68
2011-08-18,39.75,39.87,39.32,39.66,25730000,39.66
2011-08-17,39.18,39.55,38.80,39.33,19918800,39.33
2011-08-16,38.56,39.12,38.50,39.03,21810700,39.03
2011-08-15,38.30,38.79,38.18,38.67,21684100,38.67
2011-08-12,37.46,38.20,37.30,38.12,22208100,38.12
2011-08-11,37.57,38.09,36.94,37.80,40405200,37.80
2011-08-10,37.40,38.52,37.17,38.44,50255700,38.44
2011-08-09,37.04,37.47,36.04,36.32,64510500,36.32
2011-08-08,38.42,38.60,37.50,37.97,54721500,37.97
2011-08-05,38.35,38.49,36.55,37.32,63053600,37.32
2011-08-04,41.08,41.19,37.11,37.61,98457000,37.61
2011-08-03,40.00,40.96,39.90,40.55,65467400,40.55
