Date,Open,High,Low,Close,Volume,Adj Close
2011-10-31,33.61,33.81,31.50,33.20,20200100,33.20
2011-10-24,30.60,34.44,30.52,34.27,26211200,34.27
2011-10-17,31.37,31.49,29.14,30.48,22444800,30.48
2011-10-10,31.20,31.96,30.61,31.34,16541900,31.34
2011-10-03,29.99,31.72,27.90,30.23,34509200,30.23
2011-09-26,27.51,32.62,27.41,28.91,52467700,28.91
2011-09-19,39.17,39.64,29.05,29.98,45217900,29.98
2011-09-12,39.79,40.23,38.30,39.39,22960600,39.39
2011-09-06,41.13,41.58,39.21,40.52,26097800,40.52
2011-08-29,39.84,42.30,39.25,42.18,22886400,42.18
2011-08-22,42.11,42.78,38.05,40.41,46764900,40.41
2011-08-15,38.30,41.73,38.18,41.68,27664900,41.68
2011-08-08,38.42,38.60,36.04,38.12,46420200,38.12
2011-08-01,38.27,41.19,36.55,37.32,56970200,37.32
2011-07-25,39.56,40.35,38.31,38.85,33520200,38.85
2011-07-18,39.30,39.69,37.23,39.07,47314600,39.07
2011-07-11,35.75,38.37,34.02,38.24,43169600,38.24
2011-07-05,34.05,35.90,33.96,35.75,24028900,35.75
2011-06-27,32.98,34.18,32.53,33.00,23427800,33.00
2011-06-20,34.94,35.85,33.29,33.36,27833000,33.36
2011-06-13,34.68,35.07,33.69,34.95,32609800,34.95
2011-06-06,36.19,36.71,35.18,35.25,31233500,35.25
2011-05-31,37.67,37.72,34.61,35.34,49365300,35.34
2011-05-23,33.81,37.28,33.78,37.03,45989200,37.03
2011-05-16,33.82,34.69,32.19,34.18,66784900,34.18
2011-05-09,36.17,37.90,31.97,34.39,131157600,34.39
2011-05-02,44.10,46.23,33.58,34.48,214004300,34.48
2011-04-25,46.98,48.35,43.55,46.88,151381000,46.88
2011-04-18,42.12,45.57,41.17,45.54,76099000,45.54
2011-04-11,40.24,41.87,38.73,41.84,58197100,41.84
2011-04-04,37.61,39.90,37.36,39.86,30751600,39.86
2011-03-28,35.76,37.05,35.74,36.86,22296900,36.86
2011-03-21,35.01,37.26,34.88,36.39,31834600,36.39
2011-03-14,35.13,35.42,33.01,34.27,27923400,34.27
2011-03-07,35.57,35.78,33.34,35.03,40350100,35.03
2011-02-28,32.68,34.74,32.49,34.69,35072000,34.69
2011-02-22,32.55,33.00,30.96,32.56,39352500,32.56
2011-02-14,29.61,32.13,29.58,31.79,27101900,31.79
2011-02-07,28.54,29.80,28.41,29.21,19321200,29.21
2011-01-31,27.16,28.64,27.16,28.40,21659800,28.40
2011-01-24,26.58,27.41,26.03,27.30,26104400,27.30
2011-01-18,28.12,28.77,26.54,26.83,26722300,26.83
2011-01-10,28.29,29.02,27.45,27.74,25599800,27.74
2011-01-03,30.29,30.44,27.91,28.10,32869600,28.10
2010-12-27,28.56,30.25,28.43,30.18,16150200,30.18
2010-12-20,28.55,28.86,28.13,28.61,13186000,28.61
2010-12-13,28.84,29.15,27.67,28.51,26907100,28.51
2010-12-06,28.99,30.00,27.34,27.98,50495000,27.98
2010-11-29,26.28,28.77,25.91,28.60,28449100,28.60
2010-11-22,26.64,27.22,25.95,26.13,20520500,26.13
2010-11-15,25.55,26.80,24.44,26.74,32874300,26.74
2010-11-08,26.19,28.72,25.22,25.52,70564300,25.52
2010-11-01,24.35,26.34,23.41,26.20,29548400,26.20
2010-10-25,23.23,24.17,22.70,24.17,14674000,24.17
2010-10-18,23.58,23.98,22.52,22.76,20195400,22.76
2010-10-11,22.65,24.06,22.51,23.75,19730900,23.75
2010-10-04,21.60,22.88,21.42,22.73,18831200,22.73
2010-09-27,21.05,21.72,20.73,21.65,13402800,21.65
2010-09-20,20.41,21.02,20.06,21.01,14146400,21.01
2010-09-13,19.58,20.42,19.49,20.29,10748800,20.29
2010-09-07,19.53,19.63,19.30,19.42,8784400,19.42
2010-08-30,18.68,19.53,18.60,19.42,8000100,19.42
2010-08-23,17.60,18.93,17.48,18.70,9983600,18.70
2010-08-16,18.02,18.23,17.48,17.59,6724800,17.59
2010-08-09,18.03,18.08,17.43,17.74,4720300,17.74
2010-08-02,18.02,18.30,17.81,18.07,6413600,18.07
2010-07-26,17.80,17.84,17.06,17.58,6849300,17.58
2010-07-19,17.31,17.86,17.07,17.72,7196000,17.72
2010-07-12,17.64,18.10,17.36,17.49,6807000,17.49
2010-07-06,17.49,17.85,17.24,17.73,6534700,17.73
2010-06-28,18.74,18.85,17.26,17.46,9638500,17.46
2010-06-21,18.92,18.94,17.95,18.67,7088300,18.67
2010-06-14,18.10,18.88,17.86,18.75,6681400,18.75
2010-06-07,16.98,18.11,16.97,17.85,8806200,17.85
2010-06-01,18.17,18.35,16.94,17.05,10958200,17.05
2010-05-24,17.49,18.20,17.17,18.03,8571800,18.03
2010-05-17,18.96,18.99,17.05,17.29,16345000,17.29
2010-05-10,18.23,19.44,18.05,18.93,18867400,18.93
2010-05-03,18.41,18.50,16.73,18.00,19012500,18.00
2010-04-26,17.93,18.40,17.48,18.26,10328900,18.26
2010-04-19,17.29,17.91,17.25,17.91,5306800,17.91
2010-04-12,18.03,18.17,17.26,17.41,10045300,17.41
2010-04-05,17.62,18.08,17.56,18.01,7510900,18.01
2010-03-29,16.94,17.64,16.89,17.54,8482600,17.54
2010-03-22,16.33,16.82,16.25,16.61,8778800,16.61
2010-03-15,16.71,17.20,16.64,16.65,7580800,16.65
2010-03-08,17.15,17.31,16.56,16.76,9142600,16.76
2010-03-01,16.23,17.16,16.10,17.01,10633700,17.01
2010-02-22,16.06,16.22,15.35,16.07,9541700,16.07
2010-02-16,15.55,16.20,15.49,15.97,12912800,15.97
2010-02-08,14.80,15.46,14.69,15.24,12226300,15.24
2010-02-01,16.02,16.47,14.37,14.90,19121000,14.90
2010-01-25,16.74,16.86,15.70,15.90,15264300,15.90
2010-01-19,18.19,18.45,16.55,16.78,14846300,16.78
2010-01-11,18.44,18.45,17.81,18.05,13394900,18.05
2010-01-04,17.05,18.16,17.02,18.15,12281800,18.15
2009-12-28,17.28,17.30,16.45,16.54,8792700,16.54
2009-12-21,17.04,17.20,16.45,17.17,7849100,17.17
2009-12-14,16.92,17.48,16.77,16.95,10228700,16.95
2009-12-07,17.65,18.02,16.58,16.87,18620700,16.87
2009-11-30,17.84,19.11,17.80,18.15,17955900,18.15
2009-11-23,18.52,18.61,17.60,17.95,16569300,17.95
2009-11-16,17.55,18.52,17.53,18.22,13337800,18.22
2009-11-09,17.40,17.42,16.73,17.15,10564500,17.15
2009-11-02,16.18,17.33,16.00,17.09,13739400,17.09
2009-10-26,17.37,17.47,15.82,16.07,12940700,16.07
2009-10-19,17.16,17.63,17.03,17.40,7971400,17.40
2009-10-12,17.53,17.64,17.01,17.18,9036900,17.18
2009-10-05,15.94,17.62,15.87,17.44,11464100,17.44
2009-09-28,15.73,16.44,15.73,15.82,7308000,15.82
2009-09-21,16.45,16.95,15.72,15.74,10585900,15.74
2009-09-14,16.31,17.26,16.21,16.70,10932200,16.70
2009-09-08,16.45,16.69,15.98,16.50,13597600,16.50
2009-08-31,14.38,16.08,14.34,15.97,14135900,15.97
2009-08-24,14.19,14.62,13.83,14.50,6337900,14.50
2009-08-17,13.83,14.04,13.33,13.92,6830700,13.92
2009-08-10,14.20,14.80,14.01,14.43,6600700,14.43
2009-08-03,14.17,14.75,14.00,14.39,10768800,14.39
2009-07-27,13.86,13.88,12.97,13.70,6235100,13.70
2009-07-20,13.50,13.69,13.21,13.66,6413000,13.66
2009-07-13,12.35,13.29,12.27,13.17,7690100,13.17
2009-07-06,12.85,13.10,12.34,12.50,7486900,12.50
2009-06-29,13.77,13.79,13.14,13.16,7849300,13.16
2009-06-22,13.61,14.04,13.43,13.90,8664900,13.90
2009-06-15,14.19,14.21,13.82,13.99,10812900,13.99
2009-06-08,14.72,15.32,14.51,14.63,10186400,14.63
2009-06-01,15.59,15.78,14.93,15.01,14791600,15.01
2009-05-26,14.22,15.48,14.20,15.47,12419900,15.47
2009-05-18,13.67,14.56,13.42,14.50,8835000,14.50
2009-05-11,13.64,14.06,13.62,13.77,6275100,13.77
2009-05-04,12.41,13.89,12.41,13.79,9355600,13.79
2009-04-27,12.84,12.88,12.02,12.31,5288300,12.31
