Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,29.87,29.94,29.07,29.8,18568199,29.8
2011-09-23,28.89,29.90,28.81,29.72,17752500,29.72
2011-09-22,29.20,29.41,28.65,29.12,26356000,29.12
2011-09-21,30.55,30.80,29.86,29.91,17210200,29.91
2011-09-20,30.71,31.09,30.46,30.47,11728400,30.47
2011-09-19,30.52,30.85,30.26,30.71,12565900,30.71
2011-09-16,30.84,31.24,30.78,30.93,13151500,30.93
2011-09-15,30.71,30.86,30.35,30.76,15508100,30.76
2011-09-14,29.83,30.69,29.64,30.32,25124900,30.32
2011-09-13,29.28,29.76,29.12,29.63,12882900,29.63
2011-09-12,28.24,29.14,28.24,29.13,11337700,29.13
2011-09-09,28.43,29.14,28.36,28.52,14581600,28.52
2011-09-08,28.74,29.39,28.55,28.69,8737000,28.69
2011-09-07,28.51,28.87,28.42,28.84,9760100,28.84
2011-09-06,27.35,27.98,27.28,27.97,9046800,27.97
2011-09-02,28.25,28.40,27.95,28.07,6937600,28.07
2011-09-01,29.30,29.42,28.72,28.75,6844300,28.75
2011-08-31,29.45,29.66,28.96,29.16,13669200,29.16
2011-08-30,29.09,29.49,28.87,29.33,8245500,29.33
2011-08-29,28.81,29.37,28.68,29.37,5656000,29.37
2011-08-26,27.85,28.63,27.48,28.47,11773500,28.45
2011-08-25,28.47,28.72,27.86,27.90,11916300,27.88
2011-08-24,28.67,28.76,28.14,28.63,6857800,28.61
2011-08-23,27.69,28.76,27.62,28.73,10032600,28.69
2011-08-22,27.94,28.03,27.49,27.66,10281100,27.62
2011-08-19,27.67,28.35,27.29,27.35,10855000,27.31
2011-08-18,28.55,28.55,27.66,27.91,12048200,27.87
2011-08-17,29.34,29.97,29.06,29.36,13330800,29.32
2011-08-16,29.64,29.92,29.14,29.45,12376800,29.40
2011-08-15,29.66,29.97,29.54,29.94,6531800,29.89
2011-08-12,29.83,29.94,29.24,29.48,14660400,29.43
2011-08-11,28.82,29.94,28.60,29.55,18089500,29.50
2011-08-10,28.60,29.32,28.10,28.48,18603300,28.42
2011-08-09,28.67,29.18,27.57,29.18,15841500,29.12
2011-08-08,28.55,29.17,28.14,28.28,20271300,28.22
2011-08-05,30.12,30.36,28.63,29.40,20553400,29.32
2011-08-04,30.95,31.18,29.77,29.77,16150700,29.69
2011-08-03,31.05,31.57,30.64,31.48,13315900,31.40
2011-08-02,31.73,31.91,31.14,31.18,13778500,31.04
2011-08-01,32.46,32.58,31.62,32.07,11212800,31.92
2011-07-29,31.97,32.49,31.82,32.06,10773300,31.91
2011-07-28,32.35,32.90,32.11,32.30,12717000,32.15
2011-07-27,33.14,33.14,32.27,32.48,22602200,32.30
2011-07-26,33.63,33.99,33.52,33.58,11671000,33.39
2011-07-25,33.50,33.72,33.25,33.47,8665700,33.28
2011-07-22,33.34,33.93,33.26,33.79,10428100,33.60
2011-07-21,32.70,33.32,32.38,33.23,10871900,33.05
2011-07-20,33.25,33.32,32.79,32.98,9919200,32.80
2011-07-19,32.58,33.29,32.58,33.22,11873300,33.04
2011-07-18,32.41,32.63,32.03,32.29,7020600,32.11
2011-07-15,32.59,32.68,32.20,32.58,10718500,32.40
2011-07-14,32.95,33.30,32.36,32.46,16867400,32.28
2011-07-13,33.25,33.38,32.73,32.88,10181600,32.70
2011-07-12,33.64,33.64,32.86,33.10,20166000,32.92
2011-07-11,34.22,34.79,34.03,34.16,8299400,33.97
2011-07-08,34.76,34.82,34.28,34.65,11088900,34.46
2011-07-07,34.69,35.36,34.63,35.17,11423000,34.98
2011-07-06,34.31,34.54,34.06,34.38,9321600,34.19
2011-07-05,34.74,34.85,34.28,34.41,10143600,34.22
2011-07-01,34.09,34.84,33.80,34.77,10899800,34.58
2011-06-30,33.23,34.20,33.23,34.08,13664600,33.89
2011-06-29,33.36,33.46,33.03,33.20,15272900,33.02
2011-06-28,33.07,33.29,32.88,33.26,12425800,33.08
2011-06-27,32.60,33.15,32.38,33.00,7677600,32.82
2011-06-24,33.27,33.27,32.60,32.66,7995100,32.48
2011-06-23,32.47,33.45,32.37,33.40,19297700,33.22
2011-06-22,32.96,33.22,32.87,32.93,6995100,32.75
2011-06-21,32.64,33.23,32.37,33.14,9744000,32.96
2011-06-20,32.27,32.57,32.18,32.43,7179600,32.25
2011-06-17,32.87,32.89,32.15,32.32,16761800,32.14
2011-06-16,32.84,32.96,32.29,32.52,10115900,32.34
2011-06-15,33.07,33.42,32.79,32.84,10704900,32.66
2011-06-14,33.21,33.59,33.16,33.44,8054800,33.25
2011-06-13,32.85,33.33,32.70,32.85,6919800,32.67
2011-06-10,33.52,33.57,32.84,33.11,9917400,32.93
2011-06-09,33.64,33.92,33.42,33.65,5767500,33.46
2011-06-08,34.13,34.13,33.48,33.55,8827200,33.36
2011-06-07,34.33,34.62,34.21,34.27,6755800,34.08
2011-06-06,34.09,34.32,34.01,34.04,8558000,33.85
2011-06-03,34.48,34.73,34.10,34.16,8355900,33.97
2011-06-02,34.86,35.18,34.67,34.88,8253100,34.69
2011-06-01,35.73,35.80,34.72,34.77,10223700,34.58
2011-05-31,35.68,35.90,35.60,35.89,5590800,35.69
2011-05-27,35.25,35.48,35.23,35.33,5409100,35.13
2011-05-26,35.07,35.30,34.88,35.22,5904100,35.00
2011-05-25,35.15,35.29,34.68,35.15,9219500,34.93
2011-05-24,35.34,35.37,34.89,34.94,8772300,34.71
2011-05-23,35.44,35.47,35.14,35.20,10452000,34.97
2011-05-20,36.02,36.16,35.71,35.90,7627300,35.66
2011-05-19,36.13,36.44,35.73,36.13,12509800,35.89
2011-05-18,35.84,36.55,35.81,36.44,9418600,36.20
2011-05-17,35.92,35.92,35.24,35.66,13352800,35.43
2011-05-16,36.31,36.85,36.07,36.13,10868000,35.89
2011-05-13,36.71,36.93,36.44,36.48,8041900,36.24
2011-05-12,36.10,36.97,36.05,36.75,11882700,36.51
2011-05-11,36.50,36.81,36.09,36.38,9975800,36.14
2011-05-10,36.53,36.65,36.39,36.51,7241900,36.27
2011-05-09,36.46,36.56,36.13,36.34,6021500,36.10
2011-05-06,36.73,36.99,36.37,36.54,14656500,36.30
2011-05-05,36.03,36.80,35.98,36.38,14393100,36.14
2011-05-04,36.24,36.50,35.67,36.24,13372700,36.00
2011-05-03,36.28,36.28,35.83,36.12,7511600,35.88
2011-05-02,36.68,36.73,36.17,36.29,8672700,36.05
2011-04-29,36.60,36.78,36.48,36.69,3413700,36.45
2011-04-28,36.49,36.77,36.32,36.59,10117800,36.35
2011-04-27,36.41,36.81,36.36,36.75,13124800,36.51
2011-04-26,35.91,36.58,35.86,36.51,8400000,36.27
2011-04-25,35.83,35.97,35.68,35.90,5568900,35.66
2011-04-21,35.77,35.88,35.50,35.77,7335200,35.54
2011-04-20,35.10,35.67,35.09,35.65,20987500,35.42
2011-04-19,33.88,34.17,33.80,34.05,9615800,33.83
2011-04-18,34.06,34.06,33.66,33.90,8990800,33.68
2011-04-15,34.06,34.42,33.81,34.36,8944700,34.13
2011-04-14,33.83,34.10,33.63,34.07,8708500,33.85
2011-04-13,34.15,34.26,33.83,34.04,11147300,33.82
2011-04-12,34.30,34.37,33.76,33.95,10399200,33.73
2011-04-11,34.89,34.93,34.47,34.63,9019000,34.40
2011-04-08,35.13,35.26,34.68,34.88,6350600,34.65
2011-04-07,35.03,35.14,34.60,35.01,11850600,34.78
2011-04-06,34.94,35.13,34.78,35.06,10959300,34.83
2011-04-05,34.48,35.01,34.40,34.62,19851700,34.39
2011-04-04,34.22,34.23,33.53,33.82,12614600,33.60
2011-04-01,34.89,34.93,33.92,34.08,13008800,33.86
2011-03-31,34.67,34.88,34.35,34.59,10155800,34.36
2011-03-30,35.00,35.09,34.49,34.75,9437900,34.52
2011-03-29,34.42,34.83,34.07,34.74,7606500,34.51
2011-03-28,34.59,34.91,34.42,34.47,8262900,34.24
2011-03-25,34.58,34.93,34.50,34.57,9109300,34.34
2011-03-24,34.27,34.66,34.07,34.54,11337100,34.31
2011-03-23,33.41,34.01,33.29,33.92,10899900,33.70
2011-03-22,33.64,33.83,33.42,33.51,8745700,33.29
2011-03-21,33.34,33.96,33.29,33.70,6585900,33.48
2011-03-18,33.39,33.41,32.88,33.05,11752500,32.83
2011-03-17,33.05,33.37,32.83,32.98,14141500,32.76
2011-03-16,33.11,33.66,32.32,32.55,23527900,32.33
2011-03-15,32.75,33.57,32.50,33.35,17996000,33.13
2011-03-14,33.84,34.23,33.63,33.89,17598000,33.66
2011-03-11,33.55,34.18,33.51,33.95,17683600,33.72
2011-03-10,33.87,34.16,33.54,33.74,26149200,33.51
2011-03-09,35.06,35.13,34.21,34.38,20176300,34.15
2011-03-08,35.40,35.66,35.01,35.43,9854900,35.19
2011-03-07,36.42,36.50,34.99,35.40,19333500,35.16
2011-03-04,36.64,36.75,36.15,36.42,6217600,36.17
2011-03-03,36.22,36.78,36.22,36.69,8267600,36.44
2011-03-02,35.35,36.30,35.30,35.95,15472800,35.71
2011-03-01,35.92,36.07,35.16,35.20,13867600,34.95
2011-02-28,36.13,36.26,35.37,35.78,16101000,35.53
2011-02-25,35.58,36.05,35.50,36.02,5700900,35.75
2011-02-24,35.06,35.39,34.72,35.26,9971500,34.99
2011-02-23,35.43,35.49,34.46,34.98,12163500,34.71
2011-02-22,36.10,36.24,35.42,35.50,7409100,35.23
2011-02-18,36.67,36.67,36.42,36.56,4419500,36.28
2011-02-17,36.20,36.67,36.15,36.59,4892200,36.31
2011-02-16,36.12,36.41,36.06,36.29,9223900,36.01
2011-02-15,36.15,36.15,35.74,36.02,7511900,35.72
2011-02-14,36.05,36.41,36.02,36.19,4824800,35.89
2011-02-11,35.68,36.12,35.49,36.00,4277300,35.70
2011-02-10,35.29,35.82,35.12,35.76,6197600,35.47
2011-02-09,35.63,35.75,35.45,35.58,5702900,35.29
2011-02-08,35.79,35.79,35.35,35.65,6616700,35.36
2011-02-07,35.94,36.17,35.58,35.68,7101500,35.38
2011-02-04,35.32,35.84,35.23,35.81,7554600,35.50
2011-02-03,35.29,35.36,34.95,35.24,3351200,34.94
2011-02-02,35.14,35.58,35.13,35.36,6986000,35.00
2011-02-01,34.66,35.38,34.66,35.28,9291800,34.92
2011-01-31,34.47,34.61,33.92,34.41,8340000,34.06
2011-01-28,35.29,35.32,34.17,34.40,10711500,34.05
2011-01-27,34.58,35.27,34.54,35.13,13342100,34.78
2011-01-26,34.39,34.53,34.10,34.46,6384400,34.08
2011-01-25,34.31,34.44,33.97,34.25,6521200,33.88
2011-01-24,33.90,34.45,33.78,34.45,4635100,34.07
2011-01-21,34.16,34.16,33.68,33.74,6205400,33.37
2011-01-20,33.94,34.01,33.36,33.87,7591700,33.50
2011-01-19,34.34,34.53,34.04,34.14,7424100,33.77
2011-01-18,34.38,34.64,34.34,34.59,4532100,34.21
2011-01-14,33.71,34.42,33.61,34.41,10068900,34.03
2011-01-13,33.50,33.60,33.34,33.53,5028100,33.16
2011-01-12,33.35,33.53,33.17,33.52,2826700,33.15
2011-01-11,33.04,33.23,32.93,33.17,5470700,32.81
2011-01-10,32.71,33.00,32.56,32.92,4429000,32.56
2011-01-07,33.00,33.08,32.39,32.83,5429500,32.47
2011-01-06,32.61,32.94,32.57,32.89,4259100,32.53
2011-01-05,32.56,32.77,32.28,32.65,4875700,32.29
2011-01-04,32.82,32.91,32.47,32.71,4831400,32.35
2011-01-03,32.66,33.00,32.43,32.69,5409400,32.33
2010-12-31,32.58,32.67,32.41,32.53,2334800,32.18
2010-12-30,32.54,32.71,32.46,32.60,2851100,32.24
2010-12-29,32.55,32.61,32.40,32.57,4220200,32.21
2010-12-28,32.57,32.66,32.33,32.44,2425700,32.09
2010-12-27,32.33,32.62,32.13,32.61,3093200,32.25
2010-12-23,32.49,32.60,32.39,32.50,2499400,32.15
2010-12-22,32.32,32.56,32.19,32.51,5001300,32.16
2010-12-21,32.56,32.70,32.53,32.65,2750000,32.29
2010-12-20,32.69,32.71,32.37,32.38,4791300,32.03
2010-12-17,32.52,32.75,32.48,32.65,2706400,32.29
2010-12-16,32.40,32.52,32.20,32.52,3488800,32.17
2010-12-15,32.48,32.59,32.22,32.33,7424900,31.97
2010-12-14,32.58,32.74,32.46,32.59,5645100,32.23
2010-12-13,33.04,33.04,32.57,32.58,6016300,32.22
2010-12-10,33.00,33.10,32.83,32.86,7034800,32.50
2010-12-09,33.25,33.26,32.97,33.00,7789600,32.63
2010-12-08,32.65,33.04,32.62,32.97,8603200,32.60
2010-12-07,32.88,33.05,32.65,32.66,9068200,32.30
2010-12-06,32.65,32.71,32.35,32.61,4636900,32.25
2010-12-03,32.32,32.71,32.30,32.65,4462300,32.29
2010-12-02,31.99,32.49,31.92,32.44,10276500,32.08
2010-12-01,31.62,32.08,31.60,31.87,11002300,31.52
2010-11-30,31.09,31.22,30.90,31.06,11356000,30.70
2010-11-29,31.25,31.54,31.13,31.44,6358700,31.08
2010-11-26,31.51,31.69,31.42,31.49,1651800,31.13
2010-11-24,31.25,31.79,31.22,31.68,4350100,31.32
2010-11-23,30.90,31.15,30.82,31.02,8692200,30.66
2010-11-22,30.70,31.27,30.68,31.22,9229800,30.86
2010-11-19,30.47,30.88,30.47,30.84,4806600,30.47
2010-11-18,30.30,30.61,30.25,30.55,9320900,30.18
2010-11-17,29.98,30.33,29.84,30.10,7650100,29.74
2010-11-16,30.10,30.38,29.82,30.00,14161900,29.64
2010-11-15,30.58,30.75,30.29,30.32,5833800,29.95
2010-11-12,30.57,30.98,30.25,30.52,18822500,30.15
2010-11-11,29.98,30.54,29.74,30.53,16687100,30.16
2010-11-10,30.87,30.92,30.49,30.87,11142800,30.50
2010-11-09,31.21,31.26,30.75,30.87,9634700,30.49
2010-11-08,31.08,31.33,31.04,31.16,7429800,30.76
2010-11-05,30.81,31.20,30.74,31.19,8238800,30.78
2010-11-04,30.23,30.79,30.17,30.74,9211600,30.34
2010-11-03,29.70,29.99,29.50,29.99,12092200,29.60
2010-11-02,29.79,29.87,29.62,29.69,8576100,29.25
2010-11-01,29.70,29.83,29.35,29.57,11357700,29.14
