Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,29.87,29.94,29.07,29.80,18568200,29.80
2011-09-19,30.52,31.09,28.65,29.72,17122600,29.72
2011-09-12,28.24,31.24,28.24,30.93,15601000,30.93
2011-09-06,27.35,29.39,27.28,28.52,10531300,28.52
2011-08-29,28.81,29.66,27.95,28.07,8270500,28.07
2011-08-22,27.94,28.76,27.48,28.47,10172200,28.45
2011-08-15,29.66,29.97,27.29,27.35,11028500,27.31
2011-08-08,28.55,29.94,27.57,29.48,17493200,29.43
2011-08-01,32.46,32.58,28.63,29.40,15002200,29.32
2011-07-25,33.50,33.99,31.82,32.06,13285800,31.91
2011-07-18,32.41,33.93,32.03,33.79,10022600,33.60
2011-07-11,34.22,34.79,32.20,32.58,13246500,32.40
2011-07-05,34.74,35.36,34.06,34.65,10494200,34.46
2011-06-27,32.60,34.84,32.38,34.77,11988100,34.58
2011-06-20,32.27,33.45,32.18,32.66,10242300,32.48
2011-06-13,32.85,33.59,32.15,32.32,10511400,32.14
2011-06-06,34.09,34.62,32.84,33.11,7965100,32.93
2011-05-31,35.68,35.90,34.10,34.16,8105800,33.97
2011-05-23,35.44,35.48,34.68,35.33,7951400,35.13
2011-05-16,36.31,36.85,35.24,35.90,10755300,35.66
2011-05-09,36.46,36.97,36.05,36.48,8632700,36.24
2011-05-02,36.68,36.99,35.67,36.54,11721300,36.30
2011-04-25,35.83,36.81,35.68,36.69,8125000,36.45
2011-04-18,34.06,35.88,33.66,35.77,11732300,35.54
2011-04-11,34.89,34.93,33.63,34.36,9643700,34.13
2011-04-04,34.22,35.26,33.53,34.88,12325300,34.65
2011-03-28,34.59,35.09,33.92,34.08,9694300,33.86
2011-03-21,33.34,34.93,33.29,34.57,9335500,34.34
2011-03-14,33.84,34.23,32.32,33.05,17003100,32.83
2011-03-07,36.42,36.50,33.51,33.95,18639500,33.72
2011-02-28,36.13,36.78,35.16,36.42,11985300,36.17
2011-02-22,36.10,36.24,34.46,36.02,8811200,35.75
2011-02-14,36.05,36.67,35.74,36.56,6174400,36.28
2011-02-07,35.94,36.17,35.12,36.00,5979200,35.70
