Date,Open,High,Low,Close,Volume,Adj Close
2011-09-19,43.16,43.34,42.35,42.78,8529766,42.78
2011-09-16,43.24,43.34,42.35,42.78,8529800,42.78
2011-09-15,42.92,43.47,42.33,43.08,11765800,43.08
2011-09-14,41.22,43.40,41.14,42.66,18558000,42.66
2011-09-13,40.02,41.03,39.90,40.95,10956900,40.95
2011-09-12,38.10,40.19,38.10,40.02,11129600,40.02
2011-09-09,38.24,40.45,38.20,38.73,14445700,38.73
2011-09-08,37.91,40.28,37.73,38.52,13773600,38.52
2011-09-07,36.21,37.80,36.20,37.63,7966000,37.63
2011-09-06,33.59,35.81,33.39,35.57,9020300,35.57
2011-09-02,35.39,36.00,34.63,34.94,6290600,34.94
2011-09-01,36.63,37.99,36.22,36.27,8334300,36.27
2011-08-31,37.56,37.76,36.33,36.65,7577700,36.65
2011-08-30,37.17,37.58,36.41,37.09,8108600,37.09
2011-08-29,35.50,37.51,35.50,37.39,8728000,37.39
2011-08-26,33.58,35.35,32.60,34.80,11595200,34.80
2011-08-25,35.10,35.68,33.75,33.89,6515800,33.89
2011-08-24,34.43,35.43,33.96,34.92,7761000,34.92
2011-08-23,32.65,34.40,32.34,34.35,7213500,34.35
2011-08-22,33.31,33.51,32.24,32.37,7756900,32.37
2011-08-19,32.87,34.05,32.45,32.50,8365500,32.50
2011-08-18,35.04,35.17,33.32,33.64,11694500,33.64
2011-08-17,37.01,37.60,35.90,36.26,7795500,36.26
2011-08-16,38.18,38.49,36.51,37.03,8260700,37.03
2011-08-15,38.19,38.57,37.60,38.20,7477700,38.20
2011-08-12,38.96,39.11,37.58,38.09,7385000,38.09
2011-08-11,36.71,38.87,36.37,38.30,10963100,38.30
2011-08-10,37.14,38.24,35.83,36.51,12638700,36.51
2011-08-09,36.75,37.96,35.46,37.93,10732900,37.93
2011-08-08,37.47,38.53,35.38,36.06,12421900,36.06
2011-08-05,40.36,40.90,37.79,39.32,13574900,39.32
2011-08-04,41.99,42.42,39.62,39.63,10138200,39.63
2011-08-03,40.97,42.68,40.06,42.54,10368200,42.54
2011-08-02,41.60,42.15,40.62,40.67,7258200,40.67
2011-08-01,43.14,43.55,41.50,42.11,7222700,42.11
2011-07-29,41.69,43.85,41.59,42.53,7953800,42.53
2011-07-28,42.25,42.88,41.70,42.26,6570200,42.26
2011-07-27,43.50,43.53,41.98,42.00,8972100,42.00
2011-07-26,43.91,44.64,43.73,43.85,7146400,43.85
2011-07-25,45.12,45.25,43.76,43.88,8959000,43.88
2011-07-22,43.99,46.47,43.91,45.57,17540000,45.57
2011-07-21,41.14,41.88,40.44,41.57,10873300,41.57
2011-07-20,42.29,42.37,41.18,41.47,6809400,41.47
2011-07-19,40.89,42.25,40.89,41.98,6010800,41.98
2011-07-18,41.21,41.43,39.90,40.50,5915100,40.50
2011-07-15,41.50,41.76,40.84,41.62,5087000,41.62
2011-07-14,42.08,42.75,41.00,41.16,5670000,41.16
2011-07-13,41.53,42.73,41.17,41.88,6345000,41.88
2011-07-12,41.60,41.73,40.52,41.18,5595600,41.18
2011-07-11,42.55,42.80,41.30,41.77,5791800,41.77
2011-07-08,42.96,43.44,42.71,43.04,4192400,43.04
2011-07-07,43.45,43.92,43.01,43.62,5030300,43.62
2011-07-06,43.25,43.50,42.45,43.01,5450100,43.01
2011-07-05,43.60,43.99,43.22,43.45,6817600,43.45
2011-07-01,41.56,42.92,41.51,42.80,5753300,42.80
2011-06-30,40.56,41.65,40.56,41.50,5737100,41.50
2011-06-29,40.85,40.96,40.11,40.49,5416000,40.49
2011-06-28,40.37,40.80,40.00,40.77,7249600,40.77
2011-06-27,39.04,40.73,38.99,40.36,10407500,40.36
2011-06-24,42.53,42.59,38.79,38.94,21064400,38.94
2011-06-23,41.98,43.10,41.57,42.88,6837100,42.88
2011-06-22,42.81,43.15,42.46,42.54,3788500,42.54
2011-06-21,42.03,43.35,41.75,42.86,6379000,42.86
2011-06-20,40.71,41.97,40.69,41.79,6657600,41.79
2011-06-17,42.87,42.93,40.68,40.94,8513800,40.94
2011-06-16,42.25,43.38,41.96,42.24,7307300,42.24
