Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,38.10,43.47,38.10,42.78,12188000,42.78
2011-09-06,33.59,40.45,33.39,38.73,11301400,38.73
2011-08-29,35.50,37.99,34.63,34.94,7807800,34.94
2011-08-22,33.31,35.68,32.24,34.80,8164500,34.80
2011-08-15,38.19,38.57,32.45,32.50,8718700,32.50
2011-08-08,37.47,39.11,35.38,38.09,10828300,38.09
2011-08-01,43.14,43.55,37.79,39.32,9771700,39.32
2011-07-25,45.12,45.25,41.59,42.53,7920300,42.53
2011-07-18,41.21,46.47,39.90,45.57,9425400,45.57
2011-07-11,42.55,42.80,40.52,41.62,5697800,41.62
2011-07-05,43.60,43.99,42.45,43.04,5372600,43.04
2011-06-27,39.04,42.92,38.99,42.80,6912700,42.80
2011-06-20,40.71,43.35,38.79,38.94,8945300,38.94
2011-06-13,42.56,43.78,40.68,40.94,7070000,40.94
2011-06-06,44.31,44.31,41.60,42.53,5622200,42.53
2011-05-31,46.77,47.62,44.15,44.26,6395700,44.26
2011-05-23,45.32,46.24,44.60,46.04,4224300,46.04
2011-05-16,47.47,49.73,45.44,46.46,8478600,46.46
2011-05-09,47.71,48.65,46.44,46.49,4479600,46.49
2011-05-02,49.79,49.87,46.34,47.15,5423200,47.15
2011-04-25,48.60,51.15,47.64,49.33,6435600,49.33
2011-04-18,46.13,49.62,45.10,48.99,6427600,48.99
2011-04-11,46.87,47.15,45.32,46.78,4394800,46.78
2011-04-04,45.88,48.74,45.71,46.77,6517000,46.77
2011-03-28,45.29,46.65,44.63,45.51,5864400,45.51
2011-03-21,44.42,45.41,42.83,45.01,7060800,45.01
2011-03-14,45.29,46.52,41.10,43.31,11381600,43.31
2011-03-07,47.85,48.33,43.53,45.07,7778400,45.07
2011-02-28,50.64,50.89,47.21,47.69,6397600,47.69
2011-02-22,50.50,50.89,47.02,50.18,8089600,50.18
2011-02-14,51.25,53.30,50.53,51.38,6537800,51.38
2011-02-07,48.26,51.23,47.52,51.01,7298200,51.01
2011-01-31,47.00,49.04,44.83,48.03,11784900,48.03
2011-01-24,50.07,51.83,46.16,46.80,12783300,46.80
2011-01-18,52.64,53.61,49.02,49.97,7380500,49.97
2011-01-10,52.42,53.60,51.02,52.77,5447100,52.77
2011-01-03,50.66,53.41,49.77,52.37,5985500,52.37
2010-12-27,50.43,51.35,49.45,49.86,3062700,49.86
2010-12-20,48.98,52.31,48.64,50.41,6274400,50.41
2010-12-13,50.26,50.97,48.04,48.87,7809600,48.87
2010-12-06,47.79,50.06,46.46,49.60,8666400,49.60
2010-11-29,44.71,48.99,44.32,48.31,9576300,48.31
2010-11-22,41.13,45.60,41.05,44.95,11669200,44.95
2010-11-15,40.04,40.23,37.67,39.98,6796700,39.98
2010-11-08,41.21,41.95,39.17,39.57,8014300,39.57
2010-11-01,37.85,42.44,36.77,41.31,10277300,41.31
2010-10-25,37.21,38.79,36.63,37.63,10007300,37.63
2010-10-18,39.60,40.37,36.77,36.99,17634000,36.99
2010-10-11,39.52,40.78,38.20,39.21,9401700,39.21
2010-10-04,37.00,39.66,35.94,39.52,8713500,39.52
2010-09-27,35.87,38.30,35.30,37.03,10001000,37.03
2010-09-20,38.25,38.36,34.59,35.85,14431900,35.85
2010-09-13,37.65,39.88,37.49,38.12,11085000,38.12
2010-09-07,37.11,38.74,36.27,36.94,10502300,36.94
2010-08-30,34.59,37.54,33.03,36.95,14905400,36.95
2010-08-23,42.00,42.11,33.60,34.19,19848900,34.19
2010-08-16,41.31,44.99,40.77,41.50,12425500,41.50
2010-08-09,45.73,46.60,41.18,41.54,8623600,41.54
2010-08-02,44.50,46.45,44.01,45.14,7594700,45.14
2010-07-26,41.57,44.43,41.45,43.70,10470200,43.70
2010-07-19,41.97,43.67,39.45,41.43,15486100,41.43
2010-07-12,44.16,46.80,41.81,41.93,12218500,41.93
2010-07-06,42.54,44.90,41.01,42.90,10329600,42.90
2010-06-28,46.55,47.43,40.15,41.47,12517400,41.47
2010-06-21,50.18,50.55,44.94,46.10,11718400,46.10
2010-06-14,46.15,50.29,46.11,49.02,14434500,49.02
2010-06-07,45.03,45.83,41.32,44.60,10897200,44.60
2010-06-01,46.05,47.50,44.71,44.88,11122100,44.88
2010-05-24,41.72,47.51,40.06,46.62,13901700,46.62
2010-05-17,41.64,43.72,38.62,41.48,11398800,41.48
2010-05-10,40.18,45.20,40.15,41.90,12761400,41.90
2010-05-03,40.33,44.01,34.00,37.61,17573100,37.61
2010-04-26,44.19,44.89,39.75,39.84,12047900,39.84
2010-04-19,36.79,44.77,35.33,44.61,16532000,44.61
2010-04-12,36.10,39.55,35.88,37.74,10749200,37.74
2010-04-05,35.08,36.24,34.70,36.03,6369000,36.03
2010-03-29,35.06,35.85,34.32,34.71,6198700,34.71
2010-03-22,32.00,36.25,31.82,34.70,9971500,34.70
2010-03-15,33.45,34.28,31.82,32.25,6864100,32.25
2010-03-08,33.50,34.77,33.07,33.80,8062600,33.80
2010-03-01,29.85,33.75,29.85,33.32,12817500,33.32
2010-02-22,29.40,29.60,27.36,29.15,8218500,29.15
2010-02-16,27.29,29.49,27.10,29.13,10337600,29.13
2010-02-08,26.15,27.18,25.62,26.98,9270000,26.98
2010-02-01,25.44,27.17,25.11,26.09,10320600,26.09
2010-01-25,28.95,30.50,24.90,25.42,17543100,25.42
2010-01-19,28.38,30.16,28.25,28.39,11258200,28.39
2010-01-11,31.48,31.48,27.79,27.98,9172200,27.98
2010-01-04,29.70,32.08,29.54,31.13,10174400,31.13
2009-12-28,30.25,31.18,28.31,28.99,12125400,28.99
2009-12-21,25.35,30.14,25.31,30.13,11436100,30.13
2009-12-14,23.10,25.38,23.03,25.08,9980700,25.08
2009-12-07,21.78,23.14,21.68,22.92,4789700,22.92
2009-11-30,19.66,22.28,19.18,21.94,7475400,21.94
2009-11-23,20.49,20.69,19.25,19.66,4445900,19.66
2009-11-16,22.02,22.15,19.81,20.24,6162200,20.24
2009-11-09,21.08,22.00,20.92,21.95,5859800,21.95
2009-11-02,20.75,21.37,19.61,20.82,8266900,20.82
2009-10-26,22.20,24.61,20.41,20.48,14410900,20.48
2009-10-19,21.29,24.25,20.85,22.12,16779200,22.12
2009-10-12,21.14,22.55,20.65,20.98,8504600,20.98
2009-10-05,20.44,21.74,20.05,21.44,6620600,21.44
2009-09-28,21.45,22.50,19.62,20.09,7085800,20.09
2009-09-21,22.75,23.20,21.23,21.25,7477000,21.25
2009-09-14,19.55,22.95,19.38,22.84,9918400,22.84
2009-09-08,17.70,19.76,17.55,19.75,7244800,19.75
2009-08-31,17.73,18.20,16.63,17.46,5106800,17.46
2009-08-24,16.94,18.46,16.87,18.03,5647600,18.03
2009-08-17,16.39,16.99,16.22,16.88,4458400,16.88
2009-08-10,17.62,17.78,16.56,16.88,6000100,16.88
2009-08-03,18.18,18.32,17.55,17.84,4428200,17.84
2009-07-27,17.24,18.39,16.97,17.82,6284000,17.82
2009-07-20,18.28,19.00,16.21,17.09,15983200,17.09
2009-07-13,14.88,18.18,14.51,18.03,9925200,18.03
2009-07-06,14.06,14.65,13.02,14.47,6882900,14.47
2009-06-29,14.82,15.20,14.16,14.19,3901900,14.19
2009-06-22,14.38,14.88,13.37,14.87,5300500,14.87
