Date,Open,High,Low,Close,Volume,Adj Close
2011-11-22,119.4,120.1,118.52,119.19,216494841,119.19
2011-11-21,120.20,120.35,118.65,119.66,229306000,119.66
2011-11-18,122.50,122.75,121.47,121.98,215159100,121.98
2011-11-17,123.85,124.16,121.23,122.11,330323300,122.11
2011-11-16,124.81,126.34,123.90,124.08,235121700,124.08
2011-11-15,125.17,126.75,124.72,126.08,184337200,126.08
2011-11-14,126.19,127.45,124.92,125.46,159082600,125.46
2011-11-11,125.83,126.99,125.79,126.66,189848000,126.66
2011-11-10,124.79,124.94,123.02,124.32,231501700,124.32
2011-11-09,124.89,125.80,122.86,123.16,337440400,123.16
2011-11-08,126.92,128.02,125.71,127.88,224275800,127.88
2011-11-07,125.39,126.39,124.20,126.26,196386100,126.26
2011-11-04,125.23,125.70,124.01,125.48,249169700,125.48
2011-11-03,125.27,126.50,123.60,126.25,286455900,126.25
2011-11-02,123.83,124.40,122.79,123.99,244717600,123.99
2011-11-01,122.03,123.51,121.52,122.00,415376200,122.00
2011-10-31,127.16,128.62,125.32,125.50,227863700,125.50
2011-10-28,128.00,128.85,127.80,128.60,225638800,128.60
2011-10-27,127.63,129.42,124.32,128.63,389788900,128.63
2011-10-26,124.35,124.77,122.21,124.30,288818700,124.30
2011-10-25,124.89,124.95,122.78,123.05,268433100,123.05
2011-10-24,124.17,125.80,124.06,125.49,202862400,125.49
2011-10-21,123.09,124.12,122.72,123.97,278872100,123.97
2011-10-20,121.43,122.10,119.82,121.66,261937700,121.66
2011-10-19,122.38,123.08,120.71,121.13,226543400,121.13
2011-10-18,120.14,123.50,119.20,122.58,318673000,122.58
2011-10-17,121.99,122.55,119.93,120.23,202017000,120.23
2011-10-14,121.91,122.60,121.23,122.57,211280000,122.57
2011-10-13,120.04,120.87,119.12,120.51,212159600,120.51
2011-10-12,120.60,122.14,120.33,120.75,281386000,120.75
2011-10-11,118.87,120.04,118.75,119.70,208935800,119.70
2011-10-10,117.68,119.63,117.67,119.58,230289600,119.58
2011-10-07,117.17,117.25,115.06,115.71,312377500,115.71
