Date,Open,High,Low,Close,Volume,Adj Close
2011-11-21,120.20,120.35,118.52,119.19,222710400,119.19
2011-11-14,126.19,127.45,121.23,121.98,224804700,121.98
2011-11-07,125.39,128.02,122.86,126.66,235890400,126.66
2011-10-31,127.16,128.62,121.52,125.48,284716600,125.48
2011-10-24,124.17,129.42,122.21,128.60,275108300,128.60
2011-10-17,121.99,124.12,119.20,123.97,257608600,123.97
2011-10-10,117.68,122.60,117.67,122.57,228810200,122.57
2011-10-03,112.49,117.25,107.43,115.71,335412200,115.71
2011-09-26,114.61,119.56,112.98,113.15,288926600,113.15
2011-09-19,119.53,121.99,111.30,113.54,319557100,113.54
2011-09-12,114.47,121.97,114.05,121.52,301800600,121.52
2011-09-06,114.39,120.94,114.38,115.92,281424200,115.32
2011-08-29,119.56,123.51,117.43,117.85,248844800,117.24
2011-08-22,115.17,119.40,112.41,117.97,295991600,117.36
2011-08-15,119.19,121.20,112.50,112.64,346468900,112.06
2011-08-08,116.91,120.12,110.27,118.12,576882200,117.51
2011-08-01,130.84,130.96,116.86,120.08,443923300,119.46
2011-07-25,133.30,134.49,127.97,129.33,206386000,128.66
2011-07-18,131.08,134.82,129.63,134.58,174367600,133.89
2011-07-11,132.75,133.22,130.68,131.69,212156300,131.01
2011-07-05,133.78,135.70,133.11,134.40,168475800,133.71
2011-06-27,126.89,134.10,126.64,133.92,200927700,133.23
2011-06-20,126.62,129.81,126.19,126.81,217951000,126.16
2011-06-13,127.89,129.77,126.32,127.05,242089100,126.40
2011-06-06,130.09,130.36,127.26,127.60,187980300,126.32
2011-05-31,134.77,134.92,130.08,130.42,208245600,129.11
2011-05-23,131.98,133.87,131.38,133.51,150544300,132.17
2011-05-16,133.56,135.03,132.12,133.61,154332700,132.27
2011-05-09,134.19,136.11,133.39,134.04,150294200,132.69
2011-05-02,137.07,137.18,133.02,134.20,179403800,132.85
2011-04-25,133.68,136.57,133.20,136.43,119054600,135.06
2011-04-18,130.59,133.84,129.51,133.78,156771800,132.43
2011-04-11,133.00,133.45,130.27,132.04,155171700,130.71
2011-04-04,133.43,134.00,132.31,132.86,132164800,131.52
2011-03-28,131.58,133.77,130.44,133.15,132356600,131.81
2011-03-21,129.35,131.87,128.32,131.30,149381300,129.98
2011-03-14,129.99,130.48,125.28,127.76,309593700,126.48
2011-03-07,132.86,133.16,129.49,130.84,214425000,128.96
2011-02-28,132.82,133.69,130.35,132.47,210822100,130.57
2011-02-22,133.12,134.56,129.70,132.33,215704600,130.43
2011-02-14,133.03,134.69,132.32,134.53,118252500,132.60
2011-02-07,131.44,133.28,131.30,133.11,131673400,131.20
2011-01-31,128.07,131.20,127.75,131.15,143011300,129.27
2011-01-24,128.29,130.35,127.51,127.72,168297800,125.89
2011-01-18,129.18,129.64,127.13,128.37,148392000,126.53
2011-01-10,126.58,129.33,126.20,129.30,117468800,127.45
2011-01-03,126.71,127.83,125.70,127.14,137732700,125.32
2010-12-27,125.13,126.20,125.04,125.75,67860800,123.95
2010-12-20,124.64,125.82,123.98,125.60,90745700,123.80
2010-12-13,125.05,125.23,123.75,124.30,153599100,122.52
2010-12-06,122.63,124.60,122.41,124.48,137785500,122.05
2010-11-29,118.50,123.03,117.74,122.89,204222500,120.49
2010-11-22,119.69,120.24,117.99,118.80,154923400,116.48
2010-11-15,120.58,121.05,117.59,120.29,198078500,117.95
2010-11-08,122.34,122.95,119.65,120.20,192240500,117.86
2010-11-01,119.07,122.92,117.85,122.72,190963400,120.33
2010-10-25,119.14,119.76,117.26,118.49,162606800,116.18
2010-10-18,117.74,119.09,116.02,118.35,190331800,116.04
2010-10-11,116.72,118.55,115.65,117.70,188224900,115.41
2010-10-04,114.37,116.86,113.18,116.54,177406800,114.27
2010-09-27,114.86,115.79,113.18,114.61,195876100,112.38
2010-09-20,112.88,114.90,112.18,114.82,217258500,112.58
2010-09-13,112.58,113.29,111.98,112.49,190547000,110.30
2010-09-07,110.37,111.68,109.55,111.48,141683700,108.72
2010-08-30,106.58,110.99,104.49,110.89,213261800,108.15
2010-08-23,108.04,108.57,104.29,106.86,242698200,104.22
2010-08-16,107.57,110.39,106.75,107.53,195729900,104.87
2010-08-09,112.92,113.18,107.60,108.31,207072900,105.63
2010-08-02,111.99,113.11,110.92,112.39,174658800,109.61
