Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,120.12,120.57,116.26,117.07,14349800,117.07
2011-09-19,114.20,123.87,114.05,120.83,15659200,120.83
2011-09-12,113.57,114.25,111.25,112.24,9554100,112.24
2011-09-06,114.42,114.93,111.31,113.71,12128500,113.71
2011-08-29,106.70,112.58,106.08,112.51,11140500,112.51
2011-08-22,110.46,111.26,106.15,108.49,13173500,108.16
2011-08-15,104.94,112.14,104.47,111.20,16986900,110.87
2011-08-08,103.18,109.37,102.95,105.57,35548500,105.25
2011-08-01,97.39,105.55,97.35,102.32,26426500,102.01
2011-07-25,94.97,98.53,94.83,97.92,11288000,97.30
2011-07-18,96.06,97.27,94.90,96.05,9840500,95.44
2011-07-11,96.04,97.90,95.24,96.17,10102900,95.56
2011-07-05,94.04,95.61,93.55,95.37,7305300,94.77
2011-06-27,96.85,96.87,93.14,93.63,10248600,93.04
2011-06-20,97.33,97.74,96.27,96.98,7312000,96.04
2011-06-13,96.65,97.53,95.13,96.90,9555100,95.96
2011-06-06,95.47,97.39,95.12,97.14,8250300,96.20
2011-05-31,96.18,97.72,95.57,96.33,11533200,95.40
2011-05-23,95.73,96.55,95.46,96.47,6242400,95.19
2011-05-16,95.03,96.60,94.46,95.32,7448500,94.05
2011-05-09,94.90,95.49,93.91,95.08,6332800,93.82
2011-05-02,93.32,95.63,93.17,95.07,7645900,93.81
2011-04-25,92.63,93.92,92.50,93.89,6802500,92.25
2011-04-18,91.99,93.28,91.45,92.60,6862800,90.98
2011-04-11,89.83,92.71,89.65,92.67,7842400,91.05
2011-04-04,92.20,92.58,89.85,89.88,8076400,88.31
2011-03-28,92.12,92.72,91.42,92.19,6609400,90.58
2011-03-21,93.13,93.88,92.02,92.17,8346000,90.18
2011-03-14,91.48,94.94,91.32,93.46,12748500,91.44
2011-03-07,90.02,92.10,89.65,91.55,9343800,89.57
2011-02-28,92.30,92.52,89.98,90.81,9236200,88.85
2011-02-22,89.91,92.28,89.71,92.28,11345200,89.99
2011-02-14,89.31,90.32,89.08,89.49,7318200,87.27
2011-02-07,88.70,89.66,88.14,89.46,10781500,87.24
2011-01-31,91.66,91.98,88.77,88.81,12747700,86.61
2011-01-24,91.87,92.90,90.67,91.92,11464600,89.33
2011-01-18,91.29,92.07,90.39,91.52,10709800,88.94
2011-01-10,92.58,92.99,91.45,91.84,10155300,89.25
2011-01-03,93.20,94.31,91.03,92.35,12769200,89.75
2010-12-27,92.76,94.70,91.31,94.12,9583800,91.47
2010-12-20,93.75,94.23,92.49,92.93,9055300,90.00
2010-12-13,93.05,94.03,90.47,93.24,19357800,90.30
2010-12-06,95.52,96.25,92.11,93.15,13873200,90.22
2010-11-29,97.56,99.27,94.85,94.89,11170400,91.90
2010-11-22,97.37,97.95,95.58,97.07,9074200,93.69
2010-11-15,95.33,96.76,93.81,96.59,13115900,93.22
2010-11-08,98.59,98.92,95.00,95.81,11100900,92.47
2010-11-01,100.80,102.27,97.98,97.98,12736300,94.57
2010-10-25,102.12,102.29,99.16,100.42,7623100,96.61
2010-10-18,101.20,102.28,100.41,101.38,6146400,97.54
2010-10-11,104.11,104.76,99.89,100.27,7880900,96.47
2010-10-04,104.62,106.10,103.93,104.22,6260000,100.27
2010-09-27,104.53,106.32,103.98,104.61,8163600,100.64
2010-09-20,102.15,105.46,101.69,103.50,8505100,99.21
2010-09-13,101.80,103.82,100.85,101.67,9454300,97.45
2010-09-07,105.09,105.78,101.85,102.32,7054000,98.07
2010-08-30,106.21,108.65,102.70,103.58,8758200,99.28
2010-08-23,105.65,109.34,105.20,105.35,10005100,100.68
2010-08-16,104.21,106.83,104.00,106.04,8524600,101.34
2010-08-09,99.74,102.45,99.47,102.29,7208300,97.76
2010-08-02,99.24,100.21,98.56,100.10,4739900,95.66
2010-07-26,99.63,100.61,97.92,100.48,5936000,95.72
2010-07-19,100.56,102.28,99.69,99.78,5859000,95.05
2010-07-12,99.33,101.13,98.18,100.80,5966000,96.02
2010-07-06,100.83,101.75,99.18,99.22,5723700,94.52
2010-06-28,99.60,102.66,99.42,100.79,7833300,96.01
2010-06-21,96.46,99.59,96.41,99.05,6374100,94.07
