Date,Open,High,Low,Close,Volume,Adj Close
2011-09-09,25.49,26.49,25.49,26.08,23446037,26.08
2011-09-08,25.68,26.41,25.65,25.80,13739700,25.80
2011-09-07,25.46,25.99,25.46,25.89,12871000,25.89
2011-09-06,24.35,24.96,24.34,24.91,11354200,24.91
2011-09-02,25.19,25.35,25.01,25.08,8404900,25.08
2011-09-01,26.23,26.33,25.55,25.57,15109700,25.57
2011-08-31,26.31,26.61,26.01,26.21,9876300,26.21
2011-08-30,26.10,26.33,25.73,26.20,7300000,26.20
2011-08-29,25.78,26.17,25.69,26.16,9048600,26.16
2011-08-26,25.17,25.73,24.69,25.52,15462500,25.52
2011-08-25,26.08,26.16,25.28,25.31,12546000,25.31
2011-08-24,26.23,26.30,25.78,26.11,11949500,26.11
2011-08-23,25.31,26.24,25.00,26.24,13844400,26.24
2011-08-22,25.30,25.56,25.07,25.16,9588100,25.16
2011-08-19,25.16,25.80,24.79,24.82,14538600,24.82
2011-08-18,26.05,26.22,25.19,25.39,18962600,25.39
2011-08-17,26.70,27.50,26.56,26.93,9162100,26.93
2011-08-16,27.17,27.27,26.69,26.93,10995500,26.93
2011-08-15,27.34,27.58,27.19,27.49,7839100,27.49
2011-08-12,27.78,27.80,27.07,27.18,11555500,27.18
2011-08-11,26.61,27.61,26.39,27.30,20370500,27.30
2011-08-10,26.54,27.19,25.98,26.50,28457800,26.50
2011-08-09,26.52,27.14,25.46,27.09,23017700,27.09
2011-08-08,26.36,26.98,25.96,26.19,25663400,26.19
2011-08-05,28.16,28.39,26.49,27.19,31502600,27.19
2011-08-04,28.82,29.09,27.92,27.92,17343200,27.92
2011-08-03,28.95,29.42,28.62,29.30,13077500,29.30
2011-08-02,29.43,29.77,29.10,29.10,13498600,29.10
2011-08-01,29.98,30.14,29.37,29.89,13751200,29.89
2011-07-29,29.82,30.17,29.68,29.75,13036900,29.75
2011-07-28,30.34,30.70,30.11,30.12,9898800,30.12
2011-07-27,31.19,31.19,30.25,30.39,13121000,30.26
2011-07-26,31.50,32.02,31.47,31.57,11919400,31.43
2011-07-25,31.34,31.68,31.27,31.47,11566300,31.34
2011-07-22,31.30,31.94,31.27,31.78,9893200,31.64
2011-07-21,31.29,31.80,30.76,31.61,11624400,31.47
2011-07-20,31.61,31.62,31.05,31.22,8028600,31.09
2011-07-19,30.89,31.51,30.80,31.42,11095800,31.29
2011-07-18,30.73,30.87,30.17,30.48,9592800,30.35
2011-07-15,30.92,30.97,30.44,30.82,9349800,30.69
2011-07-14,31.16,31.49,30.62,30.72,11017200,30.59
2011-07-13,31.50,31.59,30.84,31.00,12708900,30.87
2011-07-12,31.33,31.80,30.61,31.25,26187100,31.12
2011-07-11,32.55,33.00,32.32,32.44,7093600,32.30
2011-07-08,33.01,33.27,32.46,32.88,8422200,32.74
2011-07-07,33.07,33.60,32.93,33.46,10338100,33.32
2011-07-06,32.81,33.19,32.64,32.85,8892100,32.71
2011-07-05,33.40,33.50,32.81,32.92,9269800,32.78
2011-07-01,32.99,33.66,32.71,33.52,9562700,33.38
2011-06-30,31.95,32.88,31.95,32.83,11609100,32.69
2011-06-29,32.01,32.10,31.57,31.88,9302900,31.74
2011-06-28,31.82,31.99,31.57,31.98,9212900,31.84
2011-06-27,31.64,31.91,31.21,31.74,10247100,31.60
2011-06-24,32.09,32.11,31.44,31.53,13362400,31.40
2011-06-23,31.39,32.18,31.26,32.12,12057200,31.98
2011-06-22,31.94,32.11,31.74,31.74,7014800,31.60
2011-06-21,31.36,32.12,31.20,32.03,7883600,31.89
2011-06-20,31.11,31.40,31.10,31.28,9324900,31.15
2011-06-17,31.58,31.65,30.96,31.24,10739100,31.11
2011-06-16,31.62,31.72,31.16,31.32,9336700,31.19
2011-06-15,31.83,32.20,31.50,31.59,11576500,31.45
2011-06-14,32.08,32.52,32.04,32.33,8279100,32.19
2011-06-13,31.74,32.40,31.68,31.74,10271100,31.60
2011-06-10,32.69,32.81,31.94,32.15,9875600,32.01
2011-06-09,32.77,33.27,32.41,32.91,13681200,32.77
2011-06-08,33.16,33.17,32.58,32.67,13622300,32.53
2011-06-07,33.44,33.68,33.20,33.27,8540200,33.13
2011-06-06,33.51,33.67,33.28,33.32,7807300,33.18
2011-06-03,33.79,34.08,33.47,33.50,7389700,33.36
2011-06-02,34.01,34.37,33.90,34.24,7588700,34.09
2011-06-01,35.12,35.16,33.94,33.95,8774200,33.80
2011-05-31,34.81,35.30,34.81,35.30,8640100,35.15
2011-05-27,34.44,34.76,34.44,34.72,5142900,34.57
2011-05-26,34.19,34.36,34.00,34.32,7301400,34.17
2011-05-25,34.28,34.51,33.90,34.28,6798600,34.13
2011-05-24,34.33,34.34,33.87,34.08,8304600,33.93
2011-05-23,34.60,34.60,34.25,34.25,8218300,34.10
2011-05-20,34.89,35.19,34.69,35.00,7365200,34.85
2011-05-19,35.20,35.21,34.58,34.97,6899500,34.82
2011-05-18,34.50,35.27,34.50,35.18,8255100,35.03
2011-05-17,34.83,34.83,33.92,34.44,10541300,34.29
2011-05-16,35.16,35.53,34.84,34.91,6690100,34.76
2011-05-13,35.29,35.57,35.15,35.18,8390400,35.03
2011-05-12,34.82,35.44,34.63,35.33,7941500,35.18
2011-05-11,35.44,35.59,34.76,34.90,7755300,34.75
2011-05-10,35.49,35.63,35.24,35.46,6327000,35.31
2011-05-09,35.19,35.60,35.15,35.34,7274500,35.19
2011-05-06,35.41,35.62,35.15,35.23,8870100,35.08
2011-05-05,34.71,35.56,34.59,35.02,9879900,34.87
2011-05-04,34.78,35.04,34.47,34.82,8118100,34.67
2011-05-03,35.02,35.08,34.51,34.80,8558900,34.65
2011-05-02,35.61,35.66,34.94,35.01,10262200,34.86
2011-04-29,35.48,35.79,35.42,35.53,5916400,35.38
2011-04-28,35.75,35.85,35.39,35.55,10224400,35.40
2011-04-27,35.45,35.98,35.33,35.90,10311600,35.62
2011-04-26,35.33,35.78,35.20,35.74,13900000,35.46
2011-04-25,35.52,35.61,35.26,35.42,5778000,35.14
2011-04-21,35.25,35.67,35.23,35.52,11094100,35.24
2011-04-20,34.95,35.28,34.77,35.13,12237100,34.85
2011-04-19,34.42,34.92,34.20,34.54,18789800,34.27
2011-04-18,34.67,35.07,34.54,34.79,17041000,34.52
2011-04-15,34.67,35.04,34.49,34.99,12136500,34.71
2011-04-14,34.15,34.80,33.96,34.71,9662400,34.44
2011-04-13,34.22,34.37,33.88,34.34,11376800,34.07
2011-04-12,34.70,34.72,33.93,34.14,18326800,33.87
2011-04-11,35.12,35.36,34.81,34.93,9890800,34.65
2011-04-08,35.28,35.43,34.99,35.17,9394900,34.89
2011-04-07,34.86,35.25,34.56,35.24,13601600,34.96
2011-04-06,34.79,34.91,34.33,34.86,11919300,34.59
2011-04-05,33.20,35.08,33.11,34.69,29932700,34.42
2011-04-04,34.34,34.47,33.63,34.11,10518900,33.84
2011-04-01,34.93,34.93,34.12,34.23,8913400,33.96
2011-03-31,34.72,34.86,34.38,34.56,6210400,34.29
2011-03-30,35.09,35.24,34.43,34.74,9258200,34.47
2011-03-29,34.17,34.96,34.01,34.96,6827800,34.68
2011-03-28,34.61,34.95,34.41,34.49,6139600,34.22
2011-03-25,34.76,34.94,34.62,34.64,4980200,34.37
2011-03-24,34.45,34.94,34.23,34.86,9211000,34.59
2011-03-23,33.70,34.27,33.48,34.21,8396900,33.94
2011-03-22,33.78,33.94,33.45,33.64,5988400,33.37
2011-03-21,33.52,34.12,33.41,33.68,7150200,33.41
2011-03-18,33.44,33.59,33.10,33.36,10883300,33.10
2011-03-17,33.13,33.49,32.86,33.07,12766300,32.81
2011-03-16,33.79,33.80,32.33,32.79,23147200,32.53
2011-03-15,33.40,34.12,32.75,33.90,17387700,33.63
2011-03-14,34.40,34.74,34.28,34.56,10121300,34.29
2011-03-11,34.07,34.94,34.02,34.39,13817500,34.12
2011-03-10,34.35,34.69,34.03,34.25,13036000,33.98
2011-03-09,35.30,35.44,34.43,34.74,12583300,34.47
2011-03-08,35.65,35.99,35.25,35.86,8853200,35.58
2011-03-07,36.40,36.59,35.16,35.48,15939500,35.20
2011-03-04,36.53,36.54,36.02,36.27,10161000,35.98
2011-03-03,36.27,36.71,36.12,36.56,12224500,36.27
2011-03-02,35.36,36.55,35.31,36.14,17687100,35.86
2011-03-01,35.81,35.88,34.94,35.00,11102500,34.72
2011-02-28,35.80,35.92,35.08,35.61,13051500,35.33
2011-02-25,35.57,35.80,35.40,35.62,9369200,35.34
2011-02-24,35.49,35.81,34.93,35.43,11297100,35.15
2011-02-23,35.81,35.81,34.89,35.40,10972000,35.12
2011-02-22,35.79,36.23,35.50,35.75,11659200,35.47
2011-02-18,36.41,36.55,36.15,36.23,8413700,35.94
2011-02-17,35.99,36.48,35.90,36.48,7274200,36.19
2011-02-16,36.05,36.30,35.85,36.05,10480600,35.77
2011-02-15,35.71,36.07,35.43,35.97,9430000,35.69
2011-02-14,35.57,35.96,35.47,35.83,6127800,35.55
2011-02-11,35.17,35.80,35.04,35.62,7664900,35.34
2011-02-10,34.90,35.24,34.75,35.19,8146700,34.91
2011-02-09,35.08,35.27,34.96,35.10,7180900,34.82
2011-02-08,35.33,35.43,35.05,35.28,7368100,35.00
2011-02-07,35.51,35.84,35.13,35.26,11631600,34.98
2011-02-04,35.15,35.54,35.10,35.44,7638900,35.16
2011-02-03,35.08,35.21,34.70,34.99,5733900,34.71
2011-02-02,34.80,35.29,34.80,35.12,8260800,34.84
2011-02-01,34.19,35.00,34.13,35.00,11582700,34.72
2011-01-31,34.02,34.27,33.79,33.91,10917600,33.64
2011-01-28,34.58,34.87,34.02,34.27,10601600,34.00
2011-01-27,34.10,34.84,34.05,34.63,8342800,34.36
2011-01-26,34.09,34.41,33.67,34.32,7400100,33.92
2011-01-25,34.30,34.80,33.69,33.98,13185000,33.58
2011-01-24,34.08,34.65,33.87,34.65,10857200,34.25
2011-01-21,34.40,34.49,33.91,33.91,9172000,33.52
2011-01-20,34.03,34.19,33.55,33.91,8664800,33.52
2011-01-19,34.28,34.70,34.07,34.16,8340800,33.76
2011-01-18,33.96,34.86,33.96,34.85,12052600,34.44
2011-01-14,33.57,34.05,33.43,34.04,9007000,33.64
