Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,24.35,26.49,24.34,26.08,15352700,26.08
2011-08-29,25.78,26.61,25.01,25.08,9947900,25.08
2011-08-22,25.30,26.30,24.69,25.52,12678100,25.52
2011-08-15,27.34,27.58,24.79,24.82,12299500,24.82
2011-08-08,26.36,27.80,25.46,27.18,21812900,27.18
2011-08-01,29.98,30.14,26.49,27.19,17834600,27.19
2011-07-25,31.34,32.02,29.68,29.75,11908400,29.75
2011-07-18,30.73,31.94,30.17,31.78,10046900,31.64
2011-07-11,32.55,33.00,30.44,30.82,13271300,30.69
2011-07-05,33.40,33.60,32.46,32.88,9230500,32.74
2011-06-27,31.64,33.66,31.21,33.52,9986900,33.38
2011-06-20,31.11,32.18,31.10,31.53,9928500,31.40
2011-06-13,31.74,32.52,30.96,31.24,10040500,31.11
2011-06-06,33.51,33.68,31.94,32.15,10705300,32.01
2011-05-31,34.81,35.30,33.47,33.50,8098100,33.36
2011-05-23,34.60,34.76,33.87,34.72,7153100,34.57
2011-05-16,35.16,35.53,33.92,35.00,7950200,34.85
2011-05-09,35.19,35.63,34.63,35.18,7537700,35.03
2011-05-02,35.61,35.66,34.47,35.23,9137800,35.08
2011-04-25,35.52,35.98,35.20,35.53,9226000,35.38
2011-04-18,34.67,35.67,34.20,35.52,14790500,35.24
2011-04-11,35.12,35.36,33.88,34.99,12278600,34.71
2011-04-04,34.34,35.43,33.11,35.17,15073400,34.89
2011-03-28,34.61,35.24,34.01,34.23,7469800,33.96
2011-03-21,33.52,34.94,33.41,34.64,7145300,34.37
2011-03-14,34.40,34.74,32.33,33.36,14861100,33.10
2011-03-07,36.40,36.59,34.02,34.39,12845900,34.12
2011-02-28,35.80,36.71,34.94,36.27,12845300,35.98
2011-02-22,35.79,36.23,34.89,35.62,10824300,35.34
2011-02-14,35.57,36.55,35.43,36.23,8345200,35.94
2011-02-07,35.51,35.84,34.75,35.62,8398400,35.34
2011-01-31,34.02,35.54,33.79,35.44,8826700,35.16
2011-01-24,34.08,34.87,33.67,34.27,10077300,34.00
2011-01-18,33.96,34.86,33.55,33.91,9557500,33.52
2011-01-10,32.99,34.05,32.94,34.04,7215600,33.64
2011-01-03,32.69,33.47,32.25,33.22,7566700,32.83
2010-12-27,32.22,32.63,32.00,32.50,3367700,32.12
2010-12-20,32.65,32.69,32.13,32.36,5242500,31.98
2010-12-13,32.91,33.00,32.15,32.53,10744500,32.15
2010-12-06,32.93,33.93,32.62,32.80,14473600,32.42
2010-11-29,31.83,32.98,31.64,32.82,12376500,32.44
2010-11-22,31.85,32.56,31.72,32.20,9710000,31.83
2010-11-15,30.97,31.95,30.34,31.94,11683400,31.57
2010-11-08,31.26,31.59,29.90,30.95,13802000,30.59
2010-11-01,29.77,31.47,29.16,31.47,13754800,31.10
2010-10-25,28.90,29.75,28.30,29.57,16049400,29.23
2010-10-18,28.64,28.71,27.53,28.66,11772200,28.20
2010-10-11,28.76,28.98,27.93,28.72,14635600,28.26
2010-10-04,27.20,28.86,27.01,28.73,17911600,28.27
2010-09-27,26.85,27.61,26.44,27.25,13076600,26.81
2010-09-20,25.70,26.94,25.12,26.93,14157900,26.50
2010-09-13,24.01,25.85,23.98,25.72,15234400,25.31
2010-09-07,24.07,24.16,23.26,23.70,13561500,23.32
2010-08-30,23.77,24.49,22.95,24.33,14584500,23.94
2010-08-23,24.76,24.86,23.34,24.15,15132100,23.76
2010-08-16,24.18,25.14,24.03,24.70,10601900,24.30
2010-08-09,25.55,25.85,24.22,24.28,13010400,23.89
2010-08-02,24.65,25.60,24.41,25.46,10881200,25.05
2010-07-26,25.28,25.92,24.25,24.69,12004000,24.29
2010-07-19,24.87,25.58,24.01,25.38,17967800,24.86
2010-07-12,24.36,25.80,24.36,24.77,13750000,24.26
2010-07-06,23.37,24.51,22.94,24.48,12173000,23.98
2010-06-28,24.16,24.50,22.65,23.11,15266900,22.63
2010-06-21,25.76,25.85,23.86,24.04,15070100,23.54
2010-06-14,24.74,25.76,24.51,25.45,14748900,24.93
2010-06-07,24.32,24.59,23.09,24.45,17426100,23.95
2010-06-01,24.28,25.18,24.07,24.18,13659700,23.68
2010-05-24,24.45,24.90,23.45,24.42,16191500,23.92
2010-05-17,24.95,25.66,23.60,24.57,20946700,24.06
2010-05-10,25.68,26.15,24.50,24.88,15569600,24.37
2010-05-03,26.23,26.72,23.49,24.74,21882300,24.23
2010-04-26,26.86,27.44,26.01,26.01,21821500,25.47
2010-04-19,26.47,26.90,25.40,26.67,13348200,26.00
2010-04-12,25.26,27.00,25.24,26.58,15368200,25.91
2010-04-05,24.73,25.50,24.62,24.94,13527700,24.32
2010-03-29,24.86,25.07,24.38,24.63,9812100,24.01
2010-03-22,24.22,25.48,24.17,24.75,13385500,24.13
2010-03-15,23.91,25.00,23.70,24.36,13480100,23.75
2010-03-08,25.09,25.09,23.80,24.00,20452900,23.40
2010-03-01,24.53,25.09,24.16,24.97,13735500,24.34
2010-02-22,25.02,25.15,24.01,24.38,13937400,23.77
2010-02-16,24.13,25.06,24.13,25.01,17871100,24.38
2010-02-08,23.00,24.27,22.70,24.03,16805200,23.43
2010-02-01,22.56,23.37,22.40,22.97,15140900,22.39
2010-01-25,23.41,23.90,22.28,22.50,20541900,21.94
2010-01-19,24.45,24.88,23.00,23.11,16312800,22.42
2010-01-11,26.34,26.49,24.20,24.50,18983800,23.76
2010-01-04,26.20,26.61,25.36,26.34,10779500,25.55
2009-12-28,25.78,26.27,25.28,26.06,7619200,25.28
2009-12-21,25.71,26.01,25.27,25.83,6786100,25.05
2009-12-14,25.76,26.08,25.06,25.46,11683300,24.70
2009-12-07,26.71,27.00,25.12,25.64,16715400,24.87
2009-11-30,25.35,27.00,25.03,26.85,15958200,26.04
2009-11-23,24.93,25.54,24.56,25.25,8965500,24.49
2009-11-16,25.57,26.08,24.45,24.74,13393500,24.00
2009-11-09,24.15,25.85,24.03,25.44,13674200,24.68
2009-11-02,23.38,24.48,23.01,24.04,15012400,23.32
2009-10-26,23.38,24.56,23.31,23.45,23948100,22.75
2009-10-19,23.00,24.11,22.85,23.50,30073000,22.68
2009-10-12,23.71,24.31,22.54,22.75,19196700,21.96
2009-10-05,22.59,23.65,22.26,23.64,18411200,22.81
2009-09-28,23.50,24.37,22.26,22.49,17605000,21.70
2009-09-21,23.96,24.55,23.15,23.35,14280200,22.53
2009-09-14,24.24,25.00,23.60,24.06,15915700,23.22
2009-09-08,24.87,25.35,24.30,24.39,17007600,23.54
2009-08-31,24.82,25.15,24.01,24.86,11235900,23.99
2009-08-24,24.63,25.33,24.06,24.97,10159000,24.10
2009-08-17,23.50,24.59,23.27,24.54,9406200,23.68
2009-08-10,23.97,24.56,23.44,23.96,11803100,23.12
2009-08-03,24.32,24.75,23.99,24.10,12915700,23.26
2009-07-27,24.08,24.82,23.62,24.05,18675500,23.21
2009-07-20,23.19,24.13,22.51,24.09,23328800,23.14
2009-07-13,20.57,23.06,20.18,23.01,17311100,22.11
2009-07-06,21.24,21.73,20.11,20.45,16004800,19.65
2009-06-29,21.37,21.90,20.20,21.30,14583100,20.46
2009-06-22,21.43,21.85,20.51,21.45,19975400,20.61
2009-06-15,20.70,21.74,20.55,21.66,22748900,20.81
2009-06-08,19.72,21.30,19.43,20.79,22993600,19.97
2009-06-01,19.51,20.55,19.50,19.68,18283200,18.91
2009-05-26,18.35,19.50,18.22,19.40,17071500,18.64
2009-05-18,17.78,18.90,17.52,18.50,16173900,17.77
2009-05-11,17.18,17.80,16.57,17.63,17931100,16.94
2009-05-04,18.06,18.66,16.83,17.30,19663400,16.62
2009-04-27,17.63,18.57,16.96,17.95,15728400,17.24
2009-04-20,17.74,18.27,16.61,17.88,27752100,17.07
2009-04-13,17.14,18.12,16.57,17.97,16905300,17.16
2009-04-06,16.77,17.38,16.10,17.24,16732100,16.46
2009-03-30,16.75,16.98,16.00,16.96,19550100,16.19
2009-03-23,16.30,17.63,15.90,17.12,15671900,16.34
2009-03-16,16.30,17.17,15.57,15.78,17205700,15.06
2009-03-09,14.56,16.30,14.54,16.21,19512900,15.47
2009-03-02,14.10,15.32,13.70,14.71,24071300,14.04
2009-02-23,15.21,15.90,14.17,14.35,19942500,13.70
2009-02-17,16.40,16.50,14.50,15.04,20929500,14.36
2009-02-09,17.35,17.51,15.74,16.95,22252800,16.18
2009-02-02,14.82,17.54,14.66,17.38,22606500,16.59
2009-01-26,14.76,15.88,14.45,14.95,19380600,14.27
2009-01-20,14.88,15.32,13.92,14.99,18548300,14.21
2009-01-12,14.82,15.19,13.90,15.02,16338800,14.24
2009-01-05,15.90,16.70,14.63,14.96,13024100,14.18
2009-01-02,15.50,16.17,15.40,16.04,15194500,15.20
