Date,Open,High,Low,Close,Volume,Adj Close
2011-09-16,11.71,11.94,11.63,11.88,17745231,11.88
2011-09-15,11.47,11.59,11.21,11.41,29891400,11.41
2011-09-14,12.46,12.77,12.12,12.68,5938000,12.68
2011-09-13,12.33,12.63,12.22,12.45,5428500,12.45
2011-09-12,11.62,11.94,11.53,11.92,6143000,11.92
2011-09-09,12.14,12.28,11.78,11.87,5310700,11.87
2011-09-08,12.71,12.95,12.62,12.64,4259400,12.64
2011-09-07,12.63,12.93,12.53,12.88,4409300,12.88
2011-09-06,12.16,12.39,12.05,12.34,6565300,12.34
2011-09-02,14.21,14.24,13.73,13.80,4570500,13.80
2011-09-01,14.51,14.75,14.32,14.35,4470800,14.35
2011-08-31,14.49,14.60,14.38,14.48,3535500,14.48
2011-08-30,13.92,14.09,13.75,14.02,2933900,14.02
2011-08-29,13.71,14.00,13.70,13.97,3141600,13.97
2011-08-26,13.54,13.64,13.27,13.45,5723300,13.45
2011-08-25,14.21,14.41,13.73,13.84,5837500,13.84
2011-08-24,13.83,14.19,13.79,14.17,5118100,14.17
2011-08-23,13.53,13.88,13.41,13.88,4836900,13.88
2011-08-22,13.65,13.65,13.17,13.19,4505800,13.19
2011-08-19,13.55,13.86,13.27,13.31,7688000,13.31
2011-08-18,13.77,13.80,13.30,13.41,7556100,13.41
2011-08-17,14.84,14.91,14.51,14.63,3688900,14.63
2011-08-16,14.86,15.05,14.59,14.72,4208000,14.72
2011-08-15,15.11,15.29,15.07,15.26,2872200,15.26
2011-08-12,15.23,15.33,14.77,15.00,5750500,15.00
2011-08-11,13.76,15.11,13.72,14.91,11082700,14.91
2011-08-10,14.41,14.42,13.58,13.61,8893700,13.61
2011-08-09,14.02,14.73,13.73,14.72,10068000,14.72
2011-08-08,14.18,14.38,13.21,13.63,10333500,13.63
2011-08-05,14.80,14.84,14.04,14.68,12609700,14.68
2011-08-04,14.98,15.06,14.29,14.40,9557000,14.40
2011-08-03,15.82,15.88,15.40,15.76,6104000,15.76
2011-08-02,15.90,16.05,15.60,15.71,7395000,15.71
2011-08-01,16.83,16.84,16.28,16.47,4027700,16.47
2011-07-29,16.10,16.75,16.10,16.48,7693400,16.48
2011-07-28,16.30,16.48,16.22,16.27,3384800,16.27
2011-07-27,16.53,16.55,16.12,16.19,3997300,16.19
2011-07-26,16.83,16.87,16.59,16.74,4622900,16.74
2011-07-25,17.25,17.49,17.18,17.43,3415500,17.43
2011-07-22,17.59,17.59,17.39,17.51,2914500,17.51
2011-07-21,17.62,17.82,17.50,17.71,4739800,17.71
2011-07-20,16.81,17.04,16.72,16.99,3641000,16.99
2011-07-19,16.20,16.41,16.20,16.38,3349600,16.38
2011-07-18,16.47,16.54,16.08,16.26,2885900,16.26
2011-07-15,16.86,16.90,16.64,16.80,2776400,16.80
2011-07-14,17.19,17.28,16.90,16.99,4702200,16.99
2011-07-13,17.08,17.31,16.95,17.08,7339900,17.08
2011-07-12,16.74,16.98,16.70,16.74,3768400,16.74
2011-07-11,17.21,17.28,16.92,17.00,4538200,17.00
2011-07-08,17.80,17.83,17.50,17.64,3565200,17.64
2011-07-07,18.18,18.25,17.91,17.99,2668500,17.99
2011-07-06,17.96,18.17,17.86,18.09,3326500,18.09
2011-07-05,18.42,18.45,18.17,18.31,3033500,18.31
2011-07-01,18.38,18.64,18.30,18.60,3108800,18.60
2011-06-30,18.07,18.30,17.97,18.26,2933900,18.26
