Date,Open,High,Low,Close,Volume,Adj Close
2011-09-12,11.62,12.77,11.21,11.88,13029200,11.88
2011-09-06,12.16,12.95,11.78,11.87,5136100,11.87
2011-08-29,13.71,14.75,13.70,13.80,3730400,13.80
2011-08-22,13.65,14.41,13.17,13.45,5204300,13.45
2011-08-15,15.11,15.29,13.27,13.31,5202600,13.31
2011-08-08,14.18,15.33,13.21,15.00,9225600,15.00
2011-08-01,16.83,16.84,14.04,14.68,7938600,14.68
2011-07-25,17.25,17.49,16.10,16.48,4622700,16.48
2011-07-18,16.47,17.82,16.08,17.51,3506100,17.51
2011-07-11,17.21,17.31,16.64,16.80,4625000,16.80
2011-07-05,18.42,18.45,17.50,17.64,3148400,17.64
2011-06-27,17.31,18.64,17.25,18.60,3085800,18.60
2011-06-20,17.80,18.36,17.20,17.31,3287300,17.31
2011-06-13,18.15,18.47,17.57,17.83,3834100,17.83
2011-06-06,19.04,19.04,18.06,18.08,3153400,18.08
2011-05-31,19.30,19.62,18.99,19.15,3860600,19.15
2011-05-23,18.00,19.12,17.82,19.03,2444700,19.03
2011-05-16,18.27,18.70,18.18,18.34,2158400,18.34
2011-05-09,18.93,19.32,18.22,18.32,2837200,18.32
2011-05-02,19.83,20.03,19.03,19.17,2889900,19.17
2011-04-25,18.63,20.04,18.52,20.00,3795400,20.00
2011-04-18,17.96,18.93,17.75,18.68,2913300,18.68
2011-04-11,18.69,18.96,18.41,18.52,2626800,18.52
2011-04-04,18.24,18.80,17.94,18.56,2749200,18.56
2011-03-28,18.45,18.65,17.92,18.05,2797800,18.05
2011-03-21,18.45,18.64,18.20,18.21,2835800,18.21
2011-03-14,18.56,18.65,17.72,18.01,5074600,18.01
2011-03-07,19.60,19.68,18.54,18.59,4462400,18.59
2011-02-28,20.02,20.08,19.13,19.36,6600100,19.36
2011-02-22,19.60,19.90,19.35,19.78,4993600,19.78
2011-02-14,19.02,19.97,18.93,19.94,2729500,19.94
2011-02-07,18.30,19.48,18.25,19.06,4766300,19.06
2011-01-31,18.10,18.67,17.80,18.44,3376300,18.44
2011-01-24,17.88,18.55,17.82,18.11,3878000,18.11
2011-01-18,17.95,18.04,17.19,17.71,3549900,17.71
2011-01-10,16.22,17.65,16.10,17.62,3396200,17.62
2011-01-03,16.58,16.86,16.22,16.43,3708800,16.43
2010-12-27,16.21,16.54,16.20,16.47,1379300,16.47
2010-12-20,16.18,16.60,15.97,16.47,2228000,16.47
2010-12-13,16.61,16.87,15.89,16.04,2817700,16.04
2010-12-06,15.69,16.59,15.65,16.59,3646500,16.59
2010-11-29,15.22,16.13,14.98,16.13,4105800,16.13
2010-11-22,16.30,16.36,15.24,15.36,5568600,15.36
2010-11-15,17.39,17.43,16.29,16.64,3494500,16.64
2010-11-08,18.06,18.15,17.13,17.22,3251500,17.22
2010-11-01,16.75,18.16,16.54,18.05,4178400,18.05
2010-10-25,18.18,18.28,16.78,17.02,5115100,17.02
2010-10-18,17.91,18.35,17.79,17.93,4335300,17.93
2010-10-11,17.68,18.48,17.56,17.79,3615600,17.79
2010-10-04,17.14,18.03,16.90,17.67,4270600,17.67
2010-09-27,17.95,17.97,16.94,17.12,5148500,17.12
2010-09-20,18.13,18.40,17.31,17.81,4339600,17.81
2010-09-13,18.14,18.47,17.73,17.90,3489100,17.90
2010-09-07,17.67,18.06,17.35,17.86,4702600,17.86
2010-08-30,16.65,18.09,16.52,18.05,4952400,18.05
2010-08-23,16.70,16.83,16.08,16.76,3991600,16.76
2010-08-16,16.59,17.22,16.35,16.48,3379700,16.48
2010-08-09,17.52,17.63,16.17,16.43,4561300,16.43
2010-08-02,17.30,17.64,17.13,17.50,4987500,17.50
2010-07-26,14.97,17.19,14.90,16.97,6652400,16.97
2010-07-19,14.44,14.98,14.00,14.90,3866400,14.90
2010-07-12,14.27,14.99,14.09,14.14,3539500,14.14
2010-07-06,13.66,14.53,13.46,14.47,3557000,14.47
2010-06-28,13.88,13.96,13.03,13.19,4579700,13.19
2010-06-21,14.53,14.54,13.76,13.83,4718200,13.83
2010-06-14,13.35,14.46,13.06,14.36,3799000,14.36
2010-06-07,12.81,13.13,12.26,13.08,5154100,13.08
2010-06-01,13.06,13.51,12.46,12.54,4809200,12.54
2010-05-24,13.45,13.78,12.58,13.33,5642000,13.33
2010-05-17,14.26,14.55,13.00,13.58,7004300,13.58
2010-05-10,14.93,15.22,13.93,14.17,6517200,14.17
2010-05-03,15.56,15.77,12.98,13.63,8843400,13.63
2010-04-26,16.24,16.40,15.13,15.42,5971300,15.42
2010-04-19,16.33,16.71,15.57,16.10,4766000,16.10
2010-04-12,17.17,17.75,16.55,16.68,6550000,16.68
2010-04-05,16.86,17.00,15.98,16.52,5356700,16.52
2010-03-29,15.58,16.99,15.47,16.71,6188500,16.71
2010-03-22,15.21,15.63,15.12,15.47,3083700,15.47
2010-03-15,15.46,16.02,15.31,15.73,4018900,15.73
2010-03-08,15.12,15.56,14.72,15.34,3846400,15.34
2010-03-01,13.75,15.34,13.65,15.28,4419900,15.28
2010-02-22,13.70,13.89,13.21,13.86,3936900,13.86
2010-02-16,13.27,13.71,13.16,13.51,3101200,13.51
2010-02-08,13.00,13.29,12.39,12.73,5909700,12.73
2010-02-01,13.19,13.98,12.60,13.11,6090900,13.11
2010-01-25,14.20,14.30,12.85,13.01,6446900,13.01
2010-01-19,15.35,15.73,13.91,14.01,6406000,14.01
2010-01-11,16.83,16.85,15.54,15.66,2827300,15.66
2010-01-04,15.84,16.79,15.79,16.74,3546300,16.74
2009-12-28,15.92,15.97,15.37,15.51,1278200,15.51
2009-12-21,15.08,15.71,15.08,15.66,2129900,15.66
2009-12-14,15.39,16.05,15.03,15.22,2640400,15.22
2009-12-07,15.81,15.97,15.09,15.30,2784800,15.30
2009-11-30,15.42,16.50,15.36,16.08,3985900,16.08
2009-11-23,16.15,16.42,15.41,15.66,3202300,15.66
2009-11-16,17.24,17.55,15.68,15.95,3960200,15.95
2009-11-09,17.02,17.60,16.53,16.97,3135300,16.97
2009-11-02,16.77,17.21,15.67,16.68,4744600,16.68
2009-10-26,18.06,18.21,16.46,16.59,4295700,16.59
2009-10-19,18.83,19.18,18.04,18.09,5007500,18.09
2009-10-12,17.97,19.05,17.78,18.61,2874600,18.61
2009-10-05,17.15,18.24,17.10,17.66,4621400,17.66
2009-09-28,18.21,18.74,16.90,17.32,3256500,17.32
2009-09-21,18.45,19.32,17.96,18.11,3037400,18.11
2009-09-14,17.77,18.97,17.71,18.75,3379700,18.75
2009-09-08,18.42,18.46,17.76,17.92,4048800,17.92
2009-08-31,18.38,18.54,16.63,18.14,5181100,18.14
2009-08-24,17.45,18.55,17.13,18.34,5697200,18.34
2009-08-17,15.39,17.71,15.15,17.54,10071700,17.54
2009-08-10,15.05,16.24,14.54,16.11,5046700,16.11
2009-08-03,15.35,15.57,14.10,15.11,7686300,15.11
2009-07-27,13.90,14.80,13.05,14.74,3525800,14.74
2009-07-20,13.45,14.11,13.14,13.90,2476500,13.90
2009-07-13,12.06,13.47,11.93,13.32,2844700,13.32
2009-07-06,11.69,12.22,11.25,11.66,2753200,11.66
2009-06-29,12.32,12.63,11.88,11.95,3169700,11.95
2009-06-22,12.93,13.71,12.18,12.30,5731100,12.30
2009-06-15,14.41,14.42,12.73,13.25,4162700,13.25
2009-06-08,13.56,15.10,13.42,14.84,3372400,14.84
2009-06-01,15.30,15.82,13.61,13.75,4226900,13.75
2009-05-26,13.98,15.10,13.92,15.03,3363100,15.03
2009-05-18,13.69,15.24,13.63,14.36,4575700,14.36
2009-05-11,15.50,15.83,12.92,13.26,5078700,13.26
2009-05-04,13.78,15.74,13.74,15.74,6168000,15.74
2009-04-27,12.41,14.25,12.06,13.71,4203900,13.71
2009-04-20,11.64,12.59,10.78,12.50,6078900,12.50
2009-04-13,10.15,12.34,9.98,11.99,6824500,11.99
2009-04-06,9.86,10.49,9.42,10.49,5891000,10.49
2009-03-30,9.03,10.78,8.73,10.71,5184000,10.71
2009-03-23,11.60,12.35,9.69,9.77,6448900,9.77
2009-03-16,9.64,11.74,9.33,10.97,6681000,10.97
2009-03-09,7.16,9.35,7.04,9.24,6653600,9.24
2009-03-02,8.66,8.94,7.45,7.72,6419500,7.72
2009-02-23,8.72,10.24,8.08,9.05,7712500,9.05
2009-02-17,10.51,11.04,9.12,9.71,5490500,9.71
2009-02-09,11.21,12.37,10.91,11.19,5999700,11.19
2009-02-02,11.61,12.13,10.81,11.25,4539500,11.25
2009-01-26,12.58,14.10,11.85,12.45,4584700,12.45
2009-01-20,11.03,12.57,10.00,12.44,5031000,12.44
2009-01-12,14.30,14.54,11.63,11.91,3638100,11.91
2009-01-05,14.74,15.31,13.91,14.92,2434500,14.92
2009-01-02,14.44,14.82,14.01,14.71,1333700,14.71
