Date,Open,High,Low,Close,Volume,Adj Close
2011-09-22,66.29,67.61,64.58,67.19,360275,67.19
2011-09-21,70.39,71.85,67.98,68.06,690400,68.06
2011-09-20,73.62,73.91,69.83,70.18,1016100,70.18
2011-09-19,69.78,74.00,69.13,72.86,1452400,72.86
2011-09-16,69.85,70.50,69.57,70.46,1047200,70.46
2011-09-15,70.50,70.50,69.00,70.20,851700,70.20
2011-09-14,69.95,70.63,67.90,69.95,1391600,69.95
2011-09-13,70.26,71.41,68.06,69.96,2050700,69.96
2011-09-12,68.06,71.26,67.95,70.93,2083100,70.93
2011-09-09,62.13,68.70,62.03,68.45,4659200,68.45
2011-09-08,56.59,60.20,56.03,59.76,1895300,59.76
2011-09-07,56.39,57.25,55.60,56.80,626800,56.80
2011-09-06,53.26,55.59,51.64,55.37,1216400,55.37
2011-09-02,56.13,57.24,54.95,55.33,529200,55.33
2011-09-01,59.26,59.66,57.32,57.60,490700,57.60
2011-08-31,58.13,59.91,57.93,59.08,796400,59.08
2011-08-30,58.83,59.56,57.27,57.59,717500,57.59
2011-08-29,57.78,59.45,57.00,58.97,609700,58.97
2011-08-26,53.20,56.66,51.71,56.48,761200,56.48
2011-08-25,54.73,55.97,53.19,53.48,945900,53.48
2011-08-24,52.68,54.51,52.00,54.26,718900,54.26
2011-08-23,48.94,52.79,48.28,52.69,986800,52.69
2011-08-22,49.67,50.50,48.44,48.89,1073200,48.89
2011-08-19,49.09,52.41,48.67,49.60,1111700,49.60
2011-08-18,51.61,51.67,49.50,50.08,1008400,50.08
2011-08-17,55.97,56.37,52.37,53.31,980700,53.31
2011-08-16,56.77,57.44,55.36,55.56,858900,55.56
2011-08-15,60.02,60.94,56.64,57.71,852400,57.71
2011-08-12,59.84,60.57,57.35,59.39,1071300,59.39
2011-08-11,53.34,57.93,53.13,57.16,865600,57.16
2011-08-10,53.91,55.64,52.67,53.08,593800,53.08
2011-08-09,50.17,55.51,49.51,55.48,1035500,55.48
2011-08-08,52.56,53.16,48.99,50.49,1742800,50.49
2011-08-05,55.48,57.35,52.41,56.39,1388400,56.39
2011-08-04,61.10,61.99,57.05,57.12,733300,57.12
2011-08-03,61.31,62.72,58.59,62.08,891600,62.08
2011-08-02,62.75,63.89,61.34,61.43,685500,61.43
2011-08-01,64.62,65.75,62.36,63.23,550300,63.23
2011-07-29,61.74,63.48,60.78,63.03,669100,63.03
2011-07-28,62.07,63.91,62.00,62.78,974700,62.78
2011-07-27,64.65,64.66,61.76,62.08,691100,62.08
2011-07-26,65.05,65.96,64.64,64.94,449700,64.94
2011-07-25,65.55,66.66,65.00,65.09,521300,65.09
2011-07-22,65.84,66.44,65.50,66.02,499000,66.02
2011-07-21,65.88,67.14,65.27,65.72,488800,65.72
2011-07-20,66.36,66.43,64.64,65.31,612600,65.31
2011-07-19,63.98,66.13,63.98,65.75,521200,65.75
2011-07-18,64.01,64.20,62.92,63.73,437000,63.73
2011-07-15,63.98,64.33,62.18,64.31,583300,64.31
2011-07-14,65.00,65.79,63.00,63.33,591600,63.33
2011-07-13,64.86,66.33,64.50,64.87,531900,64.87
2011-07-12,64.10,65.65,62.79,64.29,964600,64.29
2011-07-11,68.42,68.44,64.83,64.96,896400,64.96
2011-07-08,65.88,68.74,64.00,68.70,1059600,68.70
2011-07-07,67.85,68.80,66.52,66.69,699900,66.69
2011-07-06,66.68,67.21,65.59,67.09,804000,67.09
2011-07-05,65.18,67.03,65.08,66.82,686800,66.82
2011-07-01,64.79,65.35,64.12,65.18,520700,65.18
2011-06-30,63.35,65.27,63.31,64.58,644300,64.58
2011-06-29,64.56,64.89,62.93,63.35,610800,63.35
2011-06-28,63.68,64.53,63.25,64.19,746000,64.19
2011-06-27,63.66,64.85,62.53,63.17,976300,63.17
