Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,30.71,31.5,30.23,31.47,10616387,31.47
2011-09-23,30.69,31.30,30.59,31.09,15988100,31.09
2011-09-22,31.40,31.83,30.85,31.13,21929100,31.13
2011-09-21,33.49,34.06,32.91,32.92,12222000,32.92
2011-09-20,33.33,33.94,33.20,33.43,7662300,33.43
2011-09-19,33.26,33.46,32.89,33.29,8659400,33.29
2011-09-16,34.65,34.70,33.77,34.14,10440900,34.14
2011-09-15,34.73,34.96,34.53,34.60,9028400,34.60
2011-09-14,34.74,34.83,34.18,34.34,10973600,34.34
2011-09-13,34.62,35.08,34.40,34.85,9722300,34.85
2011-09-12,33.69,34.49,33.55,34.42,9698000,34.42
2011-09-09,33.69,33.97,33.25,33.85,10902800,33.85
2011-09-08,34.65,35.00,34.39,34.46,9298900,34.46
2011-09-07,34.02,34.82,33.94,34.69,10781500,34.69
2011-09-06,32.62,33.61,32.60,33.59,8909300,33.59
2011-09-02,33.37,33.94,33.17,33.64,11890100,33.64
2011-09-01,34.48,34.89,34.33,34.47,8558500,34.47
2011-08-31,34.33,34.76,34.24,34.51,9447300,34.51
2011-08-30,33.98,34.63,33.72,34.44,9363900,34.44
2011-08-29,33.97,34.02,33.69,33.96,7031700,33.96
2011-08-26,32.78,33.25,32.21,33.15,14294800,33.15
2011-08-25,33.46,33.62,32.24,32.97,11670000,32.97
2011-08-24,33.25,33.61,32.89,33.08,12905100,33.08
2011-08-23,32.89,33.54,32.38,33.42,17416600,33.42
2011-08-22,32.72,32.92,31.85,32.72,14361900,32.72
2011-08-19,31.47,32.52,31.45,32.12,16555400,32.12
2011-08-18,33.02,33.09,31.56,31.72,19310900,31.72
2011-08-17,34.41,34.63,33.90,34.01,13838400,34.01
2011-08-16,33.72,34.22,33.45,33.83,12862800,33.83
2011-08-15,33.66,34.29,33.64,34.22,10467600,34.22
2011-08-12,33.85,34.06,33.13,33.23,11490300,33.23
2011-08-11,32.23,33.51,31.93,33.30,21637800,33.30
2011-08-10,31.49,32.42,31.03,31.78,24195600,31.78
2011-08-09,31.97,32.33,30.31,31.62,31209400,31.62
2011-08-08,32.55,32.99,31.28,31.51,27903400,31.51
2011-08-05,34.00,34.32,32.90,33.95,22354800,33.95
2011-08-04,35.62,35.65,33.58,33.73,27327000,33.73
