Date,Open,High,Low,Close,Volume,Adj Close
2011-09-26,30.71,31.50,30.23,31.47,10537800,31.47
2011-09-19,33.26,34.06,30.59,31.09,13292100,31.09
2011-09-12,33.69,35.08,33.55,34.14,9972600,34.14
2011-09-06,32.62,35.00,32.60,33.85,9973100,33.85
2011-08-29,33.97,34.89,33.17,33.64,9258300,33.64
2011-08-22,32.72,33.62,31.85,33.15,14129600,33.15
2011-08-15,33.66,34.63,31.45,32.12,14609500,32.12
2011-08-08,32.55,34.06,30.31,33.23,23287300,33.23
2011-08-01,38.39,38.47,32.90,33.95,17588000,33.95
2011-07-25,38.50,39.25,37.20,37.42,7569200,37.42
2011-07-18,37.70,39.09,37.10,38.93,7566000,38.93
2011-07-11,37.28,38.87,36.93,38.13,10185400,38.13
2011-07-05,37.72,38.98,37.50,37.80,9813500,37.80
2011-06-27,35.33,37.60,35.14,37.15,10568700,37.15
2011-06-20,36.49,37.55,35.21,35.81,12561300,35.81
2011-06-13,38.72,39.39,36.20,36.63,13056800,36.63
2011-06-06,39.40,40.40,38.57,39.07,11771900,39.07
2011-05-31,40.66,40.74,38.85,39.66,12602800,39.66
2011-05-23,38.31,40.10,38.03,39.71,13997800,39.71
2011-05-16,39.26,40.03,37.72,39.47,17198600,39.47
2011-05-09,39.41,41.26,38.12,39.44,23331700,39.44
2011-05-02,44.99,45.60,38.50,38.87,29137300,38.87
2011-04-25,44.87,45.35,43.97,45.15,8600600,45.15
2011-04-18,43.16,44.64,42.50,44.57,9388100,44.57
2011-04-11,44.79,44.88,42.10,43.71,13532300,43.71
2011-04-04,43.12,45.20,43.00,45.15,10581600,45.15
2011-03-28,41.44,43.21,41.32,43.17,11067100,43.17
2011-03-21,41.27,42.54,40.95,42.18,14069400,42.18
2011-03-14,40.63,41.15,39.15,40.97,21297300,40.97
2011-03-07,42.75,42.83,40.36,40.69,24154400,40.69
2011-02-28,39.45,42.42,39.10,42.33,21575600,42.33
2011-02-22,39.05,40.60,37.79,39.68,37734900,39.68
2011-02-14,36.19,36.77,35.21,36.36,14655800,36.36
2011-02-07,37.21,37.37,35.87,36.05,13354000,36.05
2011-01-31,37.28,39.01,37.16,37.34,16212600,37.34
2011-01-24,36.90,37.71,35.93,37.58,14301100,37.58
2011-01-18,38.49,39.00,37.28,37.51,8523300,37.51
2011-01-10,38.08,39.27,37.80,38.92,6976100,38.92
2011-01-03,39.34,39.48,37.18,37.67,10197100,37.67
2010-12-27,38.80,39.25,37.96,39.00,5190700,39.00
2010-12-20,37.90,39.08,37.42,38.98,4821200,38.98
2010-12-13,38.25,38.36,37.53,37.81,6069600,37.81
2010-12-06,38.27,38.74,37.38,37.66,6850000,37.66
2010-11-29,36.23,38.39,35.86,38.31,8836400,38.31
2010-11-22,35.00,36.08,34.55,35.97,7725400,35.97
2010-11-15,36.85,36.92,34.61,35.22,13139600,35.22
2010-11-08,37.43,38.06,36.47,36.47,11633900,36.47
2010-11-01,36.14,37.65,35.72,37.65,9712300,37.65
2010-10-25,35.86,35.98,34.79,35.17,6373900,35.17
2010-10-18,35.60,36.28,34.56,35.49,9749500,35.49
2010-10-11,35.85,36.54,35.19,35.47,6584500,35.47
2010-10-04,35.72,36.67,35.33,36.15,10341100,36.15
2010-09-27,33.60,35.63,32.94,35.63,10231800,35.63
2010-09-20,32.76,33.48,32.20,33.40,9091600,33.40
2010-09-13,34.19,34.39,32.34,32.65,8131700,32.65
2010-09-07,32.80,33.82,32.33,33.77,8094200,33.77
2010-08-30,33.13,33.52,31.84,33.09,10047400,33.09
2010-08-23,32.92,33.57,31.50,33.57,11328200,33.57
2010-08-16,33.58,34.28,32.69,32.95,8467300,32.95
2010-08-09,36.36,36.54,33.57,33.79,7961400,33.79
2010-08-02,36.18,37.15,35.80,36.20,8330000,36.20
2010-07-26,35.29,35.52,33.99,35.34,8851000,35.34
2010-07-19,34.47,35.56,33.91,35.39,8806900,35.39
2010-07-12,34.09,35.18,33.61,34.16,8264800,34.16
2010-07-06,33.06,34.51,32.27,34.34,9015300,34.34
2010-06-28,35.34,35.38,32.32,32.60,9842800,32.60
2010-06-21,35.97,36.04,33.94,35.66,10224900,35.66
2010-06-14,34.72,35.73,34.04,35.41,9027900,35.41
2010-06-07,32.87,35.00,32.45,34.23,11391500,34.23
2010-06-01,33.65,34.60,32.52,32.68,14759100,32.68
2010-05-24,32.40,34.51,30.93,34.04,16385600,34.04
2010-05-17,34.45,34.59,31.64,32.27,25911400,32.27
2010-05-10,37.25,37.50,34.50,34.81,17372300,34.81
2010-05-03,41.30,41.90,35.85,36.31,19243000,36.31
2010-04-26,40.84,41.58,39.32,41.33,10959600,41.33
2010-04-19,39.68,40.96,39.29,40.95,8837100,40.95
2010-04-12,41.11,41.96,40.28,40.60,10828900,40.60
2010-04-05,41.52,42.19,40.81,41.17,7881700,41.17
2010-03-29,39.32,41.29,39.29,41.24,9937200,41.24
2010-03-22,38.38,39.83,38.30,38.83,8329300,38.83
2010-03-15,39.13,40.40,38.50,39.20,11287800,39.20
2010-03-08,40.01,40.40,39.22,39.51,10088300,39.51
2010-03-01,39.05,39.96,38.02,39.85,10450800,39.85
2010-02-22,39.13,39.23,37.53,38.82,11138600,38.82
2010-02-16,37.20,39.09,37.08,39.09,14631000,39.09
2010-02-08,35.08,37.72,34.69,36.31,11974700,36.31
2010-02-01,36.02,38.17,34.07,35.21,18658900,35.21
2010-01-25,36.50,36.99,35.50,35.64,11781900,35.64
2010-01-19,38.07,38.95,36.32,36.34,12809600,36.34
2010-01-11,41.09,41.19,38.28,38.40,11525900,38.40
2010-01-04,40.04,41.19,39.87,40.93,12213100,40.93
2009-12-28,38.94,39.46,38.50,39.28,7409000,39.28
2009-12-21,36.95,38.24,35.89,38.20,8489800,38.20
2009-12-14,35.62,37.26,35.46,36.66,13718500,36.66
2009-12-07,37.64,38.08,35.22,35.48,16241900,35.48
2009-11-30,38.16,40.06,37.95,38.33,13173100,38.33
2009-11-23,40.16,40.51,37.29,38.50,12461200,38.50
2009-11-16,39.31,41.00,38.95,39.42,12695100,39.42
2009-11-09,40.37,41.15,38.68,39.12,10947900,39.12
2009-11-02,39.33,41.44,39.20,39.70,12676800,39.70
2009-10-26,41.30,41.70,39.28,39.32,13508900,39.32
2009-10-19,40.29,41.92,40.04,40.91,14025400,40.91
2009-10-12,37.82,40.49,37.56,40.45,14165000,40.45
2009-10-05,35.45,37.34,35.00,37.16,15018000,37.16
2009-09-28,34.00,36.55,33.90,35.87,17857600,35.87
2009-09-21,36.10,37.04,33.69,34.00,17106900,34.00
2009-09-14,35.58,37.84,35.49,37.12,9918900,37.12
2009-09-08,36.47,37.61,35.63,35.82,10819100,35.82
2009-08-31,36.57,36.95,34.72,35.13,10237200,35.13
2009-08-24,38.56,38.80,36.16,37.66,11406400,37.66
2009-08-17,35.31,38.68,34.91,38.23,13367000,38.23
2009-08-10,37.90,38.06,35.86,36.03,9918100,36.03
2009-08-03,37.93,38.44,37.08,37.65,11792800,37.65
2009-07-27,36.31,37.09,33.36,36.81,13885600,36.81
2009-07-20,34.72,36.27,33.93,36.22,10434500,36.22
2009-07-13,32.06,34.59,31.57,34.24,14320800,34.24
2009-07-06,34.66,35.06,31.86,32.38,15215300,32.38
2009-06-29,38.07,38.91,35.99,36.05,13695100,36.05
2009-06-22,37.00,38.36,36.08,37.51,12684800,37.51
2009-06-15,39.03,39.51,37.56,37.97,14312600,37.97
2009-06-08,37.38,40.00,37.10,39.43,11168800,39.43
2009-06-01,36.99,38.10,35.56,37.40,14116400,37.40
2009-05-26,32.76,36.42,32.70,36.40,14580300,36.40
2009-05-18,32.12,34.08,32.00,33.70,11166900,33.70
2009-05-11,32.23,33.17,31.08,31.30,13151100,31.30
2009-05-04,29.96,32.74,29.93,32.49,13934800,32.49
2009-04-27,27.14,30.06,27.11,29.62,13182700,29.62
2009-04-20,27.72,29.00,26.28,28.90,16449300,28.90
2009-04-13,29.10,30.57,28.57,29.45,14323700,29.45
2009-04-06,29.95,30.80,28.32,30.69,15048300,30.69
2009-03-30,29.72,31.23,27.96,30.93,19584400,30.93
2009-03-23,30.67,32.16,30.54,30.75,20403300,30.75
2009-03-16,27.01,31.15,26.68,30.76,28748500,30.76
2009-03-09,27.99,29.56,25.91,27.63,30803300,27.63
2009-03-02,25.54,27.99,23.53,27.99,31287400,27.99
2009-02-23,24.91,27.68,23.17,27.05,37824100,27.05
2009-02-17,24.31,24.61,22.74,24.35,43516600,24.35
2009-02-09,28.95,29.37,25.17,25.60,40585600,25.60
2009-02-02,28.44,30.00,27.35,28.20,36943400,28.20
2009-01-26,32.38,34.10,28.59,29.22,39354200,29.22
2009-01-20,29.04,33.00,28.42,32.33,39902600,32.33
2009-01-12,30.99,32.18,28.84,29.86,42041600,29.86
2009-01-05,35.76,38.75,31.28,32.37,36420300,32.37
2009-01-02,33.77,35.91,33.46,35.63,37200300,35.63
