Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,51.48,52.75,50.87,52.21,13040100,52.21
2011-08-29,53.11,53.55,51.97,52.03,11698700,52.03
2011-08-22,52.24,53.49,51.95,52.90,12753600,52.90
2011-08-15,49.88,52.74,49.29,52.30,20804000,52.30
2011-08-08,50.80,51.33,48.31,49.75,24158900,49.75
2011-08-01,52.79,52.99,49.59,50.85,20150600,50.48
2011-07-25,54.03,54.40,52.67,52.71,10682100,52.33
2011-07-18,53.41,54.72,53.18,54.52,8615100,54.13
2011-07-11,53.82,54.42,53.38,53.63,10578600,53.24
2011-07-05,53.34,54.81,53.02,54.08,9811000,53.69
2011-06-27,52.32,53.65,52.14,53.51,9897100,53.13
2011-06-20,52.70,53.70,52.35,52.41,15118600,52.03
2011-06-13,52.62,53.29,51.79,52.82,13794900,52.44
2011-06-06,53.86,54.30,52.69,52.72,11747400,52.34
2011-05-31,54.88,55.22,53.04,53.66,12038700,53.27
2011-05-23,54.99,55.50,54.19,54.70,8173000,54.31
2011-05-16,55.61,56.47,54.95,55.29,11334100,54.89
2011-05-09,54.97,56.03,54.70,55.72,8525200,55.32
2011-05-02,55.08,55.79,54.67,55.02,9327100,54.27
2011-04-25,53.60,55.16,53.23,54.98,9432100,54.23
2011-04-18,53.08,53.95,52.91,53.58,7227300,52.85
2011-04-11,52.54,53.96,52.40,53.55,9121700,52.82
2011-04-04,52.31,53.24,52.06,52.54,9670800,51.82
2011-03-28,52.31,52.74,51.89,52.13,8895400,51.42
2011-03-21,51.73,52.95,51.38,52.35,10671100,51.63
2011-03-14,52.35,52.52,50.97,51.52,12633100,50.81
2011-03-07,52.26,53.88,51.75,52.59,13836000,51.87
2011-02-28,51.75,52.60,51.68,52.07,14985900,51.00
2011-02-22,53.81,54.01,51.52,51.75,23169100,50.69
2011-02-14,55.26,55.57,54.35,55.38,14303000,54.24
2011-02-07,56.07,56.73,55.30,55.69,9893100,54.54
2011-01-31,56.45,56.58,55.39,56.03,12193600,54.88
2011-01-24,55.39,57.90,55.30,56.70,13907500,55.53
2011-01-18,55.11,56.27,54.71,55.73,13250100,54.58
2011-01-10,53.65,55.36,53.54,54.81,11641400,53.68
2011-01-03,54.23,55.07,53.76,54.08,12844400,52.97
2010-12-27,53.56,54.26,53.23,53.93,6738300,52.82
2010-12-20,54.56,54.56,53.14,53.60,10607000,52.50
2010-12-13,54.31,54.75,54.00,54.41,13303800,53.29
2010-12-06,54.88,55.34,54.14,54.28,11957700,53.16
2010-11-29,53.65,54.90,53.43,54.62,14419800,53.20
2010-11-22,54.20,54.60,53.56,53.74,9455100,52.34
2010-11-15,54.17,55.35,53.56,54.39,14282800,52.98
2010-11-08,54.91,55.21,53.86,54.13,10893800,52.72
2010-11-01,54.05,55.72,54.02,55.20,9950800,53.77
2010-10-25,54.18,54.73,53.55,54.17,9498700,52.76
2010-10-18,53.25,54.34,53.13,54.06,8918900,52.66
2010-10-11,54.52,54.74,52.93,53.35,12758300,51.97
2010-10-04,53.34,54.82,53.14,54.41,8867100,53.00
2010-09-27,53.91,54.01,53.05,53.36,9760800,51.97
2010-09-20,53.10,54.39,53.09,54.08,9130900,52.68
2010-09-13,52.25,53.33,52.01,53.01,12162000,51.63
2010-09-07,52.07,52.56,51.52,51.97,8748400,50.62
2010-08-30,51.02,52.09,50.12,52.04,13622500,50.69
2010-08-23,50.57,51.79,50.39,51.00,14006900,49.68
2010-08-16,50.17,51.62,50.00,50.22,13809000,48.92
2010-08-09,51.83,52.48,50.00,50.40,10261900,49.09
2010-08-02,51.55,51.79,50.95,51.79,9661500,50.15
2010-07-26,51.67,51.78,50.50,51.19,11783500,49.57
2010-07-19,49.72,51.81,49.09,51.67,13104300,50.04
2010-07-12,49.78,50.69,49.52,49.67,13109300,48.10
2010-07-06,49.34,49.55,48.16,49.43,14664700,47.87
2010-06-28,49.06,49.77,47.77,48.00,17026500,46.48
2010-06-21,51.71,51.88,48.80,48.80,20882300,47.26
2010-06-14,51.11,51.91,50.89,51.55,16440900,49.92
2010-06-07,50.46,51.68,50.32,50.86,17244900,49.25
2010-06-01,50.80,52.08,50.22,50.40,16067600,48.81
2010-05-24,51.04,51.54,50.00,50.56,16939600,48.96
2010-05-17,52.41,54.45,50.51,51.37,24279200,49.75
2010-05-10,53.06,53.24,51.83,52.12,18286000,50.47
2010-05-03,53.88,54.95,51.53,52.40,20118800,50.45
2010-04-26,54.53,54.70,53.52,53.64,15685800,51.64
2010-04-19,54.00,54.82,53.92,54.53,11884800,52.50
2010-04-12,55.02,55.21,53.84,54.11,15276700,52.10
2010-04-05,55.70,55.90,54.63,55.07,11385200,53.02
2010-03-29,55.50,56.05,55.17,55.49,9618200,53.43
2010-03-22,55.31,56.00,55.13,55.51,9536500,53.44
2010-03-15,54.39,56.27,54.35,55.34,16395500,53.28
2010-03-08,54.01,54.50,53.53,53.90,10798000,51.89
2010-03-01,54.04,54.17,53.15,54.14,12085700,51.83
2010-02-22,53.52,54.28,53.25,54.07,13264400,51.77
2010-02-16,53.24,54.25,52.90,53.49,18963300,51.21
2010-02-08,53.38,53.62,52.66,52.90,11871400,50.65
2010-02-01,53.62,54.50,52.76,53.45,15394400,51.17
2010-01-25,53.14,54.15,52.51,53.43,16404000,51.15
2010-01-19,53.91,54.26,52.69,52.94,15842900,50.68
2010-01-11,53.33,55.20,53.10,53.68,15050900,51.39
2010-01-04,53.74,54.67,53.02,53.33,14188900,51.06
2009-12-28,53.79,54.37,53.42,53.45,7812800,51.17
2009-12-21,52.94,53.75,52.93,53.60,9623400,51.32
2009-12-14,54.58,54.60,52.31,52.85,17791900,50.60
2009-12-07,54.14,55.00,53.76,54.65,12279900,52.32
2009-11-30,54.53,55.08,53.95,54.24,11301100,51.67
2009-11-23,54.78,55.09,54.09,54.63,9781000,52.04
2009-11-16,53.35,54.87,52.81,54.28,15767400,51.71
2009-11-09,51.66,53.74,51.41,53.20,20260800,50.68
