Date,Open,High,Low,Close,Volume,Adj Close
2011-09-06,12.52,14.00,12.45,13.61,65810700,13.61
2011-08-29,12.90,13.98,12.69,12.87,24780000,12.87
2011-08-22,13.16,13.35,12.52,12.74,22806300,12.74
2011-08-15,13.63,13.69,12.72,12.92,24980500,12.92
2011-08-08,11.43,13.62,11.09,13.59,50932000,13.59
2011-08-01,13.24,13.34,11.41,11.74,33041300,11.74
2011-07-25,13.84,14.07,13.04,13.10,29330800,13.10
2011-07-18,14.68,14.69,13.36,13.98,35680600,13.98
2011-07-11,15.43,15.44,14.60,14.69,21549500,14.69
2011-07-05,15.40,15.95,15.25,15.61,18531300,15.61
2011-06-27,14.87,15.50,14.64,15.45,21307200,15.45
2011-06-20,14.66,15.53,14.66,14.89,27634800,14.89
2011-06-13,15.16,15.56,14.50,14.70,25054600,14.70
2011-06-06,15.65,15.85,14.94,15.20,18967400,15.20
2011-05-31,16.17,16.59,15.63,15.68,28453100,15.68
2011-05-23,16.05,16.99,15.88,16.02,24142700,16.02
2011-05-16,16.68,16.69,15.63,16.30,36621300,16.30
2011-05-09,18.60,18.84,15.96,16.55,67665600,16.55
2011-05-02,17.79,18.80,17.57,18.65,32141200,18.65
2011-04-25,17.01,17.77,16.90,17.70,19922700,17.70
2011-04-18,16.35,17.23,16.06,16.85,25444600,16.85
2011-04-11,16.91,16.96,16.29,16.62,20535500,16.62
2011-04-04,16.90,17.29,16.77,16.77,13443300,16.77
2011-03-28,17.01,17.06,16.53,16.84,13333600,16.84
2011-03-21,16.18,17.05,15.98,16.96,24663200,16.96
2011-03-14,17.24,17.44,15.81,16.03,35138500,16.03
2011-03-07,17.07,17.70,16.49,17.42,22080100,17.42
2011-02-28,16.37,17.20,16.08,17.08,23382100,17.08
2011-02-22,17.08,17.39,16.04,16.50,29623600,16.50
2011-02-14,16.84,17.84,16.72,17.66,25003700,17.66
2011-02-07,16.81,17.00,16.35,16.85,16514800,16.85
2011-01-31,15.82,16.91,15.79,16.79,24679900,16.79
2011-01-24,16.00,16.36,15.41,15.83,32708000,15.83
2011-01-18,16.62,16.68,15.93,15.97,19127800,15.97
2011-01-10,16.78,16.92,16.50,16.81,15082600,16.81
2011-01-03,16.81,17.34,16.34,16.90,20550100,16.90
2010-12-27,16.62,16.77,16.33,16.63,7924600,16.63
2010-12-20,16.38,16.78,16.15,16.72,11154400,16.72
2010-12-13,16.90,16.99,16.32,16.38,14593100,16.38
2010-12-06,16.47,17.22,16.30,17.01,16110400,17.01
2010-11-29,16.10,16.45,15.77,16.35,15893000,16.35
2010-11-22,16.43,16.65,16.04,16.22,13317600,16.22
2010-11-15,16.56,17.17,16.10,16.57,24652100,16.57
2010-11-08,16.29,17.60,16.25,16.55,24361400,16.55
2010-11-01,16.50,16.52,16.01,16.27,16309900,16.27
2010-10-25,16.30,16.52,16.15,16.49,16413600,16.49
2010-10-18,16.20,16.41,15.37,16.31,31508900,16.31
2010-10-11,14.45,16.76,14.27,16.25,50703800,16.25
2010-10-04,14.20,14.77,14.13,14.49,19802800,14.49
2010-09-27,14.46,14.53,13.99,14.27,19539300,14.27
2010-09-20,13.95,14.51,13.84,14.50,23587300,14.50
2010-09-13,13.83,14.35,13.60,13.89,48841600,13.89
2010-09-07,13.56,13.92,13.50,13.68,14667200,13.68
2010-08-30,13.27,13.75,12.94,13.62,15779100,13.62
2010-08-23,13.81,13.87,13.03,13.43,13717700,13.43
2010-08-16,13.75,14.05,13.68,13.79,14308200,13.79
2010-08-09,14.34,14.52,13.75,13.83,10920300,13.83
2010-08-02,14.01,14.38,13.91,14.34,13806100,14.34
2010-07-26,13.96,14.22,13.68,13.88,18564900,13.88
2010-07-19,15.23,15.38,13.52,13.99,40155600,13.99
2010-07-12,14.93,15.60,13.86,14.90,15925300,14.90
2010-07-06,14.23,14.93,14.00,14.89,16130600,14.89
2010-06-28,14.83,14.86,13.75,14.07,23140200,14.07
2010-06-21,15.71,15.84,14.57,14.81,20862000,14.81
2010-06-14,15.46,15.72,15.15,15.54,13167600,15.54
2010-06-07,15.19,15.36,14.62,15.29,21613600,15.29
