Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
LIN,Linde plc,18.148008,Chemicals,2755975,XHB
APD,Air Products and Chemicals Inc.,8.774636,Chemicals,1130984,XHB
SHW,Sherwin-Williams Company,7.339606,Chemicals,421452,XHB
NEM,Newmont Corporation,7.108922,Metals & Mining,3887067,XHB
ECL,Ecolab Inc.,7.072379,Chemicals,1286558,XHB
DD,DuPont de Nemours Inc.,4.74856,Chemicals,3800709,XHB
DOW,Dow Inc.,4.439025,Chemicals,3804260,XHB
PPG,PPG Industries Inc.,3.892405,Chemicals,1222975,XHB
BLL,Ball Corporation,3.85797,Containers & Packaging,1691977,XHB
CTVA,Corteva Inc,3.724843,Chemicals,3870838,XHB
VMC,Vulcan Materials Company,2.464699,Construction Materials,684513,XHB
AMCR,Amcor PLC,2.435228,Containers & Packaging,8379521,XHB
LYB,LyondellBasell Industries NV,2.360273,Chemicals,1327859,XHB
IP,International Paper Company,2.356659,Containers & Packaging,2028058,XHB
IFF,International Flavors & Fragrances Inc.,2.285543,Chemicals,552214,XHB
MLM,Martin Marietta Materials Inc.,2.045289,Construction Materials,323272,XHB
NUE,Nucor Corporation,1.956558,Metals & Mining,1568217,XHB
FMC,FMC Corporation,1.888824,Chemicals,670393,XHB
FCX,Freeport-McMoRan Inc.,1.775661,Metals & Mining,7504278,XHB
CE,Celanese Corporation,1.706959,Chemicals,625130,XHB
PKG,Packaging Corporation of America,1.638339,Containers & Packaging,489635,XHB
AVY,Avery Dennison Corporation,1.492949,Containers & Packaging,431849,XHB
WRK,WestRock Company,1.452758,Containers & Packaging,1333841,XHB
ALB,Albemarle Corporation,1.225542,Chemicals,548464,XHB
EMN,Eastman Chemical Company,1.185211,Chemicals,703259,XHB
CF,CF Industries Holdings Inc.,1.088093,Chemicals,1124584,XHB
SEE,Sealed Air Corporation,0.7764,Containers & Packaging,799175,XHB
MOS,Mosaic Company,0.731939,Chemicals,1808346,XHB
FB,Facebook Inc. Class A,18.482459,Interactive Media & Services,7478114,XLC
GOOGL,Alphabet Inc. Class A,11.658186,Interactive Media & Services,662711,XLC
GOOG,Alphabet Inc. Class C,11.657211,Interactive Media & Services,661094,XLC
NFLX,Netflix Inc.,7.027658,Entertainment,1168880,XLC
ATVI,Activision Blizzard Inc.,5.605978,Entertainment,5948685,XLC
VZ,Verizon Communications Inc.,4.816995,Diversified Telecommunication Services,5737323,XLC
CHTR,Charter Communications Inc. Class A,4.677077,Media,734089,XLC
EA,Electronic Arts Inc.,4.571528,Entertainment,2869339,XLC
CMCSA,Comcast Corporation Class A,4.564955,Media,8005323,XLC
T,AT&T Inc.,4.073634,Diversified Telecommunication Services,9118450,XLC
TMUS,T-Mobile US Inc.,3.929902,Wireless Telecommunication Services,3110808,XLC
DIS,Walt Disney Company,3.416154,Entertainment,2386932,XLC
TWTR,Twitter Inc.,3.143523,Interactive Media & Services,7629270,XLC
TTWO,Take-Two Interactive Software Inc.,2.038283,Entertainment,1112168,XLC
OMC,Omnicom Group Inc,1.724576,Media,2139551,XLC
CTL,CenturyLink Inc.,1.398849,Diversified Telecommunication Services,9645806,XLC
FOXA,Fox Corporation Class A,1.174083,Media,3482850,XLC
VIAC,ViacomCBS Inc. Class B,0.999672,Media,5310507,XLC
DISCK,Discovery Inc. Class C,0.905427,Media,3296182,XLC
LYV,Live Nation Entertainment Inc.,0.8627,Entertainment,1384806,XLC
IPG,Interpublic Group of Companies Inc.,0.817985,Media,3805545,XLC
