Symbol,Expression Names
FB,Pos on D:Neg on D:V
GOOGL,Pos on D:Neg on D:V
GOOG,Pos on D:Neg on D:V
ATVI,Pos on D:Neg on D:V
DIS,Pos on D:Neg on D:V
TMUS,Pos on D:Neg on D:V
NFLX,Pos on D:Neg on D:V
CMCSA,Pos on D:Neg on D:V
VZ,Pos on D:Neg on D:V
CHTR,Pos on D:Neg on D:V
T,Pos on D:Neg on D:V
TWTR,Pos on D:Neg on D:V
EA,Pos on D:Neg on D:V
TTWO,Pos on D:Neg on D:V
VIAC,Pos on D:Neg on D:V
OMC,Pos on D:Neg on D:V
FOXA,Pos on D:Neg on D:V
LYV,Pos on D:Neg on D:V
LUMN,Pos on D:Neg on D:V
IPG,Pos on D:Neg on D:V
DISCK,Pos on D:Neg on D:V
DISH,Pos on D:Neg on D:V
NWSA,Pos on D:Neg on D:V
DISCA,Pos on D:Neg on D:V
FOX,Pos on D:Neg on D:V
NWS,Pos on D:Neg on D:V
AMZN,Pos on D:Neg on D:V
TSLA,Pos on D:Neg on D:V
HD,Pos on D:Neg on D:V
MCD,Pos on D:Neg on D:V
NKE,Pos on D:Neg on D:V
SBUX,Pos on D:Neg on D:V
LOW,Pos on D:Neg on D:V
TGT,Pos on D:Neg on D:V
BKNG,Pos on D:Neg on D:V
TJX,Pos on D:Neg on D:V
GM,Pos on D:Neg on D:V
DG,Pos on D:Neg on D:V
ROST,Pos on D:Neg on D:V
APTV,Pos on D:Neg on D:V
CMG,Pos on D:Neg on D:V
F,Pos on D:Neg on D:V
EBAY,Pos on D:Neg on D:V
MAR,Pos on D:Neg on D:V
ORLY,Pos on D:Neg on D:V
YUM,Pos on D:Neg on D:V
HLT,Pos on D:Neg on D:V
AZO,Pos on D:Neg on D:V
VFC,Pos on D:Neg on D:V
DLTR,Pos on D:Neg on D:V
BBY,Pos on D:Neg on D:V
DHI,Pos on D:Neg on D:V
ETSY,Pos on D:Neg on D:V
LEN,Pos on D:Neg on D:V
EXPE,Pos on D:Neg on D:V
LVS,Pos on D:Neg on D:V
GRMN,Pos on D:Neg on D:V
TSCO,Pos on D:Neg on D:V
ULTA,Pos on D:Neg on D:V
KMX,Pos on D:Neg on D:V
DRI,Pos on D:Neg on D:V
POOL,Pos on D:Neg on D:V
CCL,Pos on D:Neg on D:V
DPZ,Pos on D:Neg on D:V
GPC,Pos on D:Neg on D:V
NVR,Pos on D:Neg on D:V
RCL,Pos on D:Neg on D:V
MGM,Pos on D:Neg on D:V
HAS,Pos on D:Neg on D:V
WHR,Pos on D:Neg on D:V
PHM,Pos on D:Neg on D:V
AAP,Pos on D:Neg on D:V
LB,Pos on D:Neg on D:V
LKQ,Pos on D:Neg on D:V
WYNN,Pos on D:Neg on D:V
BWA,Pos on D:Neg on D:V
TPR,Pos on D:Neg on D:V
MHK,Pos on D:Neg on D:V
NWL,Pos on D:Neg on D:V
NCLH,Pos on D:Neg on D:V
PVH,Pos on D:Neg on D:V
LEG,Pos on D:Neg on D:V
RL,Pos on D:Neg on D:V
HBI,Pos on D:Neg on D:V
GPS,Pos on D:Neg on D:V
UAA,Pos on D:Neg on D:V
UA,Pos on D:Neg on D:V
PG,Pos on D:Neg on D:V
WMT,Pos on D:Neg on D:V
PEP,Pos on D:Neg on D:V
KO,Pos on D:Neg on D:V
MDLZ,Pos on D:Neg on D:V
COST,Pos on D:Neg on D:V
PM,Pos on D:Neg on D:V
MO,Pos on D:Neg on D:V
CL,Pos on D:Neg on D:V
EL,Pos on D:Neg on D:V
KMB,Pos on D:Neg on D:V
STZ,Pos on D:Neg on D:V
SYY,Pos on D:Neg on D:V
GIS,Pos on D:Neg on D:V
MNST,Pos on D:Neg on D:V
WBA,Pos on D:Neg on D:V
ADM,Pos on D:Neg on D:V
CLX,Pos on D:Neg on D:V
KR,Pos on D:Neg on D:V
MKC,Pos on D:Neg on D:V
HSY,Pos on D:Neg on D:V
KHC,Pos on D:Neg on D:V
CHD,Pos on D:Neg on D:V
TSN,Pos on D:Neg on D:V
CAG,Pos on D:Neg on D:V
K,Pos on D:Neg on D:V
BF-B,Pos on D:Neg on D:V
SJM,Pos on D:Neg on D:V
HRL,Pos on D:Neg on D:V
LW,Pos on D:Neg on D:V
CPB,Pos on D:Neg on D:V
TAP,Pos on D:Neg on D:V
XOM,Pos on D:Neg on D:V
CVX,Pos on D:Neg on D:V
SLB,Pos on D:Neg on D:V
EOG,Pos on D:Neg on D:V
COP,Pos on D:Neg on D:V
PSX,Pos on D:Neg on D:V
MPC,Pos on D:Neg on D:V
KMI,Pos on D:Neg on D:V
WMB,Pos on D:Neg on D:V
VLO,Pos on D:Neg on D:V
PXD,Pos on D:Neg on D:V
OKE,Pos on D:Neg on D:V
HAL,Pos on D:Neg on D:V
OXY,Pos on D:Neg on D:V
HES,Pos on D:Neg on D:V
BKR,Pos on D:Neg on D:V
DVN,Pos on D:Neg on D:V
FANG,Pos on D:Neg on D:V
COG,Pos on D:Neg on D:V
APA,Pos on D:Neg on D:V
MRO,Pos on D:Neg on D:V
NOV,Pos on D:Neg on D:V
FTI,Pos on D:Neg on D:V
HFC,Pos on D:Neg on D:V
BRK-B,Pos on D:Neg on D:V
JPM,Pos on D:Neg on D:V
BAC,Pos on D:Neg on D:V
WFC,Pos on D:Neg on D:V
C,Pos on D:Neg on D:V
MS,Pos on D:Neg on D:V
BLK,Pos on D:Neg on D:V
GS,Pos on D:Neg on D:V
SCHW,Pos on D:Neg on D:V
AXP,Pos on D:Neg on D:V
SPGI,Pos on D:Neg on D:V
CME,Pos on D:Neg on D:V
CB,Pos on D:Neg on D:V
TFC,Pos on D:Neg on D:V
USB,Pos on D:Neg on D:V
PNC,Pos on D:Neg on D:V
ICE,Pos on D:Neg on D:V
MMC,Pos on D:Neg on D:V
PGR,Pos on D:Neg on D:V
COF,Pos on D:Neg on D:V
AON,Pos on D:Neg on D:V
MCO,Pos on D:Neg on D:V
MET,Pos on D:Neg on D:V
BK,Pos on D:Neg on D:V
MSCI,Pos on D:Neg on D:V
TRV,Pos on D:Neg on D:V
AIG,Pos on D:Neg on D:V
TROW,Pos on D:Neg on D:V
ALL,Pos on D:Neg on D:V
PRU,Pos on D:Neg on D:V
DFS,Pos on D:Neg on D:V
AFL,Pos on D:Neg on D:V
FRC,Pos on D:Neg on D:V
STT,Pos on D:Neg on D:V
WLTW,Pos on D:Neg on D:V
AMP,Pos on D:Neg on D:V
AJG,Pos on D:Neg on D:V
